Vcem_fraction,Vcem_percent,Cn,lnCn,static_raw_objective,static_adjusted_objective,combined_raw_objective,combined_adjusted_objective
0.002,0.2,4.0,1.3862943611198906,1045.2295776807532,33.04075973713657,26509.14606476318,147.30692283137978
0.002,0.2,4.139711068319459,1.4206259951407691,967.3182994759333,30.673982557881686,23543.80476949953,130.63093377035693
0.002,0.2,4.284301932291658,1.4549576291616475,891.8459838246382,28.371306666969076,20845.656041551738,115.60350554875549
0.002,0.2,4.433943032282555,1.4892892631825259,818.8889708106199,26.135298006506787,18393.12305566024,102.05468968634887
0.002,0.2,4.588810761759508,1.5236208972034044,748.5235731189196,23.968604438213788,16166.600796317736,89.83487060896914
0.002,0.2,4.749087675219821,1.5579525312242828,680.8260138383042,21.87395643067987,14148.246412140274,78.81226010936916
0.002,0.2,4.914962703381755,1.5922841652451614,615.8723642159382,19.85416764226045,12321.795490951761,68.87072497916779
0.002,0.2,5.086631375891694,1.6266157992660397,553.7384815629046,17.91213539774151,10672.400594404424,59.90789903154837
0.002,0.2,5.26429605180997,1.660947433286918,494.49994751793406,16.050841057531102,9186.48897202171,51.833538682774815
0.002,0.2,5.436001877454284,1.6930438416630622,441.80355862077414,14.386465293295885,7934.1761740908705,45.01792251159168
0.002,0.2,5.44816615814704,1.6952790673077966,438.2320068850826,14.27335027880082,7851.636853400086,44.568087773883235
0.002,0.2,5.6384584367312005,1.729610701328675,385.00950726913504,12.58281316871603,6656.458113641465,38.041422676935326
0.002,0.2,5.835397199698845,1.7639423353495534,334.90683974011426,10.982464330648668,5590.505436487415,32.19175316426208
0.002,0.2,6.03921459390842,1.7982739693704317,287.99788076543587,9.475622805077762,4644.182374480195,26.964658201905877
0.002,0.2,6.250150874589772,1.83260560339131,244.3559356548481,8.065691907712477,3808.6649356850285,22.312238898272426
0.002,0.2,6.468454688551455,1.8669372374121884,204.05368376937489,6.756158968270739,3075.8315200239967,18.192373408991443
0.002,0.2,6.694383367279839,1.901268871433067,167.16312575090245,5.5505949742506,2438.20019150745,14.568060757716012
0.002,0.2,6.928203230275509,1.9356005054539454,133.755533033851,4.452654124981734,1888.8724108011986,11.406842352764215
0.002,0.2,7.170189898984537,1.969932139474824,103.9013999044067,3.4660733022196837,1421.482469862999,8.680291519489856
0.002,0.2,7.420628621694667,2.004263773495702,77.6703983761451,2.59467146454017,1030.1519702755518,6.363562675569824
0.002,0.2,7.679814609779395,2.038595407516581,55.131336153365794,1.8423489738020464,709.4487722257478,4.434992889539899
0.002,0.2,7.948053385686311,2.072927041537459,36.35211795517831,1.2130868629758282,454.34991416370355,2.8757495138956983
0.002,0.2,8.225661143079892,2.1072586755583376,21.399710474181852,0.7109460556657581,260.20806594478245,1.6695183988033477
0.002,0.2,8.51296511956328,2.141590309579216,10.3401112435328,0.3400665486871972,122.72113231076503,0.8022278924583617
0.002,0.2,8.810303982418398,2.1759219436000947,3.2383216851917522,0.10466657009150548,37.90467022900732,0.261804437287843
0.002,0.2,9.11802822781911,2.2102535776209726,0.1583246102155131,0.009041726050681959,2.066823989351761,0.037956092163721866
0.002,0.2,9.436500593988008,2.2445852116418514,1.1630664390644823,0.057564151017843734,11.785516984269611,0.12198076200465913
0.002,0.2,9.766096488783825,2.27891684566273,6.314444406045313,0.25468167656280194,63.88766954679277,0.5065963078359701
0.002,0.2,10.107204432223549,2.313248479683608,15.67329900717378,0.604917035237202,155.4302387480489,1.1857900511996888
0.002,0.2,10.46022651446083,2.347580113704487,29.299411944951167,1.1128671167465711,283.68289921512957,2.154685484015829
0.002,0.2,10.825578869760541,2.3819117477253653,47.251509816794204,1.7832022945908648,446.1122042885765,3.4094242547138833
0.002,0.2,11.20369216702824,2.4162433817462436,69.58727378616507,2.620665842176024,640.367084594534,4.94706172885833
0.002,0.2,11.595012117472708,2.450575015767122,96.36335546684072,3.6300734581923564,864.265556697676,6.765474621967201
0.002,0.2,12.0,2.4849066497880004,127.63539924127284,4.816312921793923,1115.7825282159906,8.863279377524577
0.0031000000000000003,0.31000000000000005,4.0,1.3862943611198906,760.9698642811878,24.368519355600597,16546.596287086875,91.90831591465394
0.0031000000000000003,0.31000000000000005,4.139711068319459,1.4206259951407691,692.6543099469569,22.256081973246182,14488.44805034954,80.66077259713711
0.0031000000000000003,0.31000000000000005,4.284301932291658,1.4549576291616475,627.0807180215304,20.218269211260917,12625.777267899704,70.51818612501484
0.0031000000000000003,0.31000000000000005,4.433943032282555,1.4892892631825259,564.3253130190132,18.257978127734532,10943.399362869955,61.37522767993869
0.0031000000000000003,0.31000000000000005,4.588810761759508,1.5236208972034044,504.46405381230454,16.378190552338936,9427.43990969647,53.13907156973255
