fabric_mode,target_aligned_discrepancy_log_rms,target_aligned_discrepancy_percent_rms,raw_alignment_rms_per_scaled_parameter,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
nuisance,0.0,0.0,0.010825013186595591,1.2889594036345255,22.319903232410333,0.05774932759398574,4.161276118641997,368.4325197361159,19.194596107657905,999.7900649699197,18.672911083892576,18.672911083892593
nuisance,0.005,0.5,0.010825013186595591,1.0295444119982975,16.10438947800265,0.06392942827199849,3.955028248363518,294.28207034542356,17.154651565841363,576.1911999871016,14.583397217671713,14.583397217671713
nuisance,0.01,1.0,0.010825013186595591,0.6315293069916281,11.579610448717272,0.05453804424496729,4.282035071795061,180.51455554460745,13.435570532902853,254.1351450684547,8.58729974735346,8.58729974735346
nuisance,0.02,2.0,0.010825013186595591,0.24512379199650836,9.291236202605187,0.026382258146421637,6.156643651772474,70.06549320164027,8.370513317690873,79.14732430267684,3.165341075997575,3.165341075997575
nuisance,0.05,5.0,0.010825013186595591,0.04875351799856831,8.497875054746055,0.005737142248442393,13.202378851473458,13.93556804936092,3.733037375832302,14.397714943239327,0.577683235038322,0.577683235038322
expanded_nuisance,0.0,0.0,0.0002851424639912598,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514
expanded_nuisance,0.005,0.5,0.0002851424639912598,0.005772769682700574,17.098443699363564,0.0003376195976780885,54.42346340506613,1.6500722009214575,1.2845513617296342,3.430189265881775,0.0536479679037579,0.0536479679037579
expanded_nuisance,0.01,1.0,0.0002851424639912598,0.004222332625515524,16.99983524285554,0.0002483749145327763,63.45211967393245,1.2068996463319068,1.0985898444514708,2.494447831038325,0.012082426692771667,0.012082426692771667
expanded_nuisance,0.02,2.0,0.0002851424639912598,0.0036997029460277275,16.96685566705414,0.00021805471907277007,67.72004764851363,1.057512653103403,1.028354342191155,2.1814511441593853,0.001927002866628485,0.001927002866628485
expanded_nuisance,0.05,5.0,0.0002851424639912598,0.0035400574596291534,16.95680744302844,0.00020876910182079117,69.2096875516003,1.0118800376366384,1.005922480928147,2.0860834127183017,0.006206232562618934,0.006206232562618934
