E2_Vcem_quantile,E2_replicate,Vcem_fraction,Cn,pressure_1_mpa,pressure_2_mpa,baseline_lambda_min,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
0.0,373,0.001075933937318,10.606333144956094,5.0,7.5,0.0003520914018264598,0.00306144255966867,1506.546545618397,2.0320929138050824e-06,701.5008785979431,8.695022212378834,2.948732305988259,11.385547104570689,0.01091895780910299,0.01091895780910299
0.125,27,0.0049718827906575,7.281178010960367,5.0,7.5,0.0007566390619566654,0.0042687552663620565,82.16541503525389,5.1953188145286e-05,138.7375108111529,5.641732605402467,2.3752331686389163,9.226969936015243,0.03530495751970796,0.03530495751970796
0.25,191,0.0063430129147892,6.428914013772807,5.0,7.5,0.0011175325542192027,0.005474620816930731,53.32579699906057,0.00010266364733427568,98.69420550761356,4.898846835612531,2.213333873506781,8.639043603492286,0.04951932085551562,0.04951932085551562
0.375,183,0.0077699479108195,6.024658379759686,5.0,7.5,0.0015573065262284302,0.0067586013370712905,37.575239028883644,0.00017986848551717884,74.56284337668835,4.3399300158586245,2.083249868800818,8.124214715308847,0.07238515821764652,0.07238515822268159
0.5,357,0.0092503099178009,5.897141524742643,5.0,7.5,0.0020606158313438705,0.008056201699352172,28.069721613763114,0.0002870068257250569,59.02743168914783,3.909608757154003,1.9772730608476925,7.653508983010847,0.10607224381452493,0.10607224381452493
0.625,131,0.0113815061600681,5.56028542429779,5.0,7.5,0.002963353736871177,0.010399077767752729,20.227484714567215,0.0005141063218929851,44.103547922939725,3.5092259281649163,1.8732928036388001,7.281715225137717,0.17068587953079176,0.17068587953079176
0.75,233,0.0137106087349738,5.339413002371099,5.0,7.5,0.004051940487979522,0.013055366335194662,15.404842157957276,0.0008474845896717607,34.35058163314637,3.22200347560007,1.79499400433541,6.988640729915141,0.25960246387969205,0.25960246387969205
0.875,48,0.0167441864090182,4.990451468478011,5.0,7.5,0.005606764212074733,0.016844958415245692,11.857865810855206,0.0014205725283064922,26.531896477020034,3.0043992895168254,1.7333203078245016,6.799025957548039,0.3921384246981743,0.3921384246981743
1.0,128,0.020885423522623,5.043200766553914,5.0,7.5,0.007445505781305761,0.02057247624568337,9.306987413230877,0.002210433444493263,21.269695793625544,2.7630730335791176,1.6622493897063453,6.346758404717668,0.5587930888191459,0.5587930888197981
