basis,n_basis_terms,trajectory_discrepancy_log_sigma,trajectory_discrepancy_percent,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
intercept,1,0.0,0.0,0.06024682763187972,19.774833259868394,0.0030466414983203087,18.11712677574315,17.220783251925177,4.149793157727886,41.40228246105377,0.5909590998460903,0.5909590998460903
intercept,1,0.005,0.5,0.04898336553327143,17.942146171357027,0.00273007281656577,19.138719819477533,14.001267020272666,3.741826695649154,30.542197543635965,0.3305576514702734,0.33055765147137595
intercept,1,0.01,1.0,0.04724390190729055,16.933475025355776,0.0027899708616541305,18.93216000416141,13.504063644508964,3.6747875645415156,27.801557126268964,0.22137981131442075,0.22137981131442075
intercept,1,0.02,2.0,0.045176578173685034,15.390723374175106,0.002935312205629604,18.45749883864451,12.913145660486466,3.593486560498935,24.16293221096418,0.029406707369174112,0.02940670735678018
intercept,1,0.05,5.0,0.04273413637907941,13.798306266279827,0.003097056664375736,17.969062709517047,12.215004988128639,3.4949971370701634,20.491699667072513,0.21388254591212139,0.21388254591212139
intercept_plus_porosity,2,0.0,0.0,0.06024682763187972,19.774833259868394,0.0030466414983203087,18.11712677574315,17.220783251925177,4.149793157727886,41.40228246105377,0.5909590998460903,0.5909590998460903
intercept_plus_porosity,2,0.005,0.5,0.025758267757034492,18.122078101764394,0.001421374944550461,26.52440632449822,7.362670590712132,2.7134241450079513,16.221907524047296,0.22436962356962906,0.22436962356962906
intercept_plus_porosity,2,0.01,1.0,0.018085810839209238,17.246463375411878,0.001048667801944485,30.8802660340429,5.169597149585615,2.2736748117498276,10.83965113027739,0.1968033669212558,0.1968033669212558
intercept_plus_porosity,2,0.02,2.0,0.015468762804476732,15.726898244216994,0.0009835863731212744,31.885537940668797,4.421547522120124,2.1027476125584172,8.454266369776358,0.19538410749307866,0.19538410749494403
intercept_plus_porosity,2,0.05,5.0,0.014659854018533203,12.797364023405748,0.0011455370021295833,29.545778592397284,4.190331316705512,2.0470298768473096,6.519697404726477,0.1944043537790316,0.1944043537790316
intercept_plus_porosity_plus_clay,3,0.0,0.0,0.06024682763187972,19.774833259868394,0.0030466414983203087,18.11712677574315,17.220783251925177,4.149793157727886,41.40228246105377,0.5909590998460903,0.5909590998460903
intercept_plus_porosity_plus_clay,3,0.005,0.5,0.02393873916071021,18.331269361461523,0.0013058964269565244,27.672323951764596,6.842581669691503,2.615832882600015,15.250043476157513,0.2514351898737449,0.2514351898737449
intercept_plus_porosity_plus_clay,3,0.01,1.0,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514
intercept_plus_porosity_plus_clay,3,0.02,2.0,0.006867272527264934,16.16948314155392,0.00042470575386647613,48.523925536261615,1.9629218063815936,1.4010431136769466,3.858848165789125,0.2047038243020942,0.2047038243020942
intercept_plus_porosity_plus_clay,3,0.05,5.0,0.005213876323484357,12.98696086474676,0.00040147008817416845,49.90837197679117,1.4903196997804684,1.2207865086821972,2.3531278678549024,0.15532486904692047,0.15532486904692047
