phi,vsh,W_K,W_G
0.2301773447,0.02249345642,0.8634528099433783,0.7710727325423912
0.1869,0.0808,0.8470844710989118,0.7706448914762724
0.1787,0.08979756287,0.844935638009894,0.7715273881039816
0.2270110898,0.0,0.8630035352262846,0.7744806993034828
0.2512,0.0,0.8738482885138594,0.773007473103712
0.2521459434,0.0,0.8743343914911506,0.7729726061913315
0.2283241754,0.0,0.8635169190246371,0.774371174634974
0.1596,0.1008,0.8415398908643719,0.7753216172145178
0.2001722226,0.04820680999,0.8519951316367491,0.7716391077320002
0.212,0.0,0.8577157191604122,0.7759866829244731
0.2121850998,0.007080798601,0.8574701945349764,0.7749931078261084
0.2008399484,0.03750959049,0.8526827106504605,0.7727475879751804
0.2035,0.0,0.8551823151577824,0.7770544251866508
0.1975,0.0,0.8535891022356312,0.7779062896914869
0.225,0.0,0.8622333648225717,0.7746552437168578
0.224,0.009114751803,0.8615121358972757,0.7734547774853042
0.1858966336,0.0948,0.8461872891269142,0.7695128056932178
0.09453663224,0.0702,0.8465297249729106,0.8030318080463104
0.1068361139,0.1913,0.8377588979125367,0.788339135092565
0.133696647,0.2511418812,0.8329576419128393,0.7727581429049141
0.1323187646,0.2038059425,0.8351688481274223,0.77649306257052
0.11341125,0.2773153511,0.832855701485364,0.7797041558886433
0.1819,0.0817,0.8459649229312399,0.7715927475749486
0.1987827048,0.06758056749,0.8507048161635469,0.7697811834458129
0.1932571954,0.1082419056,0.8473392937440162,0.7667907770779027
0.1699,0.191490751,0.8385944022452971,0.7652128699814839
0.1578712041,0.1858326093,0.8372321723164736,0.7690579425579971
0.1432,0.19,0.8359652475229691,0.7734891625643772
0.1569771607,0.219007407,0.8356176887826415,0.7669015478602267
0.2226288429,0.0,0.8613501630665769,0.77487169038548
0.2224865111,0.002351318472,0.861207888850321,0.7745485265078944
0.2348841801,0.0162,0.865669975613083,0.7715445462355942
0.2551993096,0.0,0.8759369397013974,0.7728713929159592
0.2506278046,0.0,0.873556608549392,0.7730293736360023
0.2431,0.02562970706,0.8691168721648491,0.7696727491273866
0.2380448656,0.0261,0.8667379547926307,0.769956092071496
0.1044504819,0.04412186795,0.8462320059710627,0.8002568035583033
0.2077923234,0.0039,0.8562462263718835,0.7759630262834092
0.2315409766,0.0,0.8648100536430529,0.7741175505111836
0.2179738233,0.0,0.8596936382383468,0.7753305770109274
0.2138968388,0.0,0.8583259169095613,0.7757700573660151
0.2173852779,0.0851,0.8559365074352516,0.7651390912556515
0.2101,0.1486,0.8506508069524967,0.7601106563730337
0.2215,0.0,0.8609390808832005,0.7749788163499164
0.2265,0.0,0.8628059638600084,0.7745242756341837
0.2448682279,0.0,0.8707184070097003,0.7732840679131415
0.2519,0.0,0.8742075366769886,0.7729815112398284
0.2581,0.0,0.8775073523583551,0.7727911623830622
0.2518,0.0,0.8741560521636178,0.7729851641990667
0.2410668391,0.0,0.8689408433688569,0.7734866727302625
0.2062,0.0,0.8559516808886602,0.7766978512616597
0.2423,0.0324,0.8685151077641549,0.768813469654806
0.2584149223,0.0,0.877680698615593,0.7727833800533621
0.2367080001,0.0,0.8669940285504171,0.7737532852239132
0.2239281036,0.0,0.8618307892900793,0.7747516560079805
0.2259,5.045079197e-05,0.8625737803753378,0.7745687775650202
0.2529888696,0.05495957335,0.8732796547378745,0.7652334575879133
0.2651,0.0258,0.8810250318998076,0.7686915860762373
0.2581,0.07872184565,0.8754345785333822,0.762043573457565
