objective,threshold,Vcem_min_fraction,Vcem_max_fraction,Vcem_width_percentage_points,Cn_min,Cn_max,Cn_width,Vcem_lower_censored,Vcem_upper_censored,Cn_lower_censored,Cn_upper_censored,truth_Vcem_fraction,truth_Cn
static_raw_objective,2.3,0.002,0.035,3.3000000000000003,4.284301932291658,9.436500593988008,5.1521986616963495,True,True,False,False,0.012546045825196089,5.436001877454284
static_raw_objective,5.99,0.002,0.035,3.3000000000000003,4.139711068319459,9.436500593988008,5.296789525668549,True,True,False,False,0.012546045825196089,5.436001877454284
static_adjusted_objective,2.3,0.002,0.035,3.3000000000000003,4.0,10.825578869760541,6.825578869760541,True,True,True,False,0.012546045825196089,5.436001877454284
static_adjusted_objective,5.99,0.002,0.035,3.3000000000000003,4.0,12.0,8.0,True,True,True,True,0.012546045825196089,5.436001877454284
combined_raw_objective,2.3,0.002,0.0328,3.08,4.433943032282555,9.11802822781911,4.6840851955365554,True,False,False,False,0.012546045825196089,5.436001877454284
combined_raw_objective,5.99,0.002,0.035,3.3000000000000003,4.433943032282555,9.11802822781911,4.6840851955365554,True,True,False,False,0.012546045825196089,5.436001877454284
combined_adjusted_objective,2.3,0.002,0.035,3.3000000000000003,4.0,10.46022651446083,6.46022651446083,True,True,True,False,0.012546045825196089,5.436001877454284
combined_adjusted_objective,5.99,0.002,0.035,3.3000000000000003,4.0,11.20369216702824,7.20369216702824,True,True,True,False,0.012546045825196089,5.436001877454284
