fabric_mode,state_log_sigma,state_precision_percent,n_additional_pressures,pressure_1_mpa,pressure_2_mpa,pressure_span_mpa,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
expanded_nuisance,0.0025,0.25,1,5.0,,34.0,0.011849269955401365,17.39583804837446,0.0006811554535315192,38.31571030117274,3.386961896854144,1.840370043457061,7.16331781356787,0.20608942887178616,0.20608942887178616
expanded_nuisance,0.0025,0.25,2,5.0,60.0,55.0,0.015160884508759409,17.727019170923313,0.0008552416152190438,34.19444722432719,4.3335444586075385,2.0817167094990467,9.339798870468698,0.2041561016896395,0.2041561016896395
expanded_nuisance,0.005,0.5,1,5.0,,34.0,0.00902857881619612,17.048720947003336,0.0005295751419864186,43.454644800304365,2.5807034988903625,1.606456815133965,5.349195444468016,0.21143816914158925,0.21143816914158925
expanded_nuisance,0.005,0.5,2,5.0,7.5,34.0,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514
expanded_nuisance,0.01,1.0,1,5.0,,34.0,0.007802288381137945,16.82355251052265,0.0004637717495313691,46.43525714444777,2.2301841003407965,1.4933800923880016,4.561597652374707,0.21256140987569372,0.2125614098739791
expanded_nuisance,0.01,1.0,2,5.0,7.5,34.0,0.009822729793263818,17.25474939161125,0.0005692768738814219,41.91198492520039,2.8077013738481935,1.6756196984543341,5.890038365355486,0.21371486041339352,0.21371486041339352
expanded_nuisance,0.02,2.0,1,5.0,,34.0,0.006375164504680786,16.320352240102146,0.00039062664891605824,50.59633577354526,1.8222590374597853,1.349910751664637,3.6157483256709844,0.20998951061433352,0.20998951061433352
expanded_nuisance,0.02,2.0,2,5.0,7.5,34.0,0.007342911633384741,16.729037336712267,0.00043893210861993526,47.73108694097386,2.098877146680614,1.4487502016153835,4.268905317148399,0.21201837359546583,0.21201837359546583
fixed,0.0025,0.25,1,5.0,,34.0,1.3765926699079003,27.02020709562489,0.050946784568901324,4.4303864518054,393.48136535124144,19.836364721169083,1292.6215623909172,20.23500259038422,20.23500259038422
fixed,0.0025,0.25,2,5.0,7.5,34.0,1.4305161117785004,29.38180479900541,0.048687142316966324,4.532030852948354,408.894689855651,20.22114462278659,1460.657835859951,20.913126349608422,20.913126349608422
fixed,0.005,0.5,1,5.0,,34.0,1.3508018414819756,25.560856232944367,0.05284650205656965,4.350026241252618,386.1093877107885,19.649666351131476,1199.8979512672715,19.890967236711433,19.890967236711433
fixed,0.005,0.5,2,5.0,7.5,34.0,1.4071519786427216,27.971401381773084,0.05030681013928961,4.458477813248795,402.21635195114254,20.055332257311086,1367.8311856426797,20.654474378337877,20.654474378337895
fixed,0.01,1.0,1,5.0,,34.0,1.327387042651488,24.512605246607897,0.05415120217934299,4.297302724182005,379.41656766703414,19.4786182176004,1130.7440611528398,19.55121586798146,19.55121586798146
fixed,0.01,1.0,2,5.0,7.5,34.0,1.3820280278386816,26.770027819383248,0.051625946643133594,4.401148129806418,395.03499272884443,19.87548723248928,1285.7097678799194,20.329690735477953,20.329690735477932
fixed,0.02,2.0,1,5.0,,34.0,1.2639264559877077,22.170953114446057,0.057008214733184556,4.1882372933348275,361.2771725995552,19.00729261624483,973.830647420336,18.585187507153826,18.585187507153808
fixed,0.02,2.0,2,5.0,7.5,34.0,1.3159844397064047,24.031691246885906,0.054760375630114405,4.273333532824224,376.1572798083463,19.394774549046613,1099.0371174756647,19.37934739851804,19.37934739851804
nuisance,0.0025,0.25,1,5.0,,34.0,1.2658809366233952,21.862293808372435,0.0579024757291758,4.155769327903667,361.83583583080303,19.021982962635704,961.7581082140006,18.350705613337237,18.350705613337237
nuisance,0.0025,0.25,2,5.0,7.5,34.0,1.3196217980073408,23.24978206862736,0.05675845881531954,4.197441990477607,377.1969720439731,19.42155946477968,1066.2170848939163,19.00442641371453,19.004426413714512
nuisance,0.005,0.5,1,5.0,,34.0,1.2343946614930572,20.901732963106625,0.059057048698874445,4.114945902285208,352.8358877714115,18.783926314043384,896.6306901247945,17.95687838305851,17.95687838305851
nuisance,0.005,0.5,2,5.0,7.5,34.0,1.2889594036345255,22.319903232410333,0.05774932759398574,4.161276118641997,368.4325197361159,19.194596107657905,999.7900649699197,18.672911083892576,18.672911083892593
nuisance,0.01,1.0,1,5.0,,34.0,1.2108699134635739,20.259568662333287,0.059767803236345826,4.09040540111198,346.11164015878666,18.604075901769125,852.520740082763,17.631618794742987,17.631618794742987
nuisance,0.01,1.0,2,5.0,7.5,34.0,1.2624139331925497,21.590119430798936,0.05847183649163512,4.135486741321908,360.844837350666,18.99591633353511,947.1834346962896,18.344037691234128,18.344037691234128
nuisance,0.02,2.0,1,5.0,,34.0,1.1536550188567753,18.859876350087042,0.061169808191846975,4.0432578709100735,329.75749608956346,18.15922619743373,756.122342248838,16.78548338613054,16.78548338613054
nuisance,0.02,2.0,2,5.0,7.5,34.0,1.200531048539873,19.986464943411733,0.06006720307663071,4.080198528327872,343.1564081752893,18.524481320007027,833.8475416357944,17.483527321808896,17.483527321808896
shared,0.0025,0.25,1,5.0,,34.0,2.175279334906394,26.043369397816505,0.08352526517128658,3.46011926453869,621.7757085518795,24.935430787373203,1968.7450319991226,26.132595622642494,26.132595622642494
shared,0.0025,0.25,2,5.0,7.5,34.0,2.237025345603689,28.376282936539987,0.07883433325663254,3.561576692225129,639.425014061976,25.28685457034892,2205.990717362865,26.92205928591871,26.92205928591871
shared,0.005,0.5,1,5.0,,34.0,2.1504927005030283,24.610678066737414,0.0873804734136736,3.3829283792722014,614.690766897969,24.792958010248977,1839.2417739509053,25.75169209329682,25.751692093296807
shared,0.005,0.5,2,5.0,7.5,34.0,2.2172628746946654,26.990117747676454,0.08215091521360803,3.488942378575846,633.7761651279503,25.17491142244497,2079.693022364861,26.655262911400786,26.655262911400772
