design,n_additional_states,lambda_min,lambda_min_gain,spectral_ratio,strong_direction_rotation_deg
baseline_only,0,0.003498495204923069,1.0,0.00042534353500283154,0.0
plus_brine,1,0.004822290052287848,1.3783897846999875,0.0004899745012771811,0.07896084528576176
plus_hydrocarbon,1,0.005933388982573007,1.6959831684844286,0.0005793851818867119,0.18721960251492276
plus_brine_and_hydrocarbon,2,0.00695076014113738,1.9867856704094655,0.0006067461059927932,0.21079253753315547
plus_three_fluid_states,3,0.008300116235699928,2.372481809899307,0.0006600525282461328,0.25635086992273587
