replicate,block_length_samples,fabric_mode,design,pressures_mpa,static_lambda_min,combined_lambda_min,lambda_min_gain,worst_sd_reduction,spectral_ratio
0,5,shared,best_single,5,0.0033431434134463256,2.167045733062682,648.2060339818785,25.459890690689903,0.08834927265641834
0,5,shared,best_pair,5+7.5,0.0033431434134463256,2.2355329347047017,668.6919040664701,25.85907778839899,0.08339229169481123
0,5,nuisance,best_single,5,0.0033431434134463256,1.2384453388779773,370.44337789903807,19.24690567075752,0.059201592538233136
0,5,nuisance,best_pair,5+7.5,0.0033431434134463256,1.29157882092749,386.33664823730913,19.655448309242633,0.05800243171296806
0,5,expanded_nuisance,best_single,5,0.0033431434134463256,0.008450560949364139,2.527729117265945,1.5898833659315845,0.0004925716642020748
0,5,expanded_nuisance,best_pair,5+7.5,0.0033431434134463256,0.010975183356237483,3.2828933727744465,1.8118756504723073,0.0006243261040947966
1,5,shared,best_single,5,0.00334528502888487,2.21474688117075,662.0502773448342,25.730337684236368,0.08823615672067472
1,5,shared,best_pair,5+7.5,0.00334528502888487,2.285639856946217,683.2421863042625,26.138901780760847,0.08304433063961832
1,5,nuisance,best_single,5,0.00334528502888487,1.2664068044821124,378.56469435259487,19.45673904724517,0.059242224286920296
1,5,nuisance,best_pair,5+7.5,0.00334528502888487,1.3242884493117002,395.8671496978969,19.89641047269323,0.05802264540656866
1,5,expanded_nuisance,best_single,5,0.00334528502888487,0.008995226113786003,2.688926664280235,1.6397947018697905,0.0005150661270185968
1,5,expanded_nuisance,best_pair,5+7.5,0.00334528502888487,0.01177623234558789,3.520247824596705,1.8762323482438696,0.0006575679206975057
2,5,shared,best_single,5,0.003624001683099065,2.187220098062175,603.5372743513116,24.566995631361024,0.08898338623171163
2,5,shared,best_pair,5+7.5,0.003624001683099065,2.257893292535457,623.038698647794,24.960743150951938,0.08403766036186475
2,5,nuisance,best_single,5,0.003624001683099065,1.2518154989338337,345.42354237080366,18.58557350126177,0.05954266557696392
2,5,nuisance,best_pair,5+7.5,0.003624001683099065,1.3070068724212187,360.65294299298773,18.99086472472983,0.05838418900904648
2,5,expanded_nuisance,best_single,5,0.003624001683099065,0.008942182788794106,2.467488586028249,1.5708241741290618,0.0005177936745482591
2,5,expanded_nuisance,best_pair,5+7.5,0.003624001683099065,0.011546984380104597,3.1862524882246173,1.7850076997661992,0.0006524693973338627
3,5,shared,best_single,5,0.0031308677120716055,2.12128103745394,677.5377411428058,26.029555146848086,0.08734366450084746
3,5,shared,best_pair,5+7.5,0.0031308677120716055,2.187504984316949,698.6896878084765,26.432738938832586,0.0819044567466957
3,5,nuisance,best_single,5,0.0031308677120716055,1.2177005956162112,388.93390190877585,19.721407199000172,0.059058185200550596
3,5,nuisance,best_pair,5+7.5,0.0031308677120716055,1.2717847752336062,406.20840360965065,20.15461246488383,0.057631744123637973
3,5,expanded_nuisance,best_single,5,0.0031308677120716055,0.008278377932112502,2.644116166324682,1.626073850206282,0.0004916092745879652
3,5,expanded_nuisance,best_pair,5+7.5,0.0031308677120716055,0.0107902796543069,3.44641826056818,1.8564531398794262,0.0006240089637465307
4,5,shared,best_single,5,0.003178629164258817,2.137459807189501,672.4470508304504,25.931584040132417,0.08722288056109277
4,5,shared,best_pair,5+7.5,0.003178629164258817,2.203627973621812,693.2636239545884,26.329899809049568,0.08194757950046533
4,5,nuisance,best_single,5,0.003178629164258817,1.2260546453856376,385.71805077851076,19.639705974848777,0.058951983891403666
4,5,nuisance,best_pair,5+7.5,0.003178629164258817,1.2797775754906995,402.6193397709903,20.065376641642946,0.05760407740046591
4,5,expanded_nuisance,best_single,5,0.003178629164258817,0.008559833964000063,2.692932557295031,1.6410157090335944,0.0005044576200353921
4,5,expanded_nuisance,best_pair,5+7.5,0.003178629164258817,0.011152569712925331,3.508609887031554,1.873128369074462,0.0006406231571457123
5,5,shared,best_single,5,0.0035645773663748326,2.2789509872918643,639.3327323428394,25.28502980703878,0.08927975370333423
5,5,shared,best_pair,5+7.5,0.0035645773663748326,2.3547959891625325,660.6101501332695,25.702337444934255,0.08421106882718435
5,5,nuisance,best_single,5,0.0035645773663748326,1.2974818920527873,363.9931915329204,19.078605597184517,0.0594270059175218
5,5,nuisance,best_pair,5+7.5,0.0035645773663748326,1.3581637723521272,381.01677499382674,19.519650995697305,0.05830614150594674
5,5,expanded_nuisance,best_single,5,0.0035645773663748326,0.009244392467168794,2.5934049164909334,1.6104052025782,0.0005163722754638064
5,5,expanded_nuisance,best_pair,5+7.5,0.0035645773663748326,0.01203414697957994,3.376037533397302,1.8373996662123628,0.0006557552479863322
6,5,shared,best_single,5,0.0031265599738801164,2.227694414542135,712.5065353464263,26.692818048052295,0.08822507692009315
6,5,shared,best_pair,5+7.5,0.0031265599738801164,2.2989494530879986,735.2967709859605,27.116356152439813,0.08320222259795461
6,5,nuisance,best_single,5,0.0031265599738801164,1.2658103557912828,404.8572125166656,20.12106390121222,0.05885291523430432
6,5,nuisance,best_pair,5+7.5,0.0031265599738801164,1.3215077492737333,422.6714856947774,20.558975793914865,0.05766606057956882
6,5,expanded_nuisance,best_single,5,0.0031265599738801164,0.008401155528975579,2.687028427140515,1.6392157963918341,0.0004770731182055946
