n_identical_static_states,lambda_min,lambda_max,lambda_min_gain,spectral_ratio,strong_direction_rotation_deg,raw_strong_direction_rotation_deg,target_rank,new_sensitivity_direction
1,0.003498495204923069,8.225104925833136,1.0,0.00042534353500283154,0.0,0.0,2,0
2,0.005110535362365276,9.97060141824765,1.4607810109825934,0.0005125603910925828,0.10915315213892969,0.0,2,0
3,0.006334463777776467,11.30129679817874,1.8106252564996042,0.0005605076913648792,0.16175265879822953,0.0,2,0
5,0.008326814787762427,13.315142323640618,2.380113248703318,0.0006253643096986224,0.20309377806808887,0.0,2,0
10,0.012373521650886232,16.571929403818046,3.536812522559488,0.0007466554647544822,0.1920116569912136,0.0,2,0
20,0.019148691008451735,20.283317646616993,5.473407818740403,0.0009440610920790613,0.0734170258566715,0.0,2,0
