fabric_mode,design,pressures_mpa,metric,median,q025,q975,minimum,maximum,n
expanded_nuisance,best_pair,5+7.5,lambda_min_gain,3.3891777172224438,3.185714146775114,3.5524196375053845,2.920048502155829,3.616172378436786,400
expanded_nuisance,best_pair,5+7.5,worst_sd_reduction,1.8409719481535873,1.7848568645121685,1.8847863636151678,1.708814940874473,1.9016236163964693,400
expanded_nuisance,best_pair,5+7.5,spectral_ratio,0.0006471051701753116,0.0005851758978534724,0.000718957596582498,0.0004943201112112887,0.0007551135774481334,400
expanded_nuisance,best_single,5,lambda_min_gain,2.6115051747873173,2.448755428175379,2.7346954167952418,2.265707055965383,2.8003398305971188,400
expanded_nuisance,best_single,5,worst_sd_reduction,1.6160152146089932,1.5648499689914959,1.6536914423133777,1.50522657961032,1.6734215938002948,400
expanded_nuisance,best_single,5,spectral_ratio,0.000510182289049603,0.0004598838644452638,0.0005693748818228956,0.0004093875043735499,0.0005963464936056155,400
nuisance,best_pair,5+7.5,lambda_min_gain,384.84447455049775,336.09687514831205,435.39809502346486,325.072934043958,469.16099762482,400
nuisance,best_pair,5+7.5,worst_sd_reduction,19.617453314531076,18.33294445546402,20.866194887103127,18.029779090270573,21.66012459855252,400
nuisance,best_pair,5+7.5,spectral_ratio,0.05781273904727162,0.05678846171881497,0.05835569510265791,0.0564349259014423,0.058630131277865795,400
nuisance,best_single,5,lambda_min_gain,368.5420142890264,322.0613418918125,416.3239780157147,311.6789320941393,448.933173159957,400
nuisance,best_single,5,worst_sd_reduction,19.19744786579288,17.946066827425984,20.404017497729477,17.65443094789915,21.188043164954074,400
nuisance,best_single,5,spectral_ratio,0.05912153717360605,0.05835505112103102,0.05949386262426655,0.05794558088462653,0.05971893371984355,400
shared,best_pair,5+7.5,lambda_min_gain,663.3869552487984,573.2385261204298,759.052746714041,550.8373374180178,808.8451579735039,400
shared,best_pair,5+7.5,worst_sd_reduction,25.7562989826506,23.942400173950414,27.550911722007005,23.469924103371486,28.440203198526973,400
shared,best_pair,5+7.5,spectral_ratio,0.08238700621387303,0.07935799924359656,0.08470949107574943,0.0785045657817046,0.08542268201134644,400
shared,best_single,5,lambda_min_gain,642.955203563703,557.3426049580049,734.1464171245563,535.6655567198862,783.6705516780045,400
shared,best_single,5,worst_sd_reduction,25.3565613280767,23.608104527665752,27.095135300579216,23.144449803784195,27.994116376088822,400
shared,best_single,5,spectral_ratio,0.08762246107064615,0.08482808357408227,0.08967072424465179,0.08387964263992513,0.09035221999036117,400
