step,target_relative_error_to_1e-4,nuisance_relative_error_to_1e-4,target_norm,nuisance_norm,n_nuisances
0.001,6.270264842381283e-07,1.7243121395859652e-06,0.4171039207707923,0.13259346683477224,16.0
0.0001,0.0,0.0,0.41710370174628264,0.1325934713511894,16.0
1e-05,6.280405919052033e-09,1.7250754459531057e-07,0.4171036995523346,0.13259347186522372,16.0
