angle_to_static_strong_deg,information_over_baseline_lambda_max,lambda_min_gain,spectral_ratio,worst_sd_reduction
0.0,0.0001,0.9999999999999365,0.00042530100490231434,0.9999999999999682
0.0,0.0001122018454301963,1.0,0.00042529581602741953,1.0
0.0,0.00012589254117941674,1.0,0.00042528999416472794,1.0
0.0,0.0001412537544622754,1.0000000000000635,0.0004252834621171238,1.0000000000000318
0.0,0.00015848931924611142,1.0,0.0004252761332779767,1.0
0.0,0.00017782794100389227,1.0,0.00042526791048593486,1.0
0.0,0.00019952623149688788,1.0,0.000425258684740054,1.0
0.0,0.000223872113856834,0.9999999999999365,0.00042524833375941174,0.9999999999999682
0.0,0.00025118864315095795,0.9999999999999365,0.00042523672036799736,0.9999999999999682
0.0,0.0002818382931264455,1.0,0.0004252236906836524,1.0
0.0,0.00031622776601683794,0.9999999999998731,0.0004252090720878212,0.9999999999999365
0.0,0.0003548133892335753,1.0,0.00042519267095017434,1.0
0.0,0.00039810717055349735,1.0000000000000635,0.00042517427007720594,1.0000000000000318
0.0,0.00044668359215096305,0.9999999999999365,0.00042515362585399206,0.9999999999999682
0.0,0.0005011872336272725,0.9999999999999365,0.0004251304650410999,0.9999999999999682
0.0,0.0005623413251903491,1.0,0.0004251044811855373,1.0
0.0,0.000630957344480193,1.0,0.0004250753306010315,1.0
0.0,0.000707945784384138,1.0,0.0004250426278662501,1.0
0.0,0.0007943282347242813,1.000000000000127,0.0004250059407841951,1.0000000000000635
0.0,0.0008912509381337459,0.9999999999999365,0.0004249647847397314,0.9999999999999682
0.0,0.001,0.9999999999999365,0.00042491861638641813,0.9999999999999682
0.0,0.001122018454301963,1.0,0.0004248668265827849,1.0
0.0,0.0012589254117941675,0.9999999999999365,0.0004248087324943154,0.9999999999999682
0.0,0.0014125375446227555,1.0,0.0004247435687651137,1.0
0.0,0.001584893192461114,0.9999999999999365,0.000424670477653732,0.9999999999999682
0.0,0.0017782794100389228,1.0,0.0004245884980190649,1.0
0.0,0.001995262314968879,1.0,0.0004244965530277411,1.0
0.0,0.00223872113856834,1.0,0.00042439343644559116,1.0
0.0,0.002511886431509582,0.9999999999999365,0.0004242777973604242,0.9999999999999682
0.0,0.002818382931264455,1.0,0.00042414812317215526,1.0
0.0,0.0031622776601683794,0.9999999999998731,0.0004240027206713479,0.9999999999999365
0.0,0.0035481338923357532,0.9999999999998731,0.0004238396950159742,0.9999999999999365
0.0,0.003981071705534973,1.0000000000000635,0.0004236569264003124,1.0000000000000318
0.0,0.004466835921509635,0.9999999999999365,0.00042345204420073205,0.9999999999999682
0.0,0.005011872336272725,1.0000000000000635,0.0004232223983723651,1.0000000000000318
0.0,0.005623413251903491,1.0,0.0004229650278600715,1.0
0.0,0.006309573444801929,0.9999999999999365,0.00042267662578898793,0.9999999999999682
0.0,0.00707945784384138,1.0,0.0004223535011959163,1.0
0.0,0.00794328234724282,1.0,0.00042199153707569233,1.0
0.0,0.008912509381337459,1.0000000000000635,0.00042158614453465155,1.0000000000000318
0.0,0.01,0.9999999999999365,0.00042113221287406387,0.9999999999999682
0.0,0.01122018454301964,1.0,0.00042062405547714466,1.0
0.0,0.012589254117941675,0.9999999999999365,0.0004200553514399261,0.9999999999999682
0.0,0.01412537544622754,0.9999999999999365,0.00041941908298631045,0.9999999999999682
0.0,0.01584893192461114,0.9999999999998731,0.0004187074688329184,0.9999999999999365
0.0,0.01778279410038923,0.9999999999999365,0.00041791189384249967,0.9999999999999682
0.0,0.01995262314968881,0.9999999999999365,0.0004170228355208426,0.9999999999999682
0.0,0.0223872113856834,1.0000000000000635,0.00041602978819186616,1.0000000000000318
0.0,0.025118864315095822,0.9999999999998731,0.00041492118602944533,0.9999999999999365
0.0,0.02818382931264455,1.0,0.0004136843265539196,1.0
0.0,0.03162277660168379,1.0,0.0004123052967131797,1.0
0.0,0.035481338923357565,0.9999999999999365,0.0004107689042904972,0.9999999999999682
0.0,0.039810717055349734,0.9999999999999365,0.00040905861809862774,0.9999999999999682
0.0,0.04466835921509635,1.0,0.00040715652125465943,1.0
0.0,0.05011872336272725,1.0,0.00040504328276404927,1.0
0.0,0.056234132519034905,0.9999999999998731,0.00040269815366444076,0.9999999999999365
0.0,0.06309573444801936,0.9999999999999365,0.0004000989950577231,0.9999999999999682
0.0,0.0707945784384138,1.0000000000000635,0.0003972223464402999,1.0000000000000318
0.0,0.07943282347242822,1.0,0.00039404354375156364,1.0
0.0,0.08912509381337459,1.0,0.00039053689738574295,1.0
0.0,0.1,0.9999999999999365,0.0003866759409116405,0.9999999999999682
0.0,0.11220184543019641,0.9999999999998096,0.0003824337612371331,0.9999999999999047
0.0,0.12589254117941676,0.9999999999998731,0.00037778342021629657,0.9999999999999365
0.0,0.14125375446227553,0.9999999999999365,0.0003726984759872389,0.9999999999999682
0.0,0.1584893192461114,0.9999999999999365,0.00036715360939158033,0.9999999999999682
0.0,0.1778279410038923,0.9999999999999365,0.0003611253564253821,0.9999999999999682
0.0,0.19952623149688808,1.0000000000000635,0.0003545929416416951,1.0000000000000318
0.0,0.223872113856834,1.0000000000000635,0.00034753919971463156,1.0000000000000318
0.0,0.25118864315095824,1.0000000000000635,0.00033995156312455443,1.0000000000000318
0.0,0.2818382931264455,0.9999999999999365,0.00033182308352278805,0.9999999999999682
0.0,0.31622776601683794,1.0000000000000635,0.00032315344348799986,1.0000000000000318
0.0,0.3548133892335757,0.9999999999999365,0.0003139499051182417,0.9999999999999682
0.0,0.3981071705534973,1.0000000000001905,0.0003042281335518243,1.0000000000000953
0.0,0.4466835921509635,0.9999999999999365,0.0002940128285898326,0.9999999999999682
0.0,0.5011872336272725,0.9999999999998096,0.00028333809765688323,0.9999999999999047
0.0,0.5623413251903491,0.9999999999996827,0.00027224750964765945,0.9999999999998413
0.0,0.6309573444801936,0.9999999999999365,0.0002607937825243166,0.9999999999999682
0.0,0.707945784384138,1.0000000000000635,0.00024903807772577025,1.0000000000000318
0.0,0.7943282347242822,0.9999999999999365,0.00023704890040264186,0.9999999999999682
0.0,0.8912509381337459,1.0000000000000635,0.00022490063398069232,1.0000000000000318
0.0,1.0,0.9999999999995557,0.00021267176750132128,0.9999999999997778
0.0,1.122018454301963,1.0000000000000635,0.00020044290102216628,1.0000000000000318
0.0,1.2589254117941688,0.9999999999998096,0.00018829463460013853,0.9999999999999047
0.0,1.4125375446227555,0.9999999999996827,0.0001763054572770211,0.9999999999998413
0.0,1.584893192461114,1.0000000000001905,0.00016454975247852963,1.0000000000000953
0.0,1.7782794100389228,0.9999999999996827,0.00015309602535503716,0.9999999999998413
0.0,1.9952623149688788,1.0000000000001905,0.0001420054373459214,1.0000000000000953
0.0,2.2387211385683425,0.9999999999999365,0.00013133070641297174,0.9999999999999682
0.0,2.5118864315095824,0.9999999999999365,0.00012111540145105742,0.9999999999999682
0.0,2.818382931264455,1.0000000000001905,0.00011139362988459104,1.0000000000000953
0.0,3.1622776601683795,0.9999999999996827,0.00010219009151481978,0.9999999999998413
0.0,3.5481338923357533,0.9999999999994288,9.352045147996905e-05,0.9999999999997143
0.0,3.9810717055349776,0.9999999999994288,8.53919718782498e-05,0.9999999999997143
0.0,4.4668359215096345,0.9999999999994288,7.780433528817753e-05,0.9999999999997143
0.0,5.011872336272725,1.0000000000004443,7.075059336119026e-05,1.000000000000222
0.0,5.62341325190349,0.9999999999999365,6.421817857742242e-05,0.9999999999999682
0.0,6.309573444801943,0.9999999999994288,5.8189925611194606e-05,0.9999999999997143
0.0,7.0794578438413875,0.9999999999999365,5.2645059015565636e-05,0.9999999999999682
0.0,7.943282347242821,1.0000000000004443,4.7560114786508144e-05,1.000000000000222
0.0,8.91250938133746,0.9999999999989211,4.290977376557928e-05,0.9999999999994605
0.0,10.0,1.0000000000019675,3.8667594091242585e-05,1.0000000000009837
0.0,11.220184543019652,0.9999999999999365,3.480663761708631e-05,0.9999999999999682
0.0,12.589254117941687,1.0000000000009521,3.129999125129773e-05,1.000000000000476
0.0,14.125375446227554,0.9999999999979056,2.8121188562497885e-05,0.9999999999989527
0.0,15.848931924611142,0.9999999999989211,2.5244539945055844e-05,0.9999999999994605
0.0,17.78279410038923,0.9999999999999365,2.2645381338338278e-05,0.9999999999999682
0.0,19.95262314968883,0.9999999999999365,2.0300252238780968e-05,0.9999999999999682
0.0,22.387211385683422,0.9999999999958745,1.8187013748097076e-05,0.9999999999979372
0.0,25.11886431509582,1.0000000000019675,1.628491690420989e-05,1.0000000000009837
0.0,28.183829312644548,0.9999999999999365,1.4574630712307344e-05,0.9999999999999682
0.0,31.622776601683793,1.0000000000019675,1.3038238289677486e-05,1.0000000000009837
0.0,35.481338923357605,0.9999999999999365,1.1659208448911216e-05,0.9999999999999682
0.0,39.81071705534978,0.9999999999999365,1.0422348973332908e-05,0.9999999999999682
0.0,44.668359215096345,0.9999999999958745,9.313746810953375e-06,0.9999999999979372
0.0,50.118723362727245,0.9999999999999365,8.320699481962024e-06,0.9999999999999682
0.0,56.23413251903491,0.9999999999999365,7.431641160304892e-06,0.9999999999999682
0.0,63.09573444801943,0.9999999999999365,6.636066169859572e-06,0.9999999999999682
0.0,70.79457843841388,1.0000000000039986,5.924452016518159e-06,1.0000000000019993
0.0,79.43282347242821,0.9999999999999365,5.288183562878522e-06,0.9999999999999682
0.0,89.12509381337459,0.9999999999999365,4.71947952568659e-06,0.9999999999999682
0.0,100.0,1.0000000000080604,4.211322128774852e-06,1.00000000000403
0.5,0.0001,1.0000179019541062,0.0004253086218595928,1.0000089509369934
0.5,0.0001122018454301963,1.0000200860777686,0.000425304362185428,1.0000100429884535
0.5,0.00012589254117941674,1.0000225366412956,0.0004252995828491029,1.000011268257161
0.5,0.0001412537544622754,1.0000252861388352,0.00042529422046728337,1.000012642989495
0.5,0.00015848931924611142,1.0000283710254836,0.00042528820392931485,1.000014185412129
0.5,0.00017782794100389227,1.0000318321985047,0.0004252814534556045,1.0000159159725932
0.5,0.00019952623149688788,1.0000357155389081,0.0004252738795423605,1.000017857610007
0.5,0.000223872113856834,1.0000400725181442,0.0004252653817778594,1.0000200360583502
0.5,0.00025118864315095795,1.0000449608763942,0.0004252558475141203,1.0000224801855178
0.5,0.0002818382931264455,1.0000504453869223,0.0004252451503790099,1.0000252223753772
0.5,0.00031622776601683794,1.0000565987083954,0.00042523314860593524,1.0000282989537823
0.5,0.0003548133892335753,1.0000635023450362,0.0004252196831631145,1.0000317506684655
0.5,0.00039810717055349735,1.0000712477184805,0.00042520457565447183,1.0000356232247332
0.5,0.00044668359215096305,1.0000799373719684,0.0004251876259678363,1.0000399678872682
0.5,0.0005011872336272725,1.0000896863187965,0.0004251686096385378,1.000044842153989
0.5,0.0005623413251903491,1.0001006235522374,0.00042514727489440326,1.000050310510545
0.5,0.000630957344480193,1.000112893737929,0.0004251233393449692,1.00005644527593
0.5,0.000707945784384138,1.0001266591087308,0.00042509648627195876,1.0000633275491762
0.5,0.0007943282347242813,1.0001421015867311,0.0004250663604741624,1.0000710482694373
0.5,0.0008912509381337459,1.0001594251576102,0.00042503256361353366,1.0000797094020106
0.5,0.001,1.000178858528767,0.0004249946490047464,1.0000894252659445
0.5,0.001122018454301963,1.0002006581019351,0.00042495211578221263,1.0001003240185131
0.5,0.0012589254117941675,1.0002251112977318,0.00042490440237268924,1.0001125493151917
0.5,0.0014125375446227555,1.0002525402724431,0.00042485087919325677,1.0001262621651543
0.5,0.001584893192461114,1.0002833060686798,0.0004247908404845855,1.0001416430029697
0.5,0.0017782794100389228,1.0003178132523296,0.00042472349518264744,1.0001588940025128
0.5,0.001995262314968879,1.0003565150868363,0.0004246479567191833,1.0001782416583738
0.5,0.00223872113856834,1.0003999193028759,0.000424563231631039,1.0001999396635035
0.5,0.002511886431509582,1.0004485945284871,0.0004244682068473869,1.0002242721152528
0.5,0.002818382931264455,1.0005031774501085,0.00042436163551125327,1.000251557084571
0.5,0.0031622776601683794,1.0005643807752849,0.00042424212117632583,1.0002821505831667
0.5,0.0035481338923357532,1.000633002082412,0.0004241081002101419,1.0003164509705975
0.5,0.003981071705534973,1.0007099336407261,0.00042395782221753893,1.0003549038419945
0.5,0.004466835921509635,1.000796173293076,0.0004237893282860962,1.0003980074415761
0.5,0.005011872336272725,1.000892836494455,0.0004236004268400924,1.00044631864706
0.5,0.005623413251903491,1.001001169608358,0.00042338866687941445,1.0005004595742863
0.5,0.006309573444801929,1.0011225645576198,0.0004231513083660541,1.0005611248482622
0.5,0.00707945784384138,1.0012585749327456,0.0004228852895156758,1.000629089589517
0.5,0.00794328234724282,1.0014109336483694,0.00042258719074396303,1.0007052181578595
0.5,0.008912509381337459,1.0015815722399946,0.0004222531950229036,1.0007904736956654
0.5,0.01,1.0017726418735613,0.0004218790444086444,1.0008859285021252
0.5,0.01122018454301964,1.0019865361197582,0.000421459992521786,1.0009927752585221
0.5,0.012589254117941675,1.0022259155202435,0.00042099075279569085,1.0011123391109729
0.5,0.01412537544622754,1.0024937339268625,0.00042046544235619965,1.0012460905925489
0.5,0.01584893192461114,1.0027932665447408,0.00041987752147030675,1.0013956593398738
0.5,0.01778279410038923,1.0031281395382947,0.00041921972860156203,1.001562848521397
0.5,0.01995262314968881,1.0035023609611313,0.00041848401124278784,1.0017496498432785
0.5,0.0223872113856834,1.0039203526647615,0.00041766145287953135,1.0019582589433362
0.5,0.025118864315095822,1.0043869826847889,0.00041674219666400285,1.0021910909027225
0.5,0.02818382931264455,1.0049075974301531,0.00041571536667554213,1.0024507955157465
0.5,0.03162277660168379,1.0054880527794463,0.00041456898801010345,1.0027402718448313
0.5,0.035481338923357565,1.0061347429349456,0.0004132899073987251,1.0030626814586143
0.5,0.039810717055349734,1.0068546255713493,0.00041186371660511205,1.0034214595928022
0.5,0.04466835921509635,1.007655241475374,0.00041027468152069716,1.0038203233026188
0.5,0.05011872336272725,1.0085447264741723,0.0004085056806571186,1.0042632754781846
0.5,0.056234132519034905,1.0095318130170319,0.00040653815764127575,1.0047546033818566
0.5,0.06309573444801936,1.010625818333088,0.00040435209334857715,1.005298870154089
0.5,0.0707945784384138,1.0118366156144187,0.00040192600443146343,1.005900897511489
0.5,0.07943282347242822,1.0131745842690987,0.0003992369762072309,1.0065657376789152
0.5,0.08912509381337459,1.01465053492524,0.0003962607390758098,1.0072986324448376
0.5,0.1,1.0162756046677446,0.00039297179878319664,1.0081049571685206
0.5,0.11220184543019641,1.018061117988435,0.00038934363178871873,1.0089901476171286
0.5,0.12589254117941676,1.0200184092440572,0.00038534895757678743,1.0099596077289712
0.5,0.14125375446227553,1.022158603137742,0.00038096009975716337,1.011018596830811
0.5,0.1584893192461114,1.024492350978966,0.00037614944696301634,1.012172095534631
0.5,0.1778279410038923,1.0270295223215962,0.0003708900225823277,1.013424650539741
0.5,0.19952623149688808,1.0297788541384552,0.0003651561689489847,1.0147801999144717
0.5,0.223872113856834,1.032747562917147,0.00035892434646361035,1.0162418820916341
0.5,0.25118864315095824,1.03594092896825,0.00035217404103149495,1.0178118337729474
0.5,0.2818382931264455,1.0393618666170763,0.0003448887641297338,1.0194909840783666
0.5,0.31622776601683794,1.0430104985041357,0.00033705711893948617,1.021278854429159
0.5,0.3548133892335757,1.0468837565537088,0.0003286738938405336,1.0231733756083123
0.5,0.3981071705534973,1.0509750356656633,0.0003197411320683183,1.0251707348854937
0.5,0.4466835921509635,1.0552739282676677,0.00031026911484619094,1.027265266748403
0.5,0.5011872336272725,1.0597660678096117,0.0003002771865096128,1.0294494003153394
0.5,0.5623413251903491,1.064433106636928,0.00028979434596930297,1.0317136747358386
0.5,0.6309573444801936,1.0692528480489534,0.0002788595311193365,1.0340468306846424
0.5,0.707945784384138,1.0741995438471055,0.0002675215328933591,1.0364359815478743
0.5,0.7943282347242822,1.079244357741242,0.00025583849414017337,1.0388668623751756
0.5,0.8912509381337459,1.0843559825756113,0.00024387697470620192,1.0413241486567049
0.5,1.0,1.089501386724325,0.00023171059608627178,1.0437918311255003
0.5,1.122018454301963,1.094646653729192,0.0002194183135073182,1.046253627821281
0.5,1.2589254117941688,1.0997578707437647,0.00020708239622955,1.0486934112235877
0.5,1.4125375446227555,1.1048020167725117,0.00019478622386539778,1.0510956268449183
0.5,1.584893192461114,1.1097478017232147,0.00018261202387283233,1.0534456804805907
0.5,1.7782794100389228,1.1145664119022054,0.0001706386806013403,1.0557302742188486
0.5,1.9952623149688788,1.1192321260740137,0.00015893973866041712,1.057937675893062
0.5,2.2387211385683425,1.123722777566369,0.0001475817041861931,1.0600579123643996
0.5,2.5118864315095824,1.128020050471573,0.0001366227196202811,1.0620828830517761
0.5,2.818382931264455,1.1321096104009603,0.00012611165481019986,1.0640063958458899
0.5,3.1622776601683795,1.1359810811888764,0.0001160876237900643,1.0658241323918671
0.5,3.5481338923357533,1.1396278874021915,0.00010657990627621518,1.0675335532910388
0.5,3.9810717055349776,1.143046988130637,9.760822855682182e-05,1.069133755958831
0.5,4.4668359215096345,1.1462385301377425,8.918334164643051e-05,1.0706252986632356
0.5,5.011872336272725,1.149205448520444,8.130782569251649e-05,1.0720100039274092
0.5,5.62341325190349,1.1519530408873064,7.397704797145737e-05,1.073290753191933
0.5,6.309573444801943,1.154488537600425,6.718020605030426e-05,1.074471282817938
0.5,7.0794578438413875,1.156820686254093,6.090139609011144e-05,1.0755559893627542
0.5,7.943282347242821,1.158959364049192,5.512065710614446e-05,1.0765497499183174
0.5,8.91250938133746,1.1609152272713277,4.981495372736818e-05,1.0774577612469678
0.5,10.0,1.1626994033122238,4.49590714235808e-05,1.0782853997491684
0.5,11.220184543019652,1.164323227264863,4.052640843294159e-05,1.0790381027863951
0.5,12.589254117941687,1.1657980227648754,3.648965727551089e-05,1.0797212708680308
0.5,14.125375446227554,1.1671349247785818,3.282137555918356e-05,1.080340189374894
0.5,15.848931924611142,1.1683447408321928,2.949445082465649e-05,1.0808999680045295
0.5,17.78279410038923,1.1694378465292845,2.6482467598964054e-05,1.0814054958845385
0.5,19.95262314968883,1.1704241107451818,2.3759986875776076e-05,1.0818614101377226
0.5,22.387211385683422,1.1713128460889495,2.130274920754749e-05,1.0822720758150186
0.5,25.11886431509582,1.1721127802389406,1.9087812728645412e-05,1.0826415751479992
0.5,28.183829312644548,1.1728320442097369,1.7093636990161387e-05,1.082973704302065
0.5,31.622776601683793,1.173478174021627,1.530012266717844e-05,1.083271976016008
0.5,35.481338923357605,1.1740581227464386,1.3688616163641971e-05,1.0835396267541113
0.5,39.81071705534978,1.1745782801147688,1.2241887006160391e-05,1.0837796270989637
0.5,44.668359215096345,1.175044497822184,1.0944084786726595e-05,1.0839946945544447
0.5,50.118723362727245,1.175462118259681,9.780681317947333e-06,1.0841873077377733
0.5,56.23413251903491,1.1758360057625799,8.738402677102796e-06,1.0843597215696366
0.5,63.09573444801943,1.1761705787246224,7.805154912306636e-06,1.0845139827243457
0.5,70.79457843841388,1.1764698419882849,6.969946414701567e-06,1.0846519450903525
0.5,79.43282347242821,1.1767374187720248,6.222809291736193e-06,1.0847752849194274
0.5,89.12509381337459,1.1769765815820292,5.55472151850023e-06,1.084885515426411
0.5,100.0,1.1771902818038167,4.95753118283547e-06,1.08498400071329
1.0,0.0001,1.0000716023652332,0.00042533147041265955,1.000035800541777
1.0,0.0001122018454301963,1.0000803381947956,0.00042532999805799525,1.000040168290652
1.0,0.00012589254117941674,1.0000901397028938,0.00042532834598362645,1.0000450688358469
1.0,0.0001412537544622754,1.000101136856726,0.00042532649224374486,1.0000505671498447
1.0,0.00015848931924611142,1.0001134754638572,0.00042532441220994617,1.0000567361224348
1.0,0.00017782794100389227,1.0001273191024902,0.0004253220782435643,1.000063657525105
1.0,0.00019952623149688788,1.00014285128308,0.0004253194593264349,1.000071423090911
1.0,0.000223872113856834,1.0001602778741017,0.0004253165206470194,1.0000801357261835
1.0,0.00025118864315095795,1.0001798298206672,0.00042531322313499483,1.0000899108683514
1.0,0.0002818382931264455,1.0002017661941267,0.0004253095229391303,1.000100878008877
1.0,0.00031622776601683794,1.0002263776096627,0.00042530537084018626,1.0001131823997036
1.0,0.0003548133892335753,1.000253990057255,0.0004253007115912409,1.0001269869657827
1.0,0.00039810717055349735,1.0002849691968554,0.00042529548317691494,1.0001424744489433
1.0,0.00044668359215096305,1.0003197251710205,0.0004252896159803576,1.0001598498095294
1.0,0.0005011872336272725,1.0003587179970785,0.0004252830318465348,1.0001793429165984
1.0,0.0005623413251903491,1.0004024636097206,0.00042527564302956386,1.000201211561814
1.0,0.000630957344480193,1.000451540628023,0.0004252673510080654,1.0002257448336465
1.0,0.000707945784384138,1.0005065979351853,0.0004252580451528866,1.0002532668955324
1.0,0.0007943282347242813,1.0005683631643465,0.00042524760122735286,1.0002841412140584
1.0,0.0008912509381337459,1.0006376521976765,0.0004252358796989862,1.0003187752899956
1.0,0.001,1.0007153797963522,0.0004252227238381372,1.000357625950016
1.0,0.001122018454301963,1.0008025714906381,0.00042520795757507976,1.0004012052624878
1.0,0.0012589254117941675,1.000900376878781,0.00042519138308556956,1.0004500871501691
1.0,0.0014125375446227555,1.0010100844888805,0.0004251727780662301,1.0005049147749752
1.0,0.001584893192461114,1.0011331383859583,0.0004251518926608923,1.0005664087835242
1.0,0.0017782794100389228,1.0012711567152612,0.00042512844598924037,1.0006353765059783
1.0,0.001995262314968879,1.0014259523971523,0.00042510212222447757,1.0007127222121004
1.0,0.00223872113856834,1.001599556206453,0.0004250725661575875,1.000799458536251
1.0,0.002511886431509582,1.001794242492777,0.00042503937817752645,1.0008967191937324
1.0,0.002818382931264455,1.0020125578169297,0.0004250021085843953,1.0010057731186817
1.0,0.0031622776601683794,1.002257352806308,0.0004249602511423328,1.001128040165846
1.0,0.0035481338923357532,1.0025318175492453,0.00042491323576186144,1.0012651085248327
1.0,0.003981071705534973,1.0028395208733196,0.0004248604201856549,1.0014187540051962
1.0,0.004466835921509635,1.003184453872185,0.0004248010805313513,1.0015909613570726
1.0,0.005011872336272725,1.0035710780605964,0.0004247344005205964,1.0017839477954298
1.0,0.005623413251903491,1.0040043785558959,0.00042465945919838735,1.0020001889001298
1.0,0.006309573444801929,1.0044899226801602,0.00042457521691015293,1.0022424470556814
1.0,0.00707945784384138,1.0050339243874988,0.0004244804992718493,1.0025138025920135
1.0,0.00794328234724282,1.0056433148928026,0.0004243739788189104,1.002817687764233
1.0,0.008912509381337459,1.0063258198554696,0.00042425415397258413,1.0031579236867292
1.0,0.01,1.0070900434139303,0.00042411932490122326,1.0035387602947532
1.0,0.01122018454301964,1.00794555928518,0.0004239675657859017,1.0039649193498645
1.0,0.012589254117941675,1.0089030090269986,0.00042379669292213503,1.0044416404286505
1.0,0.01412537544622754,1.0099742073984337,0.0004236042280013602,1.0049747297312672
1.0,0.01584893192461114,1.0111722545357342,0.0004233873558172156,1.0055706114121148
1.0,0.01778279410038923,1.0125116543762598,0.00042314287553443645,1.0062363809643635
1.0,0.01995262314968881,1.014008438391728,0.0004228671445418565,1.006979859973241
1.0,0.0223872113856834,1.0156802932290998,0.0004225560137938148,1.0078096512879304
1.0,0.025118864315095822,1.0175466902713226,0.0004222047534267466,1.008735193334367
1.0,0.02818382931264455,1.0196290144096696,0.0004218079673325404,1.009766811897514
1.0,0.03162277660168379,1.0219506884589575,0.0004213594952970144,1.0109157672422355
1.0,0.035481338923357565,1.024537288596529,0.00042085230127722007,1.0121942938964479
1.0,0.039810717055349734,1.027416644998068,0.00042027834644238894,1.0136156298114527
1.0,0.04466835921509635,1.0306189204395957,0.0004196284457644807,1.0151940309318193
1.0,0.05011872336272725,1.0341766580582918,0.0004188921072721216,1.0169447664737215
1.0,0.056234132519034905,1.0381247877462578,0.0004180573536420216,1.0188840894558409
1.0,0.06309573444801936,1.042500578836832,0.00041711052667019535,1.0210291762906836
1.0,0.0707945784384138,1.047343524917832,0.0004160360764322592,1.0233980285880133
1.0,0.07943282347242822,1.0526951449100357,0.00041481633871222004,1.026009329835765
1.0,0.08912509381337459,1.0585986831558147,0.0004134313066502223,1.0288822494123488
1.0,0.1,1.0650986904268973,0.000411858405624493,1.0320361865879013
1.0,0.11220184543019641,1.0722404677684167,0.0004100722841858848,1.0354904479368299
1.0,0.12589254117941676,1.080069356347882,0.00040804463840335084,1.0392638530940457
1.0,0.14125375446227553,1.0886298593558152,0.0004057440921216212,1.0433742661939747
1.0,0.1584893192461114,1.0979645869558579,0.00040313616110728665,1.0478380537830538
1.0,0.1778279410038923,1.108113022696618,0.00040018333438029713,1.0526694745724405
1.0,0.19952623149688808,1.1191101199648783,0.0003968453104622083,1.057880012083071
1.0,0.223872113856834,1.1309847500351822,0.0003930794288101742,1.0634776678591715
1.0,0.25118864315095824,1.1437580388797777,0.00038884133612894636,1.0694662401776776
1.0,0.2818382931264455,1.1574416474058193,0.0003840859221535306,1.0758446204753822
1.0,0.31622776601683794,1.172036068074579,0.00037876854856720704,1.0826061463314252
