step,scenario,lambda_min_gain,relative_error_to_1e-4
0.001,shared_generic,633.7775226186633,2.1417421036673545e-06
0.001,expanded_generic,3.3511283026251357,2.745549385618773e-06
0.001,expanded_target_aligned,1.2069073478953583,6.380872173306074e-06
0.0001,shared_generic,633.776165233566,0.0
0.0001,expanded_generic,3.351137503338649,0.0
0.0001,expanded_target_aligned,1.2068996468229858,0.0
1e-05,shared_generic,633.7759079760084,4.0591232630671215e-07
1e-05,expanded_generic,3.3511382563019474,2.2468886995419268e-07
1e-05,expanded_target_aligned,1.20689964767685,7.074858476840973e-10
