profile,Vcem_fraction,Vcem_percent,lnCn_MAP,Cn_MAP,objective_MAP,nuisance_prior_norm,optimizer_success,optimizer_nfev,optimizer_optimality,active_bounds,selected_start_strategy,candidate_count,MAP_phi_bias_sigma,MAP_vsh_bias_sigma,MAP_sw_bias_sigma,MAP_f_kf_shift_sigma,MAP_log_clay_mod_scale_sigma,MAP_brine_salinity_shift_sigma,MAP_GOR_shift_sigma,MAP_log_cement_mod_scale_sigma,MAP_phic_pack_shift_sigma,MAP_logP_calibration_sigma,MAP_log_stress_bulk_scale_sigma,MAP_log_stress_shear_scale_sigma,MAP_stiff_cement_volume_shift_sigma,MAP_ln_soft_cn_offset_sigma,MAP_ln_stiff_cn_offset_sigma,MAP_soft_phic_shift_sigma
shared_generic,0.0083863298890968,0.83863298890968,1.7822753372212383,5.94336420317182,2.2999999411911354,1.3233659801809647,True,7,4.40870603164989e-06,0,nearest_multistart_MAP,1,0.030152544629438192,-0.025679999426974826,0.011853098436086906,-0.19571571466787696,0.03173658606531726,0.016891956751357136,-0.027082330238832233,0.08190669739382084,-0.2399777526979121,-0.24966958838115272,-0.2779744564988384,-1.1553099906551432,0.4130542765288442,0.0,0.0,0.0
shared_generic,0.008623627943236149,0.8623627943236148,1.7757717634912744,5.904836515499847,2.010825295258406,1.2378901470993753,True,13,1.5019842404338348e-05,0,forward_continuation,2,0.028378580157502574,-0.02419191285563562,0.010995659808759117,-0.18469448784104583,0.029727276321005643,0.01565761283791656,-0.025085587364117305,0.07515327739052508,-0.2276167340411727,-0.23240191081504097,-0.2534655596575199,-1.0796654187768417,0.39191843495622103,0.0,0.0,0.0
shared_generic,0.008860925997375499,0.8860925997375498,1.769487607011314,5.867845947837231,1.7457968123859844,1.1538952682690236,True,12,1.084952347431189e-05,0,forward_continuation,2,0.026605520814485365,-0.022701731461729106,0.010165116872916142,-0.1735979681120203,0.027742261713372046,0.014463253829269513,-0.023156875648810697,0.06873630040797521,-0.2149444909363424,-0.21559736721821018,-0.23035609919416727,-1.0054900566629918,0.3701542915481452,0.0,0.0,0.0
shared_generic,0.00909822405151485,0.9098224051514849,1.76341065910679,5.832295482268478,1.5036829977165114,1.071314892009554,True,11,7.707116721297293e-06,0,forward_continuation,2,0.02483493371425851,-0.021210911188894715,0.00936034740463693,-0.16244159896522034,0.02578177438001738,0.013307217701266107,-0.021293201250851698,0.06263624516464861,-0.2019987036096767,-0.1992343102963358,-0.20856306609766073,-0.9327188496055527,0.3478430088526995,0.0,0.0,0.0
shared_generic,0.0093355221056542,0.9335522105654199,1.7575296908924365,5.7980965977631325,1.2833406244329382,0.990087536350949,True,13,9.574245041238955e-06,0,nearest_multistart_MAP,2,0.02306835027021742,-0.019720850990495767,0.008580279408780036,-0.15124035135717517,0.02384602447885371,0.01218792983179063,-0.019491701828145722,0.05683395942206446,-0.18881583929362933,-0.18329157525849646,-0.1880071108885454,-0.8612880753918856,0.32506423154439296,0.0,0.0,0.0
shared_generic,0.00957282015979355,0.9572820159793549,1.75183434214688,5.765168273730881,1.0837071169438184,0.9101564980805342,True,7,1.64896663282522e-05,0,nearest_multistart_MAP,2,0.02130732172888256,-0.0182329696637647,0.007823905684904204,-0.14000914446132456,0.021935228955838933,0.011103922839322124,-0.017749647481584797,0.051310421051727055,-0.17543204088962144,-0.16774842427795708,-0.1686124113053787,-0.7911346192954106,0.3018978423985648,0.0,0.0,0.0
shared_generic,0.009810118213932899,0.9810118213932899,1.746315079926761,5.733436446973225,0.9037937338520129,0.8314691188126806,True,6,5.146873662782484e-06,0,nearest_multistart_MAP,2,0.019553196645151677,-0.016748358758000938,0.0070902657403807984,-0.12876109582305714,0.02004945690089585,0.010053785624976493,-0.016064425061430278,0.04604786480285542,-0.16187928819806935,-0.15258495001995934,-0.15030689493791477,-0.7221992142294095,0.2784167726642019,0.0,0.0,0.0
shared_generic,0.010047416268072248,1.004741626807225,1.7409632517387208,5.702834042630039,0.7426794454394394,0.7539746435380172,True,13,1.0463441715445667e-05,0,nearest_multistart_MAP,2,0.01780655856584366,-0.015267761896894669,0.006378379451011357,-0.11750365732887111,0.018188396881161344,0.009036096234845279,-0.014433465446833943,0.0410320598037087,-0.14818103998293844,-0.13778374619408196,-0.13302775289539698,-0.65443067869832,0.2546713382900486,0.0,0.0,0.0
shared_generic,0.0102847143222116,1.0284714322211599,1.7357707289491253,5.673298694743596,0.5995054176048233,0.677626312027613,True,13,7.233469137733703e-06,0,nearest_multistart_MAP,2,0.016068458574293377,-0.013792100897883526,0.0056873819207157285,-0.10624742103551871,0.01635198414027398,0.008049594197544472,-0.012854381549594222,0.03624715663065199,-0.13436467236123917,-0.12332666572749253,-0.11671247428107207,-0.5877736969244465,0.23072454053710598,0.0,0.0,0.0
shared_generic,0.01052201237635095,1.0522012376350949,1.7307301041151653,5.644773676806006,0.47347002894732376,0.6023801182101975,True,11,5.043760072052786e-06,0,nearest_multistart_MAP,2,0.014339394870888422,-0.012321824094735617,0.005016415525012794,-0.09499864898741765,0.014539827611570898,0.007093035447594752,-0.011324863656368433,0.03168004640017249,-0.12045035851407779,-0.10919750482463683,-0.1013040561930467,-0.522181129344911,0.20662243416366471,0.0,0.0,0.0
shared_generic,0.010759310430490299,1.0759310430490299,1.7258344326386934,5.617206254906253,0.36382435911826566,0.5281945161888635,True,11,1.0506760743476858e-06,0,nearest_multistart_MAP,2,0.01261987585900401,-0.01085750442346048,0.00436465304313243,-0.08376373024913346,0.01275161668727244,0.00616520811430356,-0.00984269275232095,0.027317997657859604,-0.10645761206346004,-0.09538061714599388,-0.08674913049759571,-0.4576063278177976,0.18241018132572082,0.0,0.0,0.0
shared_generic,0.01099660848462965,1.099660848462965,1.721077313759596,5.590547995511196,0.26986809537652395,0.45503010950974804,True,5,1.0807847063490476e-06,0,nearest_multistart_MAP,2,0.01091021929406802,-0.0093994689646237,0.0037312964344063467,-0.07254736265546717,0.010986916393496138,0.005264975539638497,-0.008405765967738742,0.023149445505416564,-0.0924029856023052,-0.08186132669365838,-0.07299811894935608,-0.3940058572643549,0.15812672052576662,0.0,0.0,0.0
shared_generic,0.011233906538769,1.1233906538769,1.7164527747588014,5.564753976962523,0.1909458118587363,0.38284974702543295,True,5,4.937842545096832e-07,0,nearest_multistart_MAP,2,0.009210672294421345,-0.007948001439004137,0.003115613048778399,-0.0613535900646556,0.009245282725422134,0.004391262613152368,-0.007012077978849541,0.01916356747787781,-0.07830134269959832,-0.06862570736636377,-0.060004558885333334,-0.33133841841081496,0.13380769391103084,0.0,0.0,0.0
shared_generic,0.01147120459290835,1.147120459290835,1.7119552416784094,5.539782508961739,0.12644358204815256,0.3116183705827004,True,5,5.275638695273454e-07,0,nearest_multistart_MAP,2,0.0075214044711449735,-0.006503318825026732,0.002516884986873474,-0.05018579538052147,0.007526254291671495,0.0035430268916770966,-0.005659711450218008,0.015350225901416534,-0.06416594790140873,-0.05566055446042118,-0.04772488239749686,-0.2695648293014514,0.10948565355515905,0.0,0.0,0.0
shared_generic,0.0117085026470477,1.1708502647047698,1.707579504299198,5.515594833615733,0.07578588996980767,0.24130274872465662,True,6,4.908742714603168e-08,0,nearest_multistart_MAP,2,0.005842505040495669,-0.005065571160987125,0.0019344239946396285,-0.039046656084397564,0.005829351263619666,0.0027192728070251204,-0.004346836540570661,0.011700038493805121,-0.050008370683178496,-0.042953391532046345,-0.03611838100162959,-0.20864805876060147,0.08518976344325,0.0,0.0,0.0
shared_generic,0.011945800701187049,1.1945800701187048,1.7033207078925294,5.492154986354378,0.038432809875763876,0.1718712206241402,True,6,9.07916710871649e-09,0,nearest_multistart_MAP,2,0.004173955524639335,-0.0036348154937059472,0.0013675653121575438,-0.027937933043872484,0.004154053915205276,0.0019190457134811024,-0.003071714420929439,0.008204426677030148,-0.03583842038416589,-0.030492519245813043,-0.02514729729299662,-0.1485533485592478,0.06094528177743076,0.0,0.0,0.0
shared_generic,0.012183098755326398,1.2183098755326398,1.6991742947228545,5.4694293900046596,0.013877427745107213,0.10329379901008842,True,9,2.0098796212845455e-07,0,forward_continuation,2,0.002515705379765525,-0.0022110758572072534,0.0008156998772970062,-0.016861017369145165,0.0024998505829297427,0.001141453776726498,-0.0018326875865674191,0.004855345798501977,-0.02166478133825332,-0.018266837092518085,-0.014776176086895893,-0.08924764300136413,0.03677539212295116,0.0,0.0,0.0
shared_generic,0.012420396809465748,1.2420396809465748,1.6951391549178652,5.447403945521849,0.0016429479013990477,0.03554751588325177,True,8,7.254799304687168e-08,0,forward_continuation,2,0.0008670928956564582,-0.0007382511457799513,0.00027804784440663507,-0.005825596273611683,0.0008770678624759786,0.00038819166366082386,-0.0006256455703708044,0.0016456684409586746,-0.007498711514980847,-0.006266752888009067,-0.0049724494690279635,-0.030703747851237927,0.012702215881493666,0.0,0.0,0.0
shared_generic,0.012546045825196089,1.2546045825196088,1.6930438416630622,5.436001877454284,0.0,0.0,True,1,0.0,0,nearest_multistart_MAP,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
