profile,Vcem_fraction,Vcem_percent,start_strategy,start_lnCn,start_Cn,result_lnCn,result_Cn,objective,success,nfev,optimality,active_bounds,start_phi_bias_sigma,start_vsh_bias_sigma,start_sw_bias_sigma,start_f_kf_shift_sigma,start_log_clay_mod_scale_sigma,start_brine_salinity_shift_sigma,start_GOR_shift_sigma,start_log_cement_mod_scale_sigma,start_phic_pack_shift_sigma,result_phi_bias_sigma,result_vsh_bias_sigma,result_sw_bias_sigma,result_f_kf_shift_sigma,result_log_clay_mod_scale_sigma,result_brine_salinity_shift_sigma,result_GOR_shift_sigma,result_log_cement_mod_scale_sigma,result_phic_pack_shift_sigma,start_logP_calibration_sigma,start_log_stress_bulk_scale_sigma,start_log_stress_shear_scale_sigma,start_stiff_cement_volume_shift_sigma,start_ln_soft_cn_offset_sigma,start_ln_stiff_cn_offset_sigma,start_soft_phic_shift_sigma,result_logP_calibration_sigma,result_log_stress_bulk_scale_sigma,result_log_stress_shear_scale_sigma,result_stiff_cement_volume_shift_sigma,result_ln_soft_cn_offset_sigma,result_ln_stiff_cn_offset_sigma,result_soft_phic_shift_sigma
static,0.001,0.1,stored_original,2.429843748564517,11.357107377024528,2.429843748564517,11.357107377024528,0.0091316369920618,True,8,1.1370314263967666e-07,0,-0.0022341098520445,-0.0163643567683478,-0.0110266513556733,-0.0027419445622395,0.0687453473513987,-0.0026642492318906,0.0019651915821048,0.0007115477967365,-0.0071871592970045,-0.0022341098520445,-0.0163643567683478,-0.0110266513556733,-0.0027419445622395,0.0687453473513987,-0.0026642492318906,0.0019651915821048,0.0007115477967365,-0.0071871592970045,,,,,,,,,,,,,,
static,0.0029666666666666,0.29666666666666003,stored_original,2.097280747918457,8.143994202372266,2.097280747918457,8.143994202372266,0.0048900603805806,True,7,6.604930050678107e-08,0,-0.0017845640211051,-0.0111875070499452,-0.0122001549551943,-0.0076885487286112,0.0469190537956822,-0.0025699600216421,0.0024352380383711,0.0004324379242882,-0.0067408283312704,-0.0017845640211051,-0.0111875070499452,-0.0122001549551943,-0.0076885487286112,0.0469190537956822,-0.0025699600216421,0.0024352380383711,0.0004324379242882,-0.0067408283312704,,,,,,,,,,,,,,
static,0.0049333333333333,0.49333333333333,stored_original,1.9475020789412565,7.011152383752865,1.9475020789412565,7.011152383752865,0.0028524533847353,True,6,4.34331587817979e-08,0,-0.0013956257648196,-0.0081300616022161,-0.0106889814364637,-0.0078692532818255,0.0340078610455138,-0.0021588717457797,0.0021914190724117,0.0003204410136264,-0.0056360176409968,-0.0013956257648196,-0.0081300616022161,-0.0106889814364637,-0.0078692532818255,0.0340078610455138,-0.0021588717457797,0.0021914190724117,0.0003204410136264,-0.0056360176409968,,,,,,,,,,,,,,
static,0.0068999999999999,0.6899999999999901,stored_original,1.8521833511907613,6.373720411868944,1.8521833511907613,6.373720411868944,0.0015115476260843,True,6,3.7096543194526994e-08,0,-0.0010266084142489,-0.0056974228157684,-0.0083944961110372,-0.0066414120717376,0.0237493383649927,-0.0016553950624549,0.0017417026961729,0.0002335730904748,-0.0043273002358025,-0.0010266084142489,-0.0056974228157684,-0.0083944961110372,-0.0066414120717376,0.0237493383649927,-0.0016553950624549,0.0017417026961729,0.0002335730904748,-0.0043273002358025,,,,,,,,,,,,,,
static,0.0088666666666666,0.8866666666666599,stored_original,1.7834474398947182,5.950334520409557,1.7834474398947182,5.950334520409557,0.0006296819994557,True,6,4.284858122683235e-08,0,-0.0006669767385521,-0.0035730148749405,-0.005699637830242,-0.0047006647008002,0.0148084367957705,-0.0011046920550087,0.0011886483919085,0.0001525177886598,-0.0028989122700678,-0.0006669767385521,-0.0035730148749405,-0.005699637830242,-0.0047006647008002,0.0148084367957705,-0.0011046920550087,0.0011886483919085,0.0001525177886598,-0.0028989122700678,,,,,,,,,,,,,,
static,0.0108333333333333,1.0833333333333302,stored_original,1.73050518657251,5.643504210949696,1.73050518657251,5.643504210949696,0.0001354460543939,True,6,1.1979473836414836e-08,0,-0.0003155301028043,-0.0015347289883651,-0.0027494554808563,-0.0023115713910722,0.0067132579284172,-0.0005254456104769,0.000572937932938,7.166011629568738e-05,-0.0013842054641912,-0.0003155301028043,-0.0015347289883651,-0.0027494554808563,-0.0023115713910722,0.0067132579284172,-0.0005254456104769,0.000572937932938,7.166011629568738e-05,-0.0013842054641912,,,,,,,,,,,,,,
static,0.012546045825196,1.2546045825196002,stored_original,1.6930438416630622,5.436001877454284,1.6930438416630622,5.436001877454284,0.0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
static,0.0127999999999999,1.27999999999999,stored_original,1.688028882259698,5.408808791824222,1.688028882259698,5.408808791824222,3.4805939267175347e-06,True,21,0.0003951876786391,0,-1.0384749111437004e-05,3.851668428227653e-09,6.325106857131214e-05,0.0004371203136136,-0.0010741496782805,0.0001907925966495,-9.253354108200904e-05,-1.642180181215331e-05,0.0002450358415272,-1.0384749111437004e-05,3.851668428227653e-09,6.325106857131214e-05,0.0004371203136136,-0.0010741496782805,0.0001907925966495,-9.253354108200904e-05,-1.642180181215331e-05,0.0002450358415272,,,,,,,,,,,,,,
static,0.0147666666666666,1.47666666666666,stored_original,1.653010947160781,5.222681394739597,1.653010947160781,5.222681394739597,0.0002662769704386,True,29,0.0035030789556645,0,-9.889679485350671e-05,1.2143583228096975e-09,0.0005581316956765,0.0039181801829543,-0.0091570942656497,0.0016913132968973,-0.0008297252036999,-0.0001214867448328,0.0022236166640297,-9.889679485350671e-05,1.2143583228096975e-09,0.0005581316956765,0.0039181801829543,-0.0091570942656497,0.0016913132968973,-0.0008297252036999,-0.0001214867448328,0.0022236166640297,,,,,,,,,,,,,,
static,0.0167333333333333,1.6733333333333302,stored_original,1.6236965584555147,5.071803926968019,1.6236965584555147,5.071803926968019,0.0009510178582796,True,33,0.0064205275250242,0,-0.0002959386355587,2.500349520508409e-09,0.001047773273164,0.0082518303471793,-0.0170633922661415,0.0032453625193952,-0.0015520441567487,-0.0006853694276021,0.0036047784763108,-0.0002959386355587,2.500349520508409e-09,0.001047773273164,0.0082518303471793,-0.0170633922661415,0.0032453625193952,-0.0015520441567487,-0.0006853694276021,0.0036047784763108,,,,,,,,,,,,,,
