scenario,Vcem_fraction,Vcem_percent,lnCn_MAP,Cn_MAP,objective_MAP,static_lambda_min,static_lambda_max,combined_lambda_min,combined_lambda_max,lambda_min_gain,static_spectral_ratio,combined_spectral_ratio,weak_rotation_combined_vs_static_deg,static_weak_rotation_vs_pooled_deg,combined_weak_rotation_vs_pooled_deg,bounding_weight_min,bounding_weight_max,convex_weight_valid
expanded_generic,0.001,0.1,2.4314527341643606,11.3753955079743,0.0426166146724242,0.0003238180155591408,1490.6763517557433,0.001378312093436307,2966.301978472943,4.256440430148265,2.1722892107179575e-07,4.646567016571469e-07,0.0024297944983901103,31.245317306581562,31.247747101142657,0.75365994670602,0.8835994368112511,True
expanded_generic,0.0029666666666666,0.29666666666666,2.098504410477602,8.153965802852435,0.0209926738572919,0.0004274186011699044,160.80022692422986,0.0020602734295644964,321.63950941242774,4.820270863095899,2.6580721267968538e-06,6.405535916057737e-06,0.01312859331816518,26.178031195055965,26.191159788396117,0.7555113578211217,0.8851980810269374,True
expanded_generic,0.0049333333333333,0.49333333333333,1.9484413457811616,7.017740820362092,0.0115704998489404,0.0007093057756728527,56.2107922306751,0.003256272581620756,112.79120906780035,4.59078819502327,1.2618676014421543e-05,2.8869914672723878e-05,0.03267146915583263,20.880475558702713,20.91314702787055,0.7567017498182456,0.885010331908741,True
expanded_generic,0.0068999999999999,0.6899999999999901,1.852866657174828,6.378077101473667,0.0058793457301309,0.0011526043979177558,28.309446605947965,0.004880874661310486,56.94869392319326,4.234648653196238,4.071448000949575e-05,8.570652503274833e-05,0.06104801788135765,15.450945903877003,15.511993921766923,0.7576938786498876,0.8842947632348235,True
expanded_generic,0.0088666666666666,0.8866666666666599,1.7838877678597336,5.952955196036129,0.0023694944203839,0.0017471061569120927,17.216136098372388,0.006877826327526648,34.705142907539255,3.936696290786818,0.00010148073568477796,0.00019817887930473056,0.09718064397412673,9.992280807743228,10.089461451724269,0.7585867831575144,0.8833069142620733,True
expanded_generic,0.0108333333333333,1.0833333333333302,1.730707510249041,5.64464614098602,0.0004951501244179,0.0024751950609642748,11.793325082888831,0.009165297330628874,23.81909550158475,3.70285860503386,0.000209881016894513,0.0003847877989329646,0.13885127945479503,4.606695178750602,4.745546458205745,0.7594196396197964,0.8821438033910156,True
expanded_generic,0.012546045825196,1.2546045825196002,1.6930438416630622,5.436001877454284,0.0,0.003498495204351748,8.225104926030983,0.011723938484553553,17.487983701680175,3.351137503338649,0.0004253435349231397,0.0006703996689696802,0.21326202931493152,0.0,0.21326202955761003,0.760110656373033,0.881025031899807,True
expanded_generic,0.0127999999999999,1.27999999999999,1.687998491854169,5.40864441842931,1.119768062371517e-05,0.003741912755235166,7.965785266134841,0.012220880948953905,16.931387636406004,3.265944918639843,0.00046974813282291974,0.0007217885037772374,0.22399007797362705,0.6744238431740278,0.4504337651987395,0.760211516221635,0.8808517813142235,True
expanded_generic,0.0147666666666666,1.47666666666666,1.652755317777571,5.221346494543083,0.0008403702883191,0.00479848682727857,6.321950810587529,0.014979925353308499,13.45590318631043,3.121801912250797,0.0007590199561885904,0.0011132604884188345,0.28003656743059496,5.674611534836232,5.394574967404751,0.7609842050422804,0.8794663096648979,True
expanded_generic,0.0167333333333333,1.6733333333333302,1.6230869449058245,5.068713028795192,0.0029473461038099,0.0058405977450917135,5.2670304472896845,0.017667882881735597,11.21851566593475,3.025012790271891,0.0011088976613182816,0.001574885966009254,0.3338481644883029,10.38167876009829,10.047830595609542,0.7617275424663326,0.8779848865969251,True
expanded_generic,0.0186999999999999,1.86999999999999,1.597721146603602,4.941758040845087,0.0063044741677991,0.006867639310076834,4.557546431350811,0.020249471775767525,9.710767907184932,2.948534548990602,0.0015068720447553037,0.002085259576720506,0.3839490356316847,14.766111788487846,14.3821627528556,0.7624462372151827,0.8764164394027992,True
expanded_generic,0.0206666666666666,2.06666666666666,1.5758630467859798,4.83491257374372,0.0108994466182233,0.007854535473370672,4.063010493006793,0.022676486185503997,8.65782626817662,2.8870563080890483,0.0019331811933269206,0.0026191893303351968,0.4293207130018085,18.815664525721395,18.386343812718316,0.7631624605950719,0.8748011190772553,True
expanded_generic,0.0226333333333333,2.26333333333333,1.556828277580072,4.74375149626565,0.0167368957021365,0.008785655720365826,3.708435497905449,0.024922518203560395,7.901261383938483,2.836728298581981,0.0023691003188077635,0.0031542455049294238,0.4695797793885444,22.533172009414667,22.063592230024174,0.7636722415424574,0.873119746848388,True
expanded_generic,0.0245999999999999,2.45999999999999,1.5401645749032775,4.665358008654247,0.0238314845287375,0.009653939221595631,3.4484902486270324,0.0269819230880326,7.345208414809418,2.794913295877675,0.002799468325432908,0.003673404696540892,0.5048210120616502,25.931837192357364,25.427016180294967,0.7639600486654408,0.8713717253494949,True
expanded_generic,0.0265666666666666,2.65666666666666,1.5254721513562122,4.597313684846109,0.0321857066240443,0.010459487011005408,3.254173392423634,0.028864675050231048,6.928880423544241,2.759664505521142,0.003214176305219994,0.004165849788971574,0.5354687761802506,29.031609077208106,28.496140301028106,0.7642654661015448,0.8695990647659019,True
expanded_generic,0.0285333333333333,2.85333333333333,1.512503717561589,4.53807864968502,0.0418410283551492,0.011204408949388511,3.1071669627239134,0.030582158330539122,6.612680675569258,2.729475376049012,0.003605988697680446,0.004624774706500768,0.5620139439954853,31.85575185437652,31.293737910380745,0.7645527485771385,0.8677590287519398,True
expanded_generic,0.0305,3.05,1.501017741576811,4.486252593489002,0.05281664128369,0.011894508313013141,2.9945320717007977,0.032154922680743936,6.369520357889402,2.7033418981737114,0.003972075779524861,0.005048248670862049,0.5850380606272885,34.428693159398584,33.84365509877114,0.7648307912084398,0.8658617584580209,True
expanded_generic,0.0324666666666666,3.2466666666666604,1.4908255580745031,4.440760111495548,0.0651427139219547,0.012536433294609683,2.9075205129915442,0.03360201248748129,6.180804664743189,2.680348684336654,0.004311726517007773,0.005436510990090875,0.6051264386105585,36.77470057617869,36.16957413756845,0.7651083333656695,0.8639188764252427,True
expanded_generic,0.0344333333333333,3.4433333333333302,1.481771326198372,4.4007339164078125,0.0788479120323724,0.013136448613965512,2.839801438251068,0.03494556030525198,6.033116672644917,2.660198454862522,0.004625833495617842,0.00579228982321866,0.6227496065137703,38.91661711555175,38.2938675090375,0.7653654415728138,0.8619099117565925,True
expanded_generic,0.0363999999999999,3.63999999999999,1.473750601655961,4.365578018238122,0.0939706389873327,0.013701140043335808,2.7870283237502496,0.036199958244177155,5.91705973745035,2.6421128555491777,0.004916039039351934,0.006117896362455123,0.6383819772962016,40.875764407414465,40.237382430118025,0.7656160548499131,0.8598521935161878,True
expanded_generic,0.0383666666666666,3.83666666666666,1.466642394019178,4.334656611316381,0.1105420297029999,0.014237065161834705,2.74573045962814,0.03738227977645109,5.825575494685524,2.6257012489246554,0.005185164884597908,0.006416924784607749,0.6524330176004671,42.67143454885993,42.0190015312588,0.7658837943470628,0.857773781248094,True
expanded_generic,0.0403333333333333,4.03333333333333,1.4603810855136825,4.3076007798526845,0.1286346577397943,0.014748027799722632,2.7138300832500484,0.038504311807984415,5.753240844613479,2.6108109050830897,0.005434396166049048,0.006692629919019366,0.6651446103745826,44.32113304522039,43.65598843484604,0.7660834794555976,0.855569013168748,True
expanded_generic,0.0423,4.23,1.4544731361820895,4.282226720836441,0.1482095726533397,0.015232675369473966,2.6882247983320484,0.039556271662588294,5.69530678362746,2.5968039561755787,0.005666444033596193,0.006945415438603305,0.6770929498012563,45.83912135364219,45.162028403840196,0.7663175656329175,0.8533515467645403,True
expanded_generic,0.0442666666666666,4.42666666666666,1.449711613383332,4.261885267255162,0.1693609658174832,0.015710799069365164,2.6690711784698915,0.04059838600985968,5.650559218520408,2.584107010128045,0.005886242074058045,0.0071848439136419345,0.6880820808175555,47.241184363666626,46.55310228284932,0.7665686976288851,0.8511311842893802,True
expanded_generic,0.0462333333333333,4.62333333333333,1.4455164589354053,4.244043451073919,0.1921180749587178,0.01617660227744508,2.6545023366661784,0.04161160096941635,5.615390024035003,2.5723325736601135,0.006094024500939588,0.007410277966679126,0.6984495712748635,48.538834492868425,47.840384921593376,0.7667984991819796,0.8502993636255533,True
expanded_generic,0.0481999999999999,4.819999999999991,1.4419048840541857,4.22874341559359,0.2165363927137424,0.01663347012331645,2.6437517829337844,0.04259919369617106,5.588049926645171,2.561052707604073,0.006291615661761638,0.007623266480323989,0.708351790164681,49.74224983369132,49.03389804352627,0.7670091634718967,0.8503534734613842,True
expanded_generic,0.0501666666666666,5.01666666666666,1.4388065209573877,4.215661509761384,0.2426445827554734,0.017084548623274038,2.6360605838460227,0.043573042210108756,5.567329329545235,2.550435669734336,0.006481091037121619,0.007826560929110332,0.7180136476284986,50.86139731134077,50.14338366371226,0.7672508403043425,0.8504200067000812,True
expanded_generic,0.0521333333333333,5.21333333333333,1.436181194942713,4.204608539104846,0.2705047599117991,0.01753077238911556,2.6309687427442863,0.04453308389360647,5.551592217048469,2.54028076488267,0.0066632385646777864,0.008021677773242988,0.7274801172850627,51.904366188846666,51.176886071561206,0.7674436559322759,0.8504389096531549,True
expanded_generic,0.0540999999999999,5.4099999999999895,1.4339920792559406,4.195414231967913,0.3001435763781336,0.017975472805023027,2.627826730268678,0.04548343941073059,5.540036095624931,2.530305594967204,0.0068404330460498635,0.00820995362226064,0.7367465200759373,52.87842273582129,52.14167621574498,0.7676392857452545,0.850448579801447,True
expanded_generic,0.0560666666666666,5.60666666666666,1.432247105494237,4.188099727878524,0.3316245708985803,0.01842122646959352,2.626478460663564,0.04643377845207074,5.532039901257159,2.520667042920044,0.007013659828354164,0.008393608737622923,0.7459137088735283,53.79056378209684,53.044650073222414,0.7678264871885742,0.8504434997787088,True
expanded_generic,0.0580333333333333,5.80333333333333,1.4308662376344898,4.182320506659615,0.364994397812399,0.01886532762521939,2.6267491165125625,0.04737500448493804,5.527272074109471,2.5112208717545186,0.007182005889571285,0.00857113669270042,0.7553635263066112,54.645719103073915,53.890355576766595,0.7680421177508832,0.8504457495013854,True
expanded_generic,0.06,6.0,1.4299272520195698,4.17839521105334,0.4003953452651909,0.01931240262544779,2.6286703227051214,0.0483196226510485,5.5243488125453,2.5019995485894717,0.007346833286257713,0.00874666395816987,0.7645883190192829,55.44966648949519,54.68507817047557,0.7681072930418099,0.8503313517359709,True
expanded_target_aligned,0.001,0.1,2.429572311625164,11.354025056904902,0.0151552569580954,0.0003257725825083213,1488.4241269198067,0.000824565094135643,2904.9487441397623,2.531106478595635,2.188708020895131e-07,2.8384841412402273e-07,0.0012157958558080537,31.245095175077445,31.243879378769684,0.7524078162879503,0.8831670706391209,True
