profile,Vcem_fraction,Vcem_percent,lnCn_MAP,Cn_MAP,objective_MAP,nuisance_prior_norm,optimizer_success,optimizer_nfev,optimizer_optimality,active_bounds,MAP_phi_bias_sigma,MAP_vsh_bias_sigma,MAP_sw_bias_sigma,MAP_f_kf_shift_sigma,MAP_log_clay_mod_scale_sigma,MAP_brine_salinity_shift_sigma,MAP_GOR_shift_sigma,MAP_log_cement_mod_scale_sigma,MAP_phic_pack_shift_sigma,MAP_logP_calibration_sigma,MAP_log_stress_bulk_scale_sigma,MAP_log_stress_shear_scale_sigma,MAP_stiff_cement_volume_shift_sigma,MAP_ln_soft_cn_offset_sigma,MAP_ln_stiff_cn_offset_sigma,MAP_soft_phic_shift_sigma
static,0.001,0.1,2.4298437485645175,11.357107377024533,0.009131636992061883,0.07204813157043546,True,8,1.1370314263967663e-07,0,-0.0022341098520445852,-0.016364356768347833,-0.011026651355673371,-0.0027419445622395722,0.06874534735139878,-0.002664249231890681,0.0019651915821048685,0.0007115477967365381,-0.0071871592970045705,,,,,,,
static,0.0029666666666666665,0.29666666666666663,2.097280747918457,8.143994202372266,0.004890060380580663,0.050949592758622625,True,7,6.604930050678106e-08,0,-0.0017845640211051374,-0.011187507049945202,-0.01220015495519434,-0.00768854872861128,0.04691905379568221,-0.002569960021642149,0.0024352380383711432,0.0004324379242882879,-0.006740828331270452,,,,,,,
static,0.004933333333333333,0.4933333333333333,1.9475020789412565,7.011152383752865,0.0028524533847353456,0.037974862465100845,True,6,4.34331587817979e-08,0,-0.0013956257648196112,-0.00813006160221617,-0.010688981436463792,-0.007869253281825585,0.03400786104551386,-0.002158871745779789,0.0021914190724117736,0.00032044101362646316,-0.005636017640996809,,,,,,,
static,0.006899999999999999,0.69,1.8521833511907613,6.373720411868944,0.0015115476260843962,0.02714176649430974,True,6,3.709654319452699e-08,0,-0.0010266084142489737,-0.0056974228157684525,-0.008394496111037281,-0.0066414120717376915,0.023749338364992784,-0.001655395062454977,0.0017417026961729966,0.00023357309047489054,-0.004327300235802594,,,,,,,
static,0.008866666666666665,0.8866666666666665,1.7834474398947182,5.950334520409557,0.0006296819994557124,0.01726682939011437,True,6,4.284858122683235e-08,0,-0.0006669767385521296,-0.003573014874940556,-0.005699637830242043,-0.004700664700800228,0.014808436795770577,-0.0011046920550087306,0.0011886483919085092,0.00015251778865985876,-0.0028989122700678513,,,,,,,
static,0.010833333333333334,1.0833333333333335,1.73050518657251,5.643504210949696,0.00013544605439390892,0.007934176892918983,True,6,1.1979473836414836e-08,0,-0.0003155301028043687,-0.001534728988365197,-0.0027494554808563383,-0.00231157139107227,0.006713257928417255,-0.0005254456104769753,0.0005729379329380804,7.166011629568738e-05,-0.0013842054641912992,,,,,,,
static,0.012546045825196089,1.2546045825196088,1.6930438416630622,5.436001877454284,0.0,0.0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
static,0.012799999999999999,1.2799999999999998,1.688028882259698,5.408808791824222,3.4805939267175347e-06,0.0012059256822032523,True,21,0.0003951876786391025,0,-1.0384749111437004e-05,3.851668428227653e-09,6.325106857131214e-05,0.00043712031361365375,-0.0010741496782805274,0.00019079259664955912,-9.253354108200905e-05,-1.642180181215331e-05,0.00024503584152721337,,,,,,,
static,0.014766666666666664,1.4766666666666663,1.653010947160781,5.222681394739597,0.0002662769704386161,0.010393941388206996,True,29,0.0035030789556645663,0,-9.889679485350673e-05,1.2143583228096975e-09,0.000558131695676504,0.003918180182954388,-0.009157094265649753,0.0016913132968973952,-0.0008297252036999233,-0.00012148674483280269,0.0022236166640297777,,,,,,,
static,0.016733333333333333,1.6733333333333333,1.6236965584555147,5.071803926968019,0.0009510178582796721,0.01966832088097985,True,33,0.006420527525024228,0,-0.0002959386355587915,2.500349520508409e-09,0.0010477732731640657,0.008251830347179356,-0.017063392266141533,0.0032453625193952884,-0.0015520441567487362,-0.0006853694276021484,0.003604778476310897,,,,,,,
