scenario,Vcem_fraction,Vcem_percent,lnCn_MAP,Cn_MAP,objective_MAP,static_lambda_min,static_lambda_max,combined_lambda_min,combined_lambda_max,lambda_min_gain,static_spectral_ratio,combined_spectral_ratio,weak_rotation_combined_vs_static_deg,static_weak_rotation_vs_pooled_deg,combined_weak_rotation_vs_pooled_deg,bounding_weight_min,bounding_weight_max,convex_weight_valid
shared_generic,0.001,0.1,2.3367819104211427,10.347882510482465,57.03174172309931,0.00025171910924370877,1471.1354289807146,0.9149794088777601,2068.9166980803693,3634.9223212604716,1.7110532741238783e-07,0.0004422504829347251,0.7618749900733355,31.264189897861268,32.02606488793492,0.27938607421794365,0.42852692096501394,True
shared_generic,0.0029666666666666665,0.29666666666666663,2.054514339164581,7.803047317769221,20.93542361014111,0.0004481350099743153,158.68605702094578,1.4445303591168672,287.56702470845767,3223.4267061608507,2.8240351949457266e-06,0.00502328234811125,3.656679557609971,26.184905785166325,29.841585342776394,0.46090117548836784,0.6090364456930704,True
shared_generic,0.004933333333333333,0.4933333333333333,1.914254744134817,6.7818826753403885,10.375061366187834,0.0008014058785246192,55.322191920173424,1.775341724401729,123.0031445045495,2215.2841300217524,1.4486155568112691e-05,0.014433303567585338,7.656883019406588,20.865821464976946,28.522704484383556,0.5667210331527356,0.6997188984935957,True
shared_generic,0.006899999999999999,0.69,1.8289733058796032,6.227489648193561,4.753374028821539,0.0013304296827629791,27.96333213464472,1.9951561764151475,71.80894713025091,1499.6329398421817,4.7577651917765006e-05,0.027784228235462446,12.153622492657425,15.408995455499705,27.56261794815716,0.639718757683459,0.7626557538825364,True
shared_generic,0.008866666666666665,0.8866666666666665,1.7693384746110605,5.866970927135303,1.7396739487447148,0.002004039368034949,17.131925063646445,2.1535878636095105,48.226283977050414,1074.6235318327108,0.00011697689317398864,0.04465589479451381,16.828388293091017,9.932468782433233,26.760857075524317,0.6928526787032677,0.8180621151309888,True
shared_generic,0.010833333333333334,1.0833333333333335,1.7243360222931285,5.6087956777622745,0.33286346281330786,0.002782404265440075,11.845274331181749,2.2807004405752505,35.2670258801212,819.686940860309,0.00023489572192647457,0.0646694861179321,21.554431787075636,4.547225622243484,26.101657409319262,0.732400104294546,0.8563211420705786,True
shared_generic,0.012546045825196089,1.2546045825196088,1.6930438416630622,5.436001877454284,0.0,0.003498495204952601,8.225104925833122,2.2172628746946277,26.99011774767645,633.7761651225896,0.00042534353500642275,0.08215091521360664,26.655262911400797,0.0,26.655262911400815,0.7601106563730337,0.8810250318998076,True
shared_generic,0.012799999999999999,1.2799999999999998,1.6896587708662871,5.417631735904045,0.00645652310891885,0.00347920593169615,6.573007083829012,1.951955491595512,24.526328355038245,561.0347676787021,0.0005293172344596634,0.07958612733791186,28.831448523840308,0.5381067473680201,28.293341776472168,0.7637766813850433,0.8841234283107384,True
shared_generic,0.014766666666666664,1.4766666666666663,1.6668315469781791,5.295363079609531,0.4503979832409541,0.004239881678506752,5.285915284233321,2.0217040727408184,20.098172642528013,476.8303047204007,0.0008021092754084333,0.10059143727638524,33.74717550349983,5.440419849838098,28.306755653661696,0.789522237255758,0.9050383339942936,True
shared_generic,0.016733333333333333,1.6733333333333333,1.6490148995172835,5.20185295449558,1.4787707150052398,0.0049744352037546236,4.460057334504805,2.085329740062319,17.06669828745349,419.2093483272927,0.0011153298782216057,0.1221870630709714,38.49920190414725,10.028094699890236,28.47110720425701,0.8114625009076536,0.9217803359353569,True
