profile,Vcem_fraction,Vcem_percent,start_strategy,start_lnCn,start_Cn,result_lnCn,result_Cn,objective,success,nfev,optimality,active_bounds,start_phi_bias_sigma,start_vsh_bias_sigma,start_sw_bias_sigma,start_f_kf_shift_sigma,start_log_clay_mod_scale_sigma,start_brine_salinity_shift_sigma,start_GOR_shift_sigma,start_log_cement_mod_scale_sigma,start_phic_pack_shift_sigma,result_phi_bias_sigma,result_vsh_bias_sigma,result_sw_bias_sigma,result_f_kf_shift_sigma,result_log_clay_mod_scale_sigma,result_brine_salinity_shift_sigma,result_GOR_shift_sigma,result_log_cement_mod_scale_sigma,result_phic_pack_shift_sigma,start_logP_calibration_sigma,start_log_stress_bulk_scale_sigma,start_log_stress_shear_scale_sigma,start_stiff_cement_volume_shift_sigma,start_ln_soft_cn_offset_sigma,start_ln_stiff_cn_offset_sigma,start_soft_phic_shift_sigma,result_logP_calibration_sigma,result_log_stress_bulk_scale_sigma,result_log_stress_shear_scale_sigma,result_stiff_cement_volume_shift_sigma,result_ln_soft_cn_offset_sigma,result_ln_stiff_cn_offset_sigma,result_soft_phic_shift_sigma,stored_objective,stored_Cn,objective_improvement,Cn_shift_from_stored
expanded_generic,0.001,0.1,stored_refined,2.431452734478743,11.375395511550522,2.4314527341643606,11.3753955079743,0.042616614672424266,True,8,3.717001336388078e-05,0,-0.0049087243694961,-0.0166776825488964,-0.0139777231679235,0.0151307367914126,0.0703241775319298,-0.0020279830613008,0.0019673739446148,0.008895684321904,-0.0010115187740926,-0.004908724371471612,-0.01667768255578356,-0.013977723173869175,0.015130736794993552,0.07032417754012447,-0.0020279830648598186,0.001967373948347677,0.008895684327942395,-0.0010115187824092302,-0.005942324664743,-0.0063750935992582,-0.0342296478942247,-0.0192496009340527,-0.0237696008599082,0.0081166248037356,-0.0011473526779066,-0.005942324668272641,-0.006375093601356773,-0.03422964790144253,-0.019249600934460757,-0.02376960086348298,0.00811662480433833,-0.0011473526812843752,0.0426166146724276,11.375395511550522,3.3306690738754696e-15,-3.576221985213124e-09
expanded_generic,0.0029666666666666,0.29666666666666003,stored_refined,2.098504410477602,8.153965802852435,2.098504410477602,8.153965802852435,0.02099267385729198,True,8,2.63654666317169e-05,0,-0.0037300113715711,-0.0110906686595852,-0.0145014100705079,0.0050341337949449,0.047744981186366,-0.0021036721808402,0.0026705243497631,0.0044792132182666,-0.002781803667065,-0.0037300113715711,-0.0110906686595852,-0.0145014100705079,0.0050341337949449,0.047744981186366,-0.0021036721808402,0.0026705243497631,0.0044792132182666,-0.002781803667065,-0.0043726436715858,-0.0017325388371854,-0.0279342661112312,-0.0146853247879209,-0.017490298927931,0.0040602527450253,-0.0008462154076759,-0.0043726436715858,-0.0017325388371854,-0.0279342661112312,-0.0146853247879209,-0.017490298927931,0.0040602527450253,-0.0008462154076759,0.0209926738572921,8.153965802852435,1.1796119636642288e-16,0.0
expanded_generic,0.0049333333333333,0.49333333333333,stored_refined,1.9484413465162616,7.017740825520831,1.9484413457811618,7.017740820362092,0.011570499848940418,True,8,1.6155805870017738e-05,0,-0.0028553048361981,-0.0079419874268298,-0.0124733014053106,0.0015761429261489,0.0345105222240451,-0.0018073317838475,0.0024526809805415,0.0027025353822861,-0.0029219461061131,-0.002855304842290976,-0.007941987432542269,-0.012473301397633809,0.0015761429168348047,0.0345105222307715,-0.0018073317750119092,0.002452680978977239,0.0027025353765584422,-0.002921946091037666,-0.0032897444420616,-0.0002109125428757,-0.0220379672275853,-0.0112664618266023,-0.0131589260419395,0.0023364248891625,-0.0006265756243111,-0.0032897444421094366,-0.00021091253671297208,-0.022037967236587273,-0.011266461812572006,-0.013158926052662933,0.0023364248761884887,-0.0006265756279293815,0.0115704998489463,7.017740825520833,5.882447307037353e-15,-5.1587409899411796e-09
expanded_generic,0.0068999999999999,0.6899999999999901,stored_original,1.852866657174828,6.378077101473667,1.852866657174828,6.378077101473667,0.0058793457301309,True,6,3.027524062177887e-07,0,-0.0020708919478458,-0.0055084551226183,-0.0096988298422613,6.859813668309725e-05,0.0240527595380185,-0.0014028374746977,0.0019694292567186,0.0016267645808649,-0.0025436471086214,-0.0020708919478458,-0.0055084551226183,-0.0096988298422613,6.859813668309725e-05,0.0240527595380185,-0.0014028374746977,0.0019694292567186,0.0016267645808649,-0.0025436471086214,-0.0023515292505488,0.0003925336116465,-0.0162688907229109,-0.0081850755576878,-0.0094061418229815,0.0013112292285116,-0.0004334164874007,-0.0023515292505488,0.0003925336116465,-0.0162688907229109,-0.0081850755576878,-0.0094061418229815,0.0013112292285116,-0.0004334164874007,0.0058793457301309,6.378077101473666,0.0,8.881784197001252e-16
expanded_generic,0.0088666666666666,0.8866666666666599,stored_refined,1.7838877678597336,5.952955196036129,1.7838877678597336,5.952955196036129,0.002369494420383912,True,7,7.0540193779545934e-06,0,-0.0013303967665876,-0.003427173337355,-0.0065414775117768,-0.0004599075287965,0.0149739481717745,-0.000943568133202,0.001353020303904,0.0008869004430066,-0.0018609465289104,-0.0013303967665876,-0.003427173337355,-0.0065414775117768,-0.0004599075287965,0.0149739481717745,-0.000943568133202,0.001353020303904,0.0008869004430066,-0.0018609465289104,-0.0014892415148124,0.000521325854589,-0.0105669855342161,-0.0052618758141378,-0.0059569920452344,0.0006488440372589,-0.0002621475080839,-0.0014892415148124,0.000521325854589,-0.0105669855342161,-0.0052618758141378,-0.0059569920452344,0.0006488440372589,-0.0002621475080839,0.0023694944203849,5.952955196036129,9.879250195687916e-16,0.0
expanded_generic,0.0108333333333333,1.0833333333333302,stored_original,1.730707510249041,5.64464614098602,1.730707510249041,5.64464614098602,0.0004951501244179,True,6,9.420601044256957e-08,0,-0.0006171316466932,-0.0014623595732187,-0.0031365114493686,-0.0003914980500288,0.0067768415563077,-0.0004521204032324,0.0006554857245379,0.0003542470745325,-0.0009476886758702,-0.0006171316466932,-0.0014623595732187,-0.0031365114493686,-0.0003914980500288,0.0067768415563077,-0.0004521204032324,0.0006554857245379,0.0003542470745325,-0.0009476886758702,-0.0006758627124476,0.0003431170389355,-0.0049013533338368,-0.0024283230795834,-0.00270342242103,0.0002325866868455,-0.0001112436682218,-0.0006758627124476,0.0003431170389355,-0.0049013533338368,-0.0024283230795834,-0.00270342242103,0.0002325866868455,-0.0001112436682218,0.0004951501244179,5.64464614098602,0.0,0.0
expanded_generic,0.012546045825196,1.2546045825196002,stored_original,1.6930438416630622,5.436001877454284,1.6930438416630622,5.436001877454284,0.0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.436001877454284,0.0,0.0
expanded_generic,0.0127999999999999,1.27999999999999,zero_nuisance_local_lnCn,1.687998484030764,5.408644376115294,1.687998491854169,5.40864441842931,1.119768062371517e-05,True,27,0.011053101831365885,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.720973802035426e-05,1.1696475735290425e-10,6.262428934454671e-05,0.00015331772333811335,-0.0010537199090060547,0.00019407083683662318,-0.00010402421061031997,-4.793060440621052e-05,0.00019433469883788995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.923603009914305e-05,-6.453109744265703e-05,0.0007329762865663755,0.00035988553761841593,0.00039694364999278775,-2.196525805506193e-05,1.5776275862182936e-05,1.1197685423859558e-05,5.408644376115294,4.800144387401566e-12,4.231401540266688e-08
expanded_generic,0.0147666666666666,1.47666666666666,reverse_high_to_low,1.6230935957539052,5.068746740147616,1.652755317777571,5.221346494543083,0.0008403702883191159,True,35,0.10448270180405769,0,0.00030937782060931753,4.0639346181514517e-10,0.001103986355110804,0.0032382430879129187,-0.017079551332636278,0.003251379950546004,-0.001821743736025267,-0.00060872937351267,0.0035175196605122957,0.00018707640010306604,-2.6503754660394384e-11,0.0005745419777633611,0.001540583632866259,-0.009225546271203344,0.0016967105901891637,-0.0009423869997914784,-0.0003611052104258682,0.0017744086528926459,0.0015598556818075334,-0.00146032688303136,0.011986528425853918,0.005923217438687656,0.006239482130442727,-0.00023288810056973477,0.00019082204264201226,0.0008452361585746249,-0.0006837904469438203,0.006380653103837906,0.003146514601482608,0.0033809371404246954,-0.00017008405877239055,0.00011843267638294464,0.0008452524852011,5.222273089519286,4.88219688198413e-06,-0.0009265949762022885
expanded_generic,0.0167333333333333,1.6733333333333302,stored_refined,1.6230884805599952,5.068720812591472,1.6230869449058243,5.068713028795192,0.0029473461038099966,True,25,0.0036504051501859047,0,0.0003802325471906,2.9831244245750075e-10,0.0010500226786082,0.0031520528384964,-0.0165339918859908,0.0032847214663292,-0.0018065557573818,-0.0005857499643785,0.0036200340823499,0.00037259653968675464,-1.3314668656241924e-10,0.0010934592140975782,0.0031259331937957043,-0.016899297036448078,0.003323935129120038,-0.0018271895580042057,-0.0006054477955753834,0.0036078067130697017,0.0015812018456034,-0.0014130185793302,0.0120696159169322,0.0058800999912424,0.0063248706469459,-5.237559120669384e-05,0.0002138647575938,0.0015718269945680537,-0.0014288240134834298,0.01202707749440746,0.005905823309996323,0.006287306500872853,-0.00014591062486138162,0.00020269852719223604,0.0029482333899161,5.068720812591472,8.872861061034153e-07,-7.783796280413924e-06
