observable_set,target_jacobian_norm,density_target_jacobian_norm,beta_raw_projection,beta_raw_eigen,beta_adjusted_projection,beta_adjusted_eigen,raw_lambda_min,raw_lambda_max,adjusted_lambda_min,adjusted_lambda_max,raw_spectral_ratio,adjusted_spectral_ratio,raw_rho,adjusted_rho,raw_angular_independence,adjusted_angular_independence,raw_condition,adjusted_condition,retention_min,retention_max,beta_Vp_median,beta_Vp_q25,beta_Vp_q75,strong_coordinate_angle_to_20p3_deg,beta_Vs_median,beta_Vs_q25,beta_Vs_q75
Vp,10.03529271708844,,20.14649820442509,20.14877236958153,19.922186504577187,19.937793272605724,0.0034618053347514888,100.70363811231356,0.0013618710871587947,5.6270017556065,3.437616951723809e-05,0.00024202428687744508,0.9999188506937583,0.9994334775556748,0.00016229202727346959,0.0011327239409705259,170.5576717253525,64.27920923573924,0.05026740716408102,0.43729928023070774,20.069201415306686,20.01155940017452,20.413043753699277,0.19688031154385596,,,
Vs,11.684807912769074,,20.36520468682803,20.367269317042442,20.135289154995714,20.15348194942246,0.004152250489852349,136.53058370782094,0.0016967708186992336,6.170101378599431,3.0412603367596194e-05,0.0002749988557050887,0.9999275917429069,0.9993509524491635,0.00014481127123044946,0.0012976738389497422,181.33147781616648,60.30239437699783,0.04127326372424049,0.4474383263779126,,,,0.08691988329134599,20.28971845653816,20.236834353920827,20.621530738161304
Vp+Vs,15.40265677978832,,20.27156040962707,20.274117849462762,19.944372583935856,19.97596526731558,0.00903593513866241,237.2327999408203,0.0034780843017618857,7.127652126213263,3.8088894709823006e-05,0.00048797054628558334,0.9999096469530647,0.9988565289052208,0.00018069793019748204,0.0022856346634138047,162.03200830997585,45.26923917634332,0.0272500498482342,0.42439617296821497,20.069201415306686,20.01155940017452,20.413043753699277,0.03355011496614654,20.28971845653816,20.236834353920827,20.621530738161304
Vp+Vs+rho,15.402656779788318,0.0,20.27156040962707,20.274117849462762,19.96176563612143,19.98935150814289,0.00903593513866241,237.2327999408203,0.003498495204923069,8.225104925833136,3.8088894709823006e-05,0.00042534353500283154,0.9999096469530647,0.9990026773441444,0.00018069793019748204,0.001993650659231294,162.03200830997585,48.48753230157693,0.03127990936515297,0.42915028411470724,20.069201415306686,20.01155940017452,20.413043753699277,0.03355011496614654,20.28971845653816,20.236834353920827,20.621530738161304
