Vcem_fraction,Vcem_percent,phi,Cn_fixed,beta_endpoint_K,beta_endpoint_G,beta_contact_K,beta_HS_path_K,beta_total_K,beta_contact_G,beta_HS_path_G,beta_total_G,dlnK_dln_a,dlnG_dln_a,dlnK_dphib,dlnG_dphib,dlnK_dlnCn_fixed,dlnG_dlnCn_fixed
0.001,0.1,0.08,5.436001877454284,317.22944027599146,311.77751642441245,314.5548985946196,-3.8470260634573092,310.7078725311623,312.10151444280217,-3.4487799572068525,308.6527344855953,0.4944880268809015,0.5180826244455261,1.5119048661915713,1.4312274121408564,0.5166281473734102,0.5445159384720455
0.001,0.1,0.09571428571428571,5.436001877454284,317.22944027599146,311.77751642441245,314.6236788377077,-3.9422953017532545,310.68138353595447,312.0905511818711,-3.504729073792721,308.5858221080784,0.5433464776771757,0.5678460745173197,1.7020590075134123,1.5942061040163935,0.5675797734028265,0.5968343691264977
0.001,0.1,0.11142857142857143,5.436001877454284,317.22944027599146,311.77751642441245,314.6959520662557,-4.042402929782314,310.6535491364734,312.0792264321359,-3.5625234365548692,308.516702995581,0.5851663349432101,0.6101650903644895,1.8791774181181609,1.741326601134574,0.6111580136192174,0.6413314888931154
0.001,0.1,0.12714285714285714,5.436001877454284,317.22944027599146,311.77751642441245,314.771991450338,-4.147727129569415,310.6242643207686,312.0675217895563,-3.622255864832603,308.4452659247237,0.6215120048835843,0.6467001924193028,2.0474043704865608,1.8766079463716778,0.648998797991851,0.679752184673532
0.001,0.1,0.14285714285714285,5.436001877454284,317.22944027599146,311.77751642441245,314.8520993299311,-4.258686568263705,310.59341276166737,312.0554179770931,-3.6840254994437576,308.37139247764935,0.6535324303058587,0.6786598417463096,2.2099183940582634,2.003009736739614,0.6823032860481247,0.7133663373792841
0.001,0.1,0.15857142857142856,5.436001877454284,317.22944027599146,311.77751642441245,314.9366109231784,-4.375745941485639,310.56086498169276,312.0428941842404,-3.7479383789780423,308.29495580526236,0.682092549908475,0.7069451298136186,2.3692574977474123,2.1227744912977187,0.7119753902884439,0.7431208588926096
0.001,0.1,0.17428571428571427,5.436001877454284,317.22944027599146,311.77751642441245,315.0259000542386,-4.499422468893622,310.526477585345,312.02992838255847,-3.814108013742285,308.2158203688162,0.7078581754527135,0.7322423130062815,2.5275326400731046,2.237646953062722,0.7387105585010544,0.7697369243331308
0.001,0.1,0.19,5.436001877454284,317.22944027599146,311.77751642441245,315.12038317374373,-4.630293548979282,310.49008962476444,312.01649629633874,-3.8826560791109084,308.1338402172278,0.7313525420826749,0.7550838857284247,2.6865740352377543,2.3490192617714456,0.763054920227546,0.7937741481001125
0.001,0.1,0.20571428571428568,5.436001877454284,317.22944027599146,311.77751642441245,315.22052715917624,-4.769005790747767,310.4515213684285,312.00257263801956,-3.9537131649930677,308.0488594730265,0.7529950675433382,0.7758900192555983,2.84803615890894,2.458029879193191,0.7854458104361582,0.8156741246878595
0.001,0.1,0.22142857142857142,5.436001877454284,317.22944027599146,311.77751642441245,315.32685673095193,-4.9162856457686965,310.4105710851832,311.98812987026065,-4.027419587386749,307.9607102828739,0.7731286176593243,0.7949973586107716,3.0134771620282663,2.5656328137557693,0.8062402653052912,0.8357906903455613
