Vcem_fraction,Vcem_percent,Cn_on_raw_structural_ridge,local_empirical_coordinate_ratio,physics_factored_raw_coordinate_ratio,physics_factored_adjusted_coordinate_ratio,physics_linearized_raw_coordinate_ratio,physics_linearized_adjusted_coordinate_ratio,a_c_ratio,median_Kb_ratio,median_Gb_ratio,T_ratio,median_Kd_ratio,median_Gd_ratio,median_Vp_ratio,median_Vs_ratio,rms_Vp_change_mps,rms_Vs_change_mps
0.001,0.1,11.3880088541207,1.6572048784319513,1.0180332537412629,1.0184858326445225,1.018694414225086,1.0192036145937566,0.44165304912610787,0.9588448114366371,0.9692615361647364,0.9710625417914885,1.0017645525661012,1.000723541332543,1.0004254351481183,1.0003617052509273,3.4067787769355737,2.953081617368817
0.0046875,0.46875,7.1302622297807945,1.1182619953922062,1.003327161506385,1.0036100544896576,1.0036308507080787,1.0039396930371982,0.7305536699368951,0.9739631268445998,0.9782460595151714,0.9801206745923895,1.0023914195106587,1.0000858097945349,1.0003126157727973,1.000042903976892,1.8915415096173418,1.5313272052875266
0.008375,0.8375,6.049506884450005,1.0225103080473195,1.0005976871455418,1.0007526195726364,1.0006835341436071,1.0008457892417568,0.8800541439193009,0.986398208991979,0.9882377253427402,0.9893493882535689,1.0014539647246465,1.0000014102590937,1.0001744660466334,1.0000007051292983,0.9498791470985195,0.743934979673609
0.0120625,1.20625,5.490853986876825,1.0002239997591351,1.0000058585396587,1.0000253033247868,1.0000070188574828,1.0000265624416576,0.9877397690024778,0.9984305957620826,0.9986160883125229,0.9987535470914876,1.0001805543303761,0.9999955577748177,1.0000203770050993,0.999997778884942,0.107285319887745,0.08218310175656014
0.012546045825196089,1.2546045825196088,5.436001894229343,1.0000000030859184,1.0000000030859184,1.0,1.0000000030859184,1.0,0.9999999992285205,1.0000000023600577,1.0000000023717184,1.0,1.0000000017133635,1.0000000018099848,1.000000000648424,1.0000000009049925,2.3923889505098e-06,1.9895575250294877e-06
0.01575,1.575,5.138707963016011,1.008836923988912,1.0002004810885818,1.00010700789842,1.0002517593516354,1.0001626462530289,1.073494533896912,1.0103992239089155,1.0092923363638693,1.0083382021465295,0.9987450628783526,1.0000557107850019,0.9998644676586962,1.0000278550045503,0.7011387149076053,0.5283018397652376
0.0194375,1.94375,4.894319115272517,1.035544987794085,1.0007537621455838,1.000506523645266,1.0009926802984812,1.000765718793416,1.145328883504635,1.0224277106648247,1.0202385050821134,1.0181086002294075,0.9971982845435361,1.0001369485402516,0.9997022890311509,1.0000684719259236,1.4973495656680227,1.1135966598544076
0.023125,2.3125,4.715040275282422,1.0751566652546365,1.0014844729709338,1.0013791171522868,1.0020516378823308,1.0019945132591066,1.2073752410988468,1.0345779990552582,1.0314444531547762,1.0280701934986507,0.9955635742074382,1.0002613165418224,0.9995420527898594,1.0001306497362346,2.2915101498831576,1.6860167359086216
0.0268125,2.68125,4.578920674151654,1.1252761675234733,1.0023025438279507,1.0025481830700096,1.0033418513009182,1.0036762899450666,1.2620795495047037,1.0468875029398028,1.0429073733094563,1.0382286496059059,0.9938533243383016,1.0003897205449799,0.9993802824436984,1.000194841290926,3.089243382770184,2.252437682921307
0.0305,3.05,4.473317152138963,1.1847735433871407,1.003158330209038,1.0026203747473335,1.0048171197970444,1.004419533582183,1.311024233500409,1.0593819253077417,1.0546281107692708,1.048589862448725,0.9920746251279158,1.0005319618481994,0.9992165464026117,1.0002659455605791,3.8940758865042633,2.8171455868237683
0.034187499999999996,3.4187499999999997,4.390351057203959,1.2531831938884137,1.004022396145828,1.0032671787909502,1.0064515912790621,1.0059014525680332,1.3552992749423267,1.0720807239405,1.0666096218602976,1.0591599635736995,0.9902316767761539,1.0006864700566376,0.9990505157178953,1.000343176143386,4.7084313969846185,3.3830462916471897
0.037875,3.7875,4.324817793327563,1.3304323157750666,1.0048762293882247,1.003776643977033,1.0082304753421778,1.0074129603940019,1.395691355875583,1.0849997203039805,1.0788561772066056,1.0699453342762966,0.988326924240265,1.000852189563477,0.9988819142032583,1.0004260040420168,5.534125467532119,3.9522297594744336
0.0415625,4.15625,4.2731216095295546,1.4167064756476382,1.0057076816303698,1.0056412052212738,1.010145486954201,1.0104573729484532,1.4327891517873172,1.0981525877189424,1.091373026255488,1.0809526184475786,0.9863617231134901,1.0009782751233276,0.9987087155498254,1.0004890179923653,6.372576103958681,4.52630403787701
0.04525,4.5249999999999995,4.232688064264772,1.51237867903841,1.0065083691569845,1.0065368172297926,1.0121922526035065,1.0127062075504845,1.4670461032199615,1.1115515991776075,1.104166094088583,1.0921887362221394,0.9843366448008676,1.0011859884182452,0.998528043924254,1.0005928184922404,7.224982190422883,5.106542788767775
0.048937499999999995,4.89375,4.201620286472221,1.6179710264695744,1.0072722814246657,1.007359084259949,1.014368925982882,1.0150628138124367,1.4988198172775886,1.125208169586645,1.117241882161387,1.1036608984861782,0.98225171795192,1.0014067313139006,0.9983430683467024,1.0007031184691595,8.09238596384995,5.694006855824518
0.052625,5.2625,4.178487225778959,1.7341340833542156,1.007994906318505,1.0066645346777325,1.0166753209159343,1.016074895007617,1.5283979258621914,1.1391331711892372,1.1306073734314779,1.115376622309619,0.9801065582829696,1.0016164665849527,0.9981536051476544,1.0008079069356681,8.97573033033115,6.289608472762967
0.0563125,5.6312500000000005,4.162187906301815,1.8616367113189265,1.008672690835428,1.006528528111427,1.0191123801924458,1.017837801218743,1.5560156599483836,1.1533371516532416,1.1442699777804066,1.127343747371679,0.9779004575849172,1.0018316155693905,0.9979594650158867,1.0009153888163527,9.875893318459282,6.89415609590654
0.06,6.0,4.15186133652187,2.0013624559408103,1.009302692616893,1.0063269756813291,1.021681835582201,1.019727280995292,1.5818681599317712,1.1678304859602322,1.1582374967522906,1.1395704534553057,0.9756324433837896,1.0020562533660031,0.9977604522413636,1.001027598703454,10.793711677814223,7.508385078408346
