train,test,replicate,block_length_samples,block_length_m,unique_fraction_train,success,bound_hit,Vcem_train_bootstrap,Cn_train_bootstrap,A_raw,Gamma_raw,qstar_ratio_raw,local_exponential_ratio_raw,A_adjusted,Gamma_adjusted,qstar_ratio_adjusted,local_exponential_ratio_adjusted
19A,BT2,0,5,20,0.5862068965517241,True,False,0.039956663841671694,4.671996196791047,0.29407595000900116,1.3931304968699598,0.9226918372537123,1.558518603822918,0.29306494644059783,1.4690331315061025,0.9321446217184416,1.5722857301336084
19A,BT2,1,5,20,0.7241379310344828,True,False,0.009848321724646909,5.92662035108318,0.3050023200088983,1.483676056070673,0.9696516167528064,1.1525103148305849,0.3048597668644402,1.5881688028516523,0.9716692341453506,1.1548352570670466
19A,BT2,2,5,20,0.7931034482758621,True,False,0.008589735115081413,5.896234925620502,0.30550117601275467,1.4977181518826168,1.0109403964311063,1.1669456344069689,0.3056364910326816,1.5934072168523084,1.012225824411662,1.1685161039611769
19A,BT2,3,5,20,0.7241379310344828,True,False,0.013927170035446643,5.472551779962031,0.30269500518565406,1.4562849517686045,0.9625015434888249,1.2387451979220936,0.3023283465249775,1.5673027206658219,0.9661466138775674,1.2431144998910058
19A,BT2,4,5,20,0.5862068965517241,True,False,0.027844137327781866,5.095477670264374,0.2986486245810719,1.3789157402040326,0.8880799764880071,1.3641391080108907,0.29706621571277353,1.497431087268437,0.8982909652966513,1.377067434778109
19A,BT2,5,5,20,0.7586206896551724,True,False,0.013076059124362464,5.6532496609686325,0.30353639848588476,1.4535500548588025,0.9453300595374934,1.1989064787123431,0.302851127607233,1.5769704868671117,0.9494433543391093,1.2035310814478744
19A,BT2,6,5,20,0.6896551724137931,True,False,0.009397240221818415,5.513917776530375,0.3044184395766579,1.5096012264708494,1.0566591295160108,1.2426721112984527,0.3045236976387403,1.6083814622705834,1.0582940130386467,1.2446823033673848
19A,BT2,7,5,20,0.6206896551724138,True,False,0.011128546394981249,5.601917483488741,0.3037839470260804,1.4902644799509184,0.9950029524177291,1.214912390118598,0.3038670977245201,1.576560877722984,0.9967266709986562,1.2171077435875508
19A,BT2,8,5,20,0.7586206896551724,True,False,0.01541140253490573,4.939438274132983,0.30090757821726444,1.484612547057961,1.0442072276663676,1.3759065653375506,0.3008703060736253,1.5787281748553412,1.0474732868964316,1.3802324083339217
19A,BT2,9,5,20,0.6206896551724138,True,False,0.043579326512823764,4.475772967519142,0.29201227875604974,1.4188517770563829,0.9603458482782938,1.6578054464298988,0.29088812405259334,1.5076869878459658,0.9726844090870281,1.6765455052739855
19A,BT2,10,5,20,0.6206896551724138,True,False,0.008164759945172287,5.853702330714804,0.30612328505781655,1.4900426373225735,1.0316963253280653,1.178773189295648,0.3059303551122796,1.6132808037970148,1.0336756594630172,1.1809495822355727
19A,BT2,11,5,20,0.6206896551724138,True,False,0.006531548197087439,6.436306160390706,0.3074752948374654,1.4923173732928061,0.9972839166835501,1.0919413616978957,0.3073164824172706,1.6141565664115916,0.9985986883051086,1.0933360010889603
19A,BT2,12,5,20,0.6896551724137931,True,False,0.02127295722710834,4.79049233759387,0.2986881032796751,1.4612043933221452,1.0031447946318235,1.432869655422491,0.2984874837017679,1.5486786131886554,1.007769068747592,1.439278290315618
19A,BT2,13,5,20,0.5172413793103449,True,False,0.013191524257038269,5.25547572401881,0.30217243943914396,1.4871773097711856,1.0177172063345337,1.2920884764028568,0.302452332908374,1.5637262573874118,1.0193506695866283,1.2944835768364957
19A,BT2,14,5,20,0.4482758620689655,True,False,0.04638627499650607,4.811409978999012,0.2932540138836625,1.360488018340464,0.8780021522024363,1.5469125661089913,0.2916682696388479,1.4395292771605919,0.8901216805461772,1.5644228219199003
19A,BT2,15,5,20,0.6206896551724138,True,False,0.019442254241374527,5.127140688583544,0.2996932037039244,1.4627050071807781,0.9542218591253963,1.3326558446089467,0.2991253148037912,1.566048175152526,0.9595477691180735,1.3393794744781828
19A,BT2,16,5,20,0.5172413793103449,True,False,0.059544884777021106,4.120850220354592,0.28773448710437133,1.4178608619449382,1.0295229916464113,1.9373672886344224,0.2868400222588975,1.502279293856464,1.0459151663201474,1.9665416131439633
19A,BT2,17,5,20,0.6896551724137931,True,False,0.01899654943116119,4.68562381035483,0.29912585785351714,1.4793031820751394,1.0515106607327998,1.4587975410160283,0.2988937835241971,1.5769408906240987,1.0562942758805678,1.4651904331837082
19A,BT2,18,5,20,0.5862068965517241,True,False,0.05652972384278468,4.076078973455324,0.28800384877476204,1.4303825404412507,1.0444329797445662,1.935050555698778,0.2873917857085053,1.510919220084957,1.058716174132813,1.9607672941645182
19A,BT2,19,5,20,0.6551724137931034,True,False,0.04711363986651655,3.947701602906261,0.2894094615210336,1.4572633295587651,1.0924665301090015,1.9209206329617023,0.28921930728648354,1.5365120061289683,1.1033750385688157,1.940519486742385
19A,BT2,20,5,20,0.5517241379310345,True,False,0.010464996816764889,5.378346088111794,0.30411927670765615,1.4846864386099876,1.0526286738697126,1.2676146665712884,0.3039757360478714,1.5952064292700459,1.0551292186599055,1.2705421044852239
19A,BT2,21,5,20,0.4482758620689655,True,False,0.030167432433444486,4.632055090181653,0.297063418701696,1.397970530890209,0.9670990441649048,1.5154963643908108,0.29541966359757826,1.545766735518822,0.9812693536600595,1.5345114956925607
19A,BT2,22,5,20,0.6896551724137931,True,False,0.006938335530791484,6.009657507192922,0.30687761303783356,1.4996842158338586,1.0507189824664733,1.1630764298067386,0.30672557967531916,1.6129997286523026,1.052144222028501,1.1646030906669984
19A,BT2,23,5,20,0.6896551724137931,True,False,0.02283558690597019,4.589606361343082,0.2975326672717376,1.4668579395902241,1.0341758835146353,1.5031837230925433,0.2974878088900427,1.5461513568769567,1.0385470188402834,1.509617136737092
19A,BT2,24,5,20,0.7931034482758621,True,False,0.01492257388271781,5.25623992029489,0.3016162700456194,1.4775605106353757,0.9875556925906983,1.2916636968148494,0.30143898217526494,1.575969958137038,0.9908944199932601,1.2958894277999178
19A,BT2,25,5,20,0.7931034482758621,True,False,0.016532893918334124,5.095288331774702,0.30076867271385394,1.474393926345868,0.9952923064500292,1.3346812086944653,0.30055349915063617,1.5763272689298993,0.9992804177867177,1.3398355406201061
19A,BT2,26,5,20,0.5862068965517241,True,False,0.026537965306577517,4.403082846424132,0.2958920952264387,1.4725431388661894,1.0501714153888588,1.586139212597639,0.2957358258346338,1.557456207786915,1.0560778803548403,1.5949796696985057
19A,BT2,27,5,20,0.6206896551724138,True,False,0.033038647177399835,4.841377290669486,0.2951897728077823,1.4310151777260962,0.9171767127702678,1.4702418352499729,0.2942600208557603,1.5301353262519637,0.9265764473219136,1.483601508968008
19A,BT2,28,5,20,0.8275862068965517,True,False,0.04211837118059196,4.429325130901575,0.29269699341097355,1.4195314601661404,0.9726954574486216,1.6645158112668574,0.2917884514080722,1.5101776371845028,0.9844008048578252,1.6826434205295675
19A,BT2,29,5,20,0.5517241379310345,True,False,0.05130615468017673,4.443380852771861,0.2922624788826593,1.3553043171519248,0.9429025523632146,1.7091162889421607,0.2905553772444005,1.4665544335716985,0.9615039337348006,1.7386309877421249
19A,BT2,30,5,20,0.8275862068965517,True,False,0.020255084541228662,4.936790723786458,0.29919907800541856,1.4608807713750553,0.9828862563992035,1.3867219061979386,0.29897188906866085,1.556431582375211,0.9875886020770194,1.3931316132806926
19A,BT2,31,5,20,0.6896551724137931,True,False,0.021417959606942885,4.733219398936418,0.2987946681647276,1.453145354652072,1.0131749645693293,1.4499730318921296,0.29814166720694324,1.5693329989928901,1.0202454267789318,1.459154220123527
19A,BT2,32,5,20,0.5517241379310345,True,False,0.044488686536951795,4.211923946705036,0.2913004665742658,1.4293641528040644,1.0212748451242653,1.7715101847596462,0.29028805649844863,1.5313692493373614,1.0358461791847897,1.7945792518710881
19A,BT2,33,5,20,0.5517241379310345,True,False,0.007504821179198522,6.231357467772566,0.30685881478526456,1.489469939585878,0.9912597944843535,1.1139038548917992,0.3064999714272857,1.6133218057388294,0.9931146998553024,1.1158464110382156
19A,BT2,34,5,20,0.6206896551724138,True,False,0.037734670713566065,4.775036685012661,0.29483118750799114,1.3896321583013878,0.9081619924142427,1.5107809666095553,0.29335099551829436,1.4956973578481254,0.9206777171312687,1.5284518401492229
