train,test,adjustment,window,method,n_points,rms_lnCn_error,max_abs_lnCn_error,median_abs_percent_Cn_error,fraction_outside_Cn_bounds
19A,BT2,raw,local_0p015,train_qstar,11,0.010846938162946683,0.014736522974403865,1.214235708294309,0.0
19A,BT2,raw,local_0p015,test_oracle_qstar,11,0.004553751645901496,0.008699112469936487,0.2719852692341762,0.0
19A,BT2,raw,local_0p015,pooled_qstar,11,0.005549415708026726,0.009753532990084413,0.5688979875478894,0.0
19A,BT2,raw,local_0p015,train_local_exponential,11,0.27748673585552625,0.38672686281488255,30.79748008959737,0.0
19A,BT2,raw,local_0p015,constant_Cn,11,0.3363533678058019,0.5009933394865991,36.541936160277764,0.0
19A,BT2,raw,between_operating_points,train_qstar,14,0.011190544072566784,0.013398299544644221,1.2775541087100217,0.0
19A,BT2,raw,between_operating_points,test_oracle_qstar,14,0.00732168898644584,0.012943384113217382,0.5755144807662482,0.0
19A,BT2,raw,between_operating_points,pooled_qstar,14,0.004726939873938546,0.006136916441554785,0.4994541605395031,0.0
19A,BT2,raw,between_operating_points,train_local_exponential,14,0.3171515111860548,0.40613303675081824,41.573259110467376,0.0
19A,BT2,raw,between_operating_points,constant_Cn,14,0.41149500085291413,0.5774273998869901,53.1693581742408,0.0
19A,BT2,raw,full_admissible_Vcem,train_qstar,36,0.009745649863888787,0.014736522974403865,0.9565531814858752,0.0
19A,BT2,raw,full_admissible_Vcem,test_oracle_qstar,36,0.01751876457006561,0.028052149415323857,1.6098692698017891,0.0
19A,BT2,raw,full_admissible_Vcem,pooled_qstar,36,0.004553342907627612,0.009753532990084413,0.4034474561707857,0.0
19A,BT2,raw,full_admissible_Vcem,train_local_exponential,36,0.32987621371425185,0.40613303675081824,40.63685308493245,0.0
19A,BT2,raw,full_admissible_Vcem,constant_Cn,36,0.5705873618809711,0.6977324108408312,85.99251942789728,0.0
19A,BT2,adjusted,local_0p015,train_qstar,11,0.012694876970180579,0.016653280028853024,1.4254591382405701,0.0
19A,BT2,adjusted,local_0p015,test_oracle_qstar,11,0.0042069805432425845,0.008047289499042432,0.235357821733162,0.0
19A,BT2,adjusted,local_0p015,pooled_qstar,11,0.0069424010277453615,0.010205826972423893,0.7809383074380394,0.0
19A,BT2,adjusted,local_0p015,train_local_exponential,11,0.2790148915400619,0.3895041891344573,30.967655184184316,0.0
19A,BT2,adjusted,local_0p015,constant_Cn,11,0.33583476261227985,0.4997933453290282,36.51519476005167,0.0
19A,BT2,adjusted,between_operating_points,train_qstar,14,0.013853515883940239,0.017104064213230075,1.5598033915392717,0.0
19A,BT2,adjusted,between_operating_points,test_oracle_qstar,14,0.006744602539722907,0.0119250427914952,0.5250359635908142,0.0
19A,BT2,adjusted,between_operating_points,pooled_qstar,14,0.0069753126034728325,0.00829565835127033,0.7870229387614835,0.0
19A,BT2,adjusted,between_operating_points,train_local_exponential,14,0.3194546785126062,0.4101300109209405,41.86571478083434,0.0
19A,BT2,adjusted,between_operating_points,constant_Cn,14,0.41051993766843864,0.5754620603675213,53.06585979927972,0.0
19A,BT2,adjusted,full_admissible_Vcem,train_qstar,36,0.0145917388431136,0.017104064213230075,1.492745135220097,0.0
19A,BT2,adjusted,full_admissible_Vcem,test_oracle_qstar,36,0.016191509413439012,0.024901971175879334,1.517921112407744,0.0
19A,BT2,adjusted,full_admissible_Vcem,pooled_qstar,36,0.0063447401788043435,0.010205826972423893,0.5623614777845898,0.0
19A,BT2,adjusted,full_admissible_Vcem,train_local_exponential,36,0.3344995693192295,0.4101949026816081,41.470120875167495,0.0
19A,BT2,adjusted,full_admissible_Vcem,constant_Cn,36,0.5670229859226356,0.6912743745495753,85.4195179405792,0.0
BT2,19A,raw,local_0p015,train_qstar,19,0.0032496376393220906,0.006305330155470745,0.2550773693083208,0.0
BT2,19A,raw,local_0p015,test_oracle_qstar,19,0.0011692639009491608,0.0036335031862249068,0.03683631154063338,0.0
BT2,19A,raw,local_0p015,pooled_qstar,19,0.000855394487317004,0.0019219477930743079,0.05239133219425707,0.0
BT2,19A,raw,local_0p015,train_local_exponential,19,0.8886055131239933,1.5379850082572386,62.526940508787646,0.47368421052631576
BT2,19A,raw,local_0p015,constant_Cn,19,0.0905593765382807,0.2243437217754265,6.057137208669472,0.0
BT2,19A,raw,between_operating_points,train_qstar,14,0.005105412911091508,0.008095054431934257,0.4357707538956923,0.0
BT2,19A,raw,between_operating_points,test_oracle_qstar,14,0.006341694306929674,0.017980015146664474,0.13721580230613983,0.0
BT2,19A,raw,between_operating_points,pooled_qstar,14,0.0026953815034156197,0.008636197254688227,0.05407420813584585,0.0
BT2,19A,raw,between_operating_points,train_local_exponential,14,1.1685163419245743,1.8359580109058116,185.19623956869552,0.42857142857142855
BT2,19A,raw,between_operating_points,constant_Cn,14,0.2494972248829557,0.5888516008990643,12.070376172312248,0.0
BT2,19A,raw,full_admissible_Vcem,train_qstar,36,0.00530959191594666,0.008164154448710326,0.4957547520464123,0.0
BT2,19A,raw,full_admissible_Vcem,test_oracle_qstar,36,0.007037255809084436,0.03412896569043822,0.13253892328556338,0.0
BT2,19A,raw,full_admissible_Vcem,pooled_qstar,36,0.004187961091041405,0.019755899079741734,0.1575929497685924,0.0
BT2,19A,raw,full_admissible_Vcem,train_local_exponential,36,1.875705591705522,3.8099059545378653,90.7306663607568,0.7222222222222222
BT2,19A,raw,full_admissible_Vcem,constant_Cn,36,0.2259367790777096,0.8979733038727695,10.228617227337967,0.0
BT2,19A,adjusted,local_0p015,train_qstar,19,0.004131753543742513,0.008225226394332097,0.3190090127215939,0.0
BT2,19A,adjusted,local_0p015,test_oracle_qstar,19,0.0011583815388690303,0.0037095808451563794,0.010820591572113791,0.0
BT2,19A,adjusted,local_0p015,pooled_qstar,19,0.00031478038321755027,0.0007396241915627044,0.0222364491416549,0.0
BT2,19A,adjusted,local_0p015,train_local_exponential,19,0.8904329366358458,1.5409238318660134,62.58918899150602,0.47368421052631576
BT2,19A,adjusted,local_0p015,constant_Cn,19,0.0883416342745131,0.22006918281223964,5.826209135456084,0.0
BT2,19A,adjusted,between_operating_points,train_qstar,14,0.006826675345020797,0.011162302586607886,0.5655587995758604,0.0
BT2,19A,adjusted,between_operating_points,test_oracle_qstar,14,0.006441374023391239,0.018247972848630223,0.14223635530779544,0.0
BT2,19A,adjusted,between_operating_points,pooled_qstar,14,0.002818053299635291,0.008860661408051751,0.02725898117120762,0.0
BT2,19A,adjusted,between_operating_points,train_local_exponential,14,1.1714814194184435,1.8412203942239924,185.8915671483171,0.42857142857142855
BT2,19A,adjusted,between_operating_points,constant_Cn,14,0.24594861703036996,0.5823836768882149,11.806344801705816,0.0
BT2,19A,adjusted,full_admissible_Vcem,train_qstar,36,0.0067696149903429155,0.011162302586607886,0.6515356922120685,0.0
BT2,19A,adjusted,full_admissible_Vcem,test_oracle_qstar,36,0.0070448604726966926,0.034656219555922796,0.05474199398754487,0.0
BT2,19A,adjusted,full_admissible_Vcem,pooled_qstar,36,0.0037321627023765157,0.019634109971951474,0.029719289493040923,0.0
BT2,19A,adjusted,full_admissible_Vcem,train_local_exponential,36,1.87915419005277,3.8158803305335436,90.76894197521885,0.7222222222222222
BT2,19A,adjusted,full_admissible_Vcem,constant_Cn,36,0.22255684610263118,0.8908309512189394,9.655976471111805,0.0
