scheme,sample_subset,metric,n_valid,point_estimate,mean,median,mad,std,cv_abs,q02p5,q16,q84,q97p5,median_bias,probability_positive
IID,all_success,A_raw,120,0.3026134543411656,0.30202934079521654,0.30241050354335,0.0031767702628919814,0.004321937412177057,0.014309660779306335,0.29422659183975886,0.29752661296553284,0.3064265842128703,0.30897162593673133,-0.00020295079781562642,1.0
IID,all_success,Gamma_raw,120,1.4911805471801822,1.4894951755342816,1.4901906207867341,0.008163765672945855,0.012781626260087695,0.008581180033364612,1.4632205495116333,1.4761717413192335,1.5008065062261984,1.5122017174377869,-0.0009899263934480818,1.0
IID,all_success,A_adjusted,120,0.3028371625535019,0.30221052631584927,0.30267159862963444,0.0031673917220984837,0.004433229959924691,0.014669343301733275,0.2941391331865747,0.29767470125145606,0.3068462399146302,0.30923878038102004,-0.00016556392386746221,1.0
IID,all_success,Gamma_adjusted,120,1.61812043572011,1.6155994837504517,1.6166857060280053,0.014655412186936001,0.020211355591643165,0.012510127537751211,1.5788508701723005,1.5933913431181348,1.6342838582053782,1.6489647117755788,-0.0014347296921046748,1.0
IID,all_success,beta_raw,120,20.271560299724396,23.999792413640687,19.990283325803546,9.341118955667117,17.305813670144925,0.7210818065371629,5.197839199113547,9.126517498513014,39.8959984945748,62.87622362394474,-0.2812769739208498,1.0
IID,all_success,beta_adjusted,120,19.961765533133907,23.694134660855003,19.69633651086089,9.344194546392291,17.314222192006415,0.7307387435680941,4.889746731069841,8.794794732340488,39.63747338305551,62.583690762475634,-0.26542902227301823,1.0
IID,all_success,beta_raw_at_BT2,120,107.92660145468805,107.71527558368119,107.87802758277218,1.1574701257629698,1.5706864845345434,0.014581836011869255,104.93119572724021,106.07891264722365,109.29143451732806,110.24489764797758,-0.048573871915877476,1.0
IID,all_success,beta_raw_at_pooled,120,20.271560299724396,20.22935258169595,20.257659979474703,0.23885601620436603,0.32011172184177794,0.015824120942527022,19.68231641041245,19.88836063830138,20.564077348354495,20.762804364089714,-0.01390032024969301,1.0
IID,all_success,beta_raw_at_19A,120,8.332827109206809,8.313565088987309,8.31369382659365,0.11903345280855415,0.1514652500805102,0.018219049043249926,8.052332645359888,8.156535951897503,8.467908078499772,8.576183113759829,-0.019133282613159608,1.0
IID,all_success,beta_adjusted_at_BT2,120,107.68964717904936,107.46473143887995,107.62468402395281,1.131607309732395,1.5919720173011616,0.014813902161069354,104.62693777185662,105.82752584410149,109.12993801427953,109.97384859182678,-0.06496315509654949,1.0
IID,all_success,beta_adjusted_at_pooled,120,19.961765533133907,19.91832507751238,19.94155175431204,0.22002047487484155,0.30898104878236804,0.015512401147183053,19.373554354118006,19.610574491902284,20.24034132436108,20.401703397952453,-0.020213778821865702,1.0
IID,all_success,beta_adjusted_at_19A,120,8.003784490406185,7.985019191627341,7.983267046546514,0.09495413331060121,0.13596397328160054,0.01702738215384191,7.7333537195993864,7.8503420960830805,8.12445129005409,8.217421882371939,-0.020517443859670692,1.0
IID,all_success,Vcem_fraction,120,0.012546045825196089,0.014813406026543113,0.01268183671411717,0.005104273525897847,0.008147641127425921,0.5500180790850349,0.004635427493772327,0.007006532710229149,0.022816516087023786,0.032074105452264655,0.00013579088892108106,1.0
