scheme,block_length_samples,block_length_m,replicate,unique_fraction_19A,unique_fraction_BT2,bootstrap_success,hierarchy_evaluated,pooled_fit_nfev,pooled_fit_bound_hit,Vcem_fraction,Cn,A_raw,Gamma_raw,A_adjusted,Gamma_adjusted,beta_raw,beta_adjusted,beta_raw_at_BT2,beta_adjusted_at_BT2,beta_raw_at_pooled,beta_adjusted_at_pooled,beta_raw_at_19A,beta_adjusted_at_19A,hierarchy_separate_objective,hierarchy_qstar_objective,hierarchy_Cn_objective,hierarchy_qstar_delta,hierarchy_Cn_delta,hierarchy_delta_Cn_minus_qstar,hierarchy_qstar_success,hierarchy_Cn_success,hierarchy_qstar_bound_hit,hierarchy_Cn_bound_hit
IID,1,4,10,0.6896551724137931,0.5666666666666667,True,False,24,False,0.006231494982458484,6.635518261022229,0.3074523228671736,1.5037206857324925,0.30784350206272426,1.6460984729282842,45.51965939036602,45.220856537497134,109.6808294469011,109.46682262985121,20.624883539522685,20.288592807043713,8.496183110254925,8.132827198196702,,,,,,,,,,
IID,1,4,11,0.6206896551724138,0.7,True,False,27,False,0.005403209054793306,6.974184428202737,0.3082861517918076,1.4946249800022027,0.3086637671316234,1.624221875622818,53.26839424806364,53.009852822013926,110.01144969674579,109.82460727050773,20.7148206100898,20.41043561742059,8.554317511741353,8.224455463253609,,,,,,,,,,
IID,1,4,12,0.5517241379310345,0.6666666666666666,True,False,19,False,0.018465995677389366,4.9919093948484745,0.2992199922899351,1.4914098981719923,0.2995182079091924,1.591178300961745,12.294854550271095,12.049511177119665,106.67366157661985,106.53259638860185,20.00048775196769,19.766759998110427,8.194229799383251,7.940595520776861,,,,,,,,,,
IID,1,4,13,0.6551724137931034,0.6333333333333333,True,False,23,False,0.0069962232713999244,6.206001472432974,0.30643243305256307,1.508738903343362,0.30685879899497953,1.6342860135186046,39.960699833829864,39.70218690888878,109.29180637319375,109.13314895042636,20.530640027921315,20.240593070951437,8.441344528761507,8.124252509556584,,,,,,,,,,
IID,1,4,14,0.5517241379310345,0.6333333333333333,True,False,31,False,0.005201724802877326,7.067996532469898,0.30880440769718304,1.492105349160566,0.3087526015576224,1.636665461458625,55.58635978989603,55.21023840903125,110.20905490521109,109.82607061955535,20.76263196239851,20.38539999278302,8.582102776084621,8.194920789191016,,,,,,,,,,
IID,1,4,15,0.6551724137931034,0.6333333333333333,True,False,16,False,0.011131785119159443,5.64923542267653,0.30345319315639907,1.4996703340971493,0.3038048696938293,1.611868739204402,23.403565487515824,23.14663207061448,108.2151391806642,108.06251688253853,20.316581116536963,20.05503330189901,8.34435804846169,8.059786906867874,,,,,,,,,,
IID,1,4,16,0.6896551724137931,0.6333333333333333,True,False,20,False,0.025275291572954803,4.568419064544329,0.2960134579271841,1.4834396516406667,0.2963189238485541,1.5931533035224645,7.752829178559872,7.472130058597845,105.5103464640924,105.34692431441078,19.765477301530833,19.50665923402144,8.085075293435462,7.805243936751133,,,,,,,,,,
IID,1,4,17,0.6206896551724138,0.6,True,False,17,False,0.03670946254525092,4.366552768164137,0.292625418590268,1.4632517117710895,0.2922725091087846,1.5906386227276588,3.9436166370769596,3.5833555750329245,104.31079920581233,103.85991807117448,19.547533023377156,19.190624399656922,8.001085526538963,7.6474054717833395,,,,,,,,,,
IID,1,4,18,0.5862068965517241,0.6666666666666666,True,False,20,False,0.020447640119590663,4.868488055582759,0.2985782123778479,1.4759937593423207,0.29863617362581224,1.5896088794047492,10.71331154685352,10.416806384401006,106.47561487968666,106.21103054134888,19.989122105140126,19.700506832509248,8.209198581700193,7.908910458354711,,,,,,,,,,
IID,1,4,19,0.6896551724137931,0.7,True,False,26,False,0.005404767758922397,6.689447505894803,0.30824523576359747,1.5001734724477114,0.30852383599252886,1.641427132494115,53.23029304323289,52.92386914055823,109.98238373380521,109.7296589544627,20.697238949413585,20.35487627215477,8.537873838914681,8.172934614241207,,,,,,,,,,
IID,1,4,20,0.6206896551724138,0.6333333333333333,True,False,15,False,0.012623303194866313,5.481683256941424,0.30253000150121134,1.4923718116996918,0.30287049557369616,1.6258872622977556,20.113485465745374,19.79579324373278,107.89280457749547,107.68239928629714,20.26183397889338,19.944376582356398,8.326260455900325,7.98445082328372,,,,,,,,,,
IID,1,4,21,0.5862068965517241,0.6,True,False,17,False,0.010084667821134168,5.6761370569090115,0.30400043441905034,1.5035496358548521,0.30437782401390184,1.6297179593467037,26.28872124840636,26.002564593254213,108.40733504307325,108.22903919553407,20.350187450054015,20.054633443649237,8.356276619190304,8.035538331603487,,,,,,,,,,
IID,1,4,22,0.6896551724137931,0.6333333333333333,True,False,19,False,0.008461563599425495,5.98857688081858,0.30560351751252196,1.487693965041165,0.30578462935212647,1.6298107044119206,32.3170604959398,31.975494474285462,109.03886494812178,108.74798950848329,20.518886136484422,20.16652544563323,8.463697771997259,8.092495385737806,,,,,,,,,,
IID,1,4,23,0.6206896551724138,0.6666666666666666,True,False,21,False,0.027187649112865975,4.461297861496747,0.2954918012228113,1.4753402472896116,0.29561127022677713,1.5896866921628596,6.911277704555781,6.608958807761301,105.33821483641114,105.09448925196035,19.744802102347556,19.459201876675365,8.085438450961743,7.785703297878865,,,,,,,,,,
IID,1,4,24,0.6206896551724138,0.6333333333333333,True,False,20,False,0.021164046889287805,4.835488030049821,0.29795511070712083,1.4816919218824387,0.2982406298334182,1.5885289310537216,10.167191585545492,9.89866843579011,106.23131564828893,106.06777275787891,19.924750238279145,19.67176676010348,8.168683145956615,7.895703429536197,,,,,,,,,,
IID,1,4,25,0.6206896551724138,0.6666666666666666,True,False,20,False,0.02032435250625103,4.842106604690053,0.2986882101248124,1.4846856861048714,0.2987231928478292,1.6052157220914676,10.785669709648063,10.469935659560612,106.49433170263062,106.20386190826306,19.97545618380832,19.667162310895396,8.190518030170114,7.870875773330212,,,,,,,,,,
IID,1,4,26,0.5862068965517241,0.6,True,False,22,False,0.022758884830839578,4.706519315423423,0.29767341043148093,1.481965127216203,0.2976890243979361,1.617085722597184,9.151007938919037,8.793513011085489,106.12666603993313,105.79232299574436,19.901591796916918,19.554096579104513,8.156500774559158,7.797204988990687,,,,,,,,,,
IID,1,4,27,0.6206896551724138,0.6666666666666666,True,False,12,False,0.013799475545129815,5.501607812398505,0.3023530911173165,1.470661129559017,0.30238280205740337,1.5898498937334082,18.10245228650192,17.795986478661302,107.8821624077325,107.59312310275,20.30376731638877,19.998515006664363,8.376899195927507,8.06061542021601,,,,,,,,,,
IID,1,4,28,0.6896551724137931,0.6666666666666666,True,False,14,False,0.010792016553106248,5.532560486946986,0.30364649034445257,1.4992811661743681,0.3038181039474477,1.6309425091936034,24.284080648144997,23.961702380836833,108.28745537207888,108.01939135685804,20.33299256093304,20.006859674507496,8.353254634697588,8.009516836913782,,,,,,,,,,
IID,1,4,29,0.6206896551724138,0.7333333333333333,True,False,20,False,0.008000190220962745,6.172938114051142,0.3058920666908637,1.4958851898251924,0.30616271621211155,1.6211492664979763,34.41956368552364,34.13384270020684,109.1247367543123,108.90932434731113,20.520744192569037,20.219016137912863,8.45361131007223,8.130941421936438,,,,,,,,,,
IID,1,4,30,0.6551724137931034,0.6,True,False,21,False,0.016260391931505244,5.087929055275366,0.3003459000158151,1.4901193487325644,0.30058281441775403,1.606356892487418,14.587860021339692,14.299522712029702,107.092427999637,106.88728583492609,20.09356063630497,19.81244072396815,8.243449661040097,7.943452662313291,,,,,,,,,,
IID,1,4,31,0.5862068965517241,0.6333333333333333,True,False,10,False,0.012324493781487892,5.38308743847416,0.3026685187576036,1.4854465611674614,0.30272566732253625,1.6269110626999148,20.726617098574238,20.36634968029308,107.96135579963439,107.62637323126313,20.290748427291867,19.930190465992162,8.350340202586832,7.975834583892891,,,,,,,,,,
IID,1,4,32,0.6896551724137931,0.8,True,False,16,False,0.01201301293372574,5.619659705053783,0.3029698957434055,1.4897692028984066,0.3032316502007679,1.6106690641784316,21.380402181824266,21.09058339329211,108.06169914874637,107.85398895608114,20.30361356816832,20.012440349890063,8.351080380085511,8.039674079296772,,,,,,,,,,
IID,1,4,33,0.5517241379310345,0.6333333333333333,True,False,30,False,0.0039850873535588445,7.388661439140209,0.3098400987524698,1.49813195420121,0.3101136526147191,1.6377165388366386,73.96686980006305,73.68304113164156,110.57610907227547,110.3257230708567,20.82962877836407,20.491171676713595,8.608162966214085,8.247464583241065,,,,,,,,,,
IID,1,4,34,0.6896551724137931,0.7,True,False,22,False,0.021914692381931253,4.739058013000595,0.2976487810304136,1.4895680546186358,0.2976987054720622,1.6028505186203972,9.64238937840094,9.345046065728674,106.09843956558902,105.83172654324964,19.880005886763875,19.59160859860356,8.135246805575283,7.835518006718862,,,,,,,,,,
IID,1,4,35,0.6896551724137931,0.6666666666666666,True,False,20,False,0.01407034104561897,5.245146574752939,0.30165125949023697,1.4935261759351224,0.30188965771562604,1.626978605468105,17.56885824553862,17.240006863753017,107.5655978414093,107.31767254199768,20.18881326845368,19.86338083502021,8.287453716297389,7.941660493576714,,,,,,,,,,
