train,test,metric,n_valid,median,q02p5,q16,q84,q97p5,probability_within_5_percent,probability_within_10_percent
19A,BT2,qstar_ratio_raw,300,1.0028644133922207,0.872005418275922,0.9408991732337707,1.0552044696646428,1.1094636015986403,0.62,0.89
19A,BT2,qstar_ratio_adjusted,300,1.0079959699242829,0.8811836188502057,0.9499503844164302,1.0600789941419557,1.1145054835324093,0.6066666666666667,0.89
19A,BT2,local_exponential_ratio_raw,300,1.37346582120902,1.0822670833539743,1.1848312635919764,1.6378048010595112,1.9107941874849887,0.013333333333333334,0.05
19A,BT2,local_exponential_ratio_adjusted,300,1.3786499215560153,1.0837953384131582,1.186945859640748,1.6530679984462562,1.9403318254138315,0.013333333333333334,0.05
BT2,19A,qstar_ratio_raw,300,1.0296829223541235,0.952069109303509,0.9839521665518455,1.0798460396456,1.129441443967063,0.67,0.93
BT2,19A,qstar_ratio_adjusted,300,1.0272909478758923,0.9506165361575025,0.9810770732548099,1.076236941327128,1.125443709356902,0.6866666666666666,0.94
BT2,19A,local_exponential_ratio_raw,300,4.9083771257472275,1.0803483988665772,1.6449662219051866,532.0546368074125,639.7064442734286,0.02,0.043333333333333335
BT2,19A,local_exponential_ratio_adjusted,300,4.902678882485643,1.079714081247924,1.6427013685797751,530.8593370317262,635.4748293159153,0.02,0.043333333333333335
