trajectory,Vcem_fraction,Vcem_percent,Cn,beta_raw_projection,beta_adjusted_projection,A_raw_local,Gamma_raw_local,A_adjusted_local,Gamma_adjusted_local,pooled_physics_coordinate_raw_ratio,pooled_physics_coordinate_adjusted_ratio,pooled_local_20p3_coordinate_ratio
19A,0.0245927335748796,2.45927335748796,4.7029523059115945,8.215881948447201,7.929908350198968,0.2974651402339967,1.456493765358404,0.296969451551593,1.556283660768072,1.0117884453755692,1.00789158032011,1.1048332088523536
BT2,0.0027096482108372,0.27096482108372,8.292355473009664,110.93749643206718,110.88234172240607,0.311006545452364,1.5255814032465265,0.31132051197260313,1.5935278090322413,0.9959017182663842,0.9987336767696068,1.249334925116701
pooled_RPIA,0.012546045825196,1.2546045825196002,5.436001877454284,20.271560299871734,19.961765533606325,0.3026134543429655,1.491180547178748,0.3028371625604069,1.6181204357503793,1.0,1.0,1.0
