model,Vp_RMS_mps,Vs_RMS_mps,rho_RMS_gcc
soft_sand,337.8468281836473,162.88978698533995,0.015165634110787557
stiff_sand,192.15223030471344,174.3003596784002,0.015165634110787557
contact_cement,278.9048517430343,183.00857266972156,0.015165634110787557
constant_cement,209.15625622198633,149.49481931276287,0.015165634110787557
DEM,200.3728054914472,172.7044800581579,0.015165634110787557
