nuisance,scientific_group,meaning,prior_sd_multiplier,physical_prior_sd,unit,one_sigma_multiplicative_factor,one_sigma_percentage_points,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min,aligned_1pct_lambda_max,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation,aligned_1pct_sd_Vcem_percentage_points,aligned_1pct_sd_lnCn,aligned_1pct_raw_alignment_rms_per_scaled_parameter
logP_calibration,stress_calibration,multiplicative pressure-calibration factor,0.25,0.025,log ratio,1.0253151205244289,,0.011732501286126684,17.556825707698415,0.0006682586864766876,38.683672125041625,3.3535850698370986,1.8312796263370317,7.158365649797916,0.21577423602721,0.21577423602721,0.0764686810571614,7.646868105716139,1.5401502175213506,4.665291026808333,-0.9984237505186645,0.0,0.0,0.004222377157701018,17.05422125550092,1.2069123752861817,0.00024758545667038714,-0.9994191116437589,12.808930340751164,2.5610359658302504,0.0002851424639912598
logP_calibration,stress_calibration,multiplicative pressure-calibration factor,0.5,0.05,log ratio,1.0512710963760241,,0.011730782516129246,17.54296391465912,0.0006686887445699445,38.67123068490174,3.35309378146974,1.831145483425536,7.151665995899617,0.2152699729730689,0.2152699729730689,0.07647533546873901,7.647533546873901,1.5402542281646325,4.665776291965062,-0.9984227607067161,0.0,0.0,0.004222368225826667,17.043285286051926,1.2069098222244143,0.00024774379792153194,-0.9994187408423965,12.808957299753484,2.5610377749976307,0.0002851424639912598
logP_calibration,stress_calibration,multiplicative pressure-calibration factor,1.0,0.1,log ratio,1.1051709180756477,,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
logP_calibration,stress_calibration,multiplicative pressure-calibration factor,2.0,0.2,log ratio,1.2214027581601699,,0.01169704972176877,17.275276859507464,0.0006770976706709791,38.43035003126094,3.343451694691114,1.828510786047245,7.022287765687936,0.20537326356476482,0.20537326356299018,0.0766062124896324,7.66062124896324,1.5423002904699756,4.675332533960648,-0.9984034146801894,0.0,0.0,0.004222192215747711,16.830606579778262,1.206859511999976,0.0002508639362303564,-0.9994114343280978,12.80948856272973,2.561073427125898,0.0002851424639912598
logP_calibration,stress_calibration,multiplicative pressure-calibration factor,4.0,0.4,log ratio,1.4918246976412703,,0.011596741354490181,16.52548248859653,0.0007017490328946555,37.749316154881654,3.3147798339615533,1.8206536831483229,6.659895113025926,0.17594448389838857,0.1759444838963171,0.07699853174978069,7.699853174978069,1.5484382689860219,4.704117876142018,-0.9983467868411584,0.0,0.0,0.004221660673329186,16.21938291763481,1.2067075774145644,0.0002602849131047465,-0.9993893750750406,12.811093068069807,2.5611811085774634,0.0002851424639912598
log_stress_bulk_scale,stress_calibration,multiplicative bulk stress-response amplitude,0.25,0.0625,log ratio,1.0644944589178593,,0.011728966846699773,17.55140838477553,0.0006682635711943055,38.683530744328834,3.3525747956420853,1.8310037672386383,7.154001062528513,0.21141390879463848,0.21141390879636243,0.07648898014987962,7.648898014987962,1.5403047721094267,4.6660121246642925,-0.9984239423749774,0.0,0.0,0.0042223411194761695,17.068436572928317,1.206902074221656,0.0002473771456123337,-0.9994196043655443,12.809064712879758,2.5610394225366546,0.0002851424639912598
log_stress_bulk_scale,stress_calibration,multiplicative bulk stress-response amplitude,0.5,0.125,log ratio,1.1331484530668263,,0.011727919777295703,17.53816338271996,0.0006687085484019959,38.670658055592824,3.352275504277445,1.8309220366464118,7.147964193532955,0.21179874751575095,0.21179874751575095,0.07649165860817556,7.649165860817556,1.540380519362804,4.666365575653263,-0.9984228760480468,0.0,0.0,0.004222339351637405,17.054112900788674,1.2069015689076108,0.00024758481289531873,-0.9994191170351144,12.809064721306965,2.5610405804375573,0.0002851424639912598
log_stress_bulk_scale,stress_calibration,multiplicative bulk stress-response amplitude,1.0,0.25,log ratio,1.2840254166877414,,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
log_stress_bulk_scale,stress_calibration,multiplicative bulk stress-response amplitude,2.0,0.5,log ratio,1.6487212707001282,,0.0117107314420144,17.323562584973494,0.0006760001809427075,38.46153331410244,3.3473624390095216,1.8295798531382885,7.050152336007655,0.21811612232912625,0.21811612232745528,0.07653568190836109,7.653568190836109,1.5416253521740444,4.672178037652197,-0.9984053988065916,0.0,0.0,0.004222310265116658,16.82186052649927,1.2068932548985745,0.0002510013834953217,-0.9994110993834608,12.809064862182645,2.5610596310307194,0.0002851424639912598
log_stress_bulk_scale,stress_calibration,multiplicative bulk stress-response amplitude,4.0,1.0,log ratio,2.718281828459045,,0.011681230025548217,16.967229401335143,0.0006884583068482016,38.11195067901932,3.338929837351338,1.827273881319201,6.8877405232085005,0.22895899908706152,0.22895899908706152,0.076611482808631,7.661148280863101,1.543768073226853,4.682199945137597,-0.9983755211772017,0.0,0.0,0.004222260055449567,16.435490213954076,1.2068789031089764,0.0002568989425009532,-0.9993972594976102,12.809065105621684,2.561092516420188,0.0002851424639912598
log_stress_shear_scale,stress_calibration,multiplicative shear stress-response amplitude,0.25,0.0625,log ratio,1.0644944589178593,,0.012340707620723812,19.749164704201377,0.0006248723834936922,40.004084353689635,3.5274330527473685,1.878146174488921,8.469661721025558,0.3284717244081019,0.3284717244081019,0.07433547191831351,7.433547191831351,1.5036531722219018,4.498091394372635,-0.9985210365709042,0.0,0.0,0.004225473294108717,18.44077319002431,1.207797366182651,0.00022913753401590135,-0.9994622743012608,12.801720306512324,2.560287129659553,0.0002851424639912598
log_stress_shear_scale,stress_calibration,multiplicative shear stress-response amplitude,0.5,0.125,log ratio,1.1331484530668263,,0.012192313773185859,19.15327103646372,0.0006365656158665696,39.63495886176039,3.485016573991264,1.866819909362246,8.115333191504122,0.30075172969010605,0.30075172969010605,0.07484228241843033,7.484228241843033,1.5122980055623316,4.537145208466527,-0.9984946356333806,0.0,0.0,0.004224756036379507,18.09057611354818,1.2075923472567425,0.00023353352650917248,-0.9994519867812096,12.80339704608869,2.5604601299777046,0.0002851424639912598
log_stress_shear_scale,stress_calibration,multiplicative shear stress-response amplitude,1.0,0.25,log ratio,1.2840254166877414,,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
log_stress_shear_scale,stress_calibration,multiplicative shear stress-response amplitude,2.0,0.5,log ratio,1.6487212707001282,,0.010794167470485672,14.914473861782803,0.0007237377309128483,37.17144060161349,3.0853743790462143,1.7565233784513699,5.594668511227403,0.03960066261356188,0.03960066261356188,0.08009746120476842,8.009746120476843,1.602446638212508,4.965165539411408,-0.9983018358090657,0.0,0.0,0.0042166619481482925,14.898066269085106,1.2052787559104332,0.0002830341785294823,-0.9993362200090157,12.822341916676216,2.5624155587424595,0.0002851424639912598
