group,group_label,affected_nuisances,prior_sd_multiplier,pressure_1_mpa,pressure_2_mpa,static_lambda_min,static_lambda_max,static_spectral_ratio,static_weak_direction_scaled_Vcem,static_weak_direction_scaled_lnCn,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min,aligned_1pct_lambda_max,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation,aligned_1pct_sd_Vcem_percentage_points,aligned_1pct_sd_lnCn,aligned_1pct_raw_alignment_rms_per_scaled_parameter
state_log_biases,State-variable biases,phi_bias;vsh_bias;sw_bias,0.25,5.0,7.5,0.003716644756373011,9.766231253191897,0.00038056079771388784,0.5541686186778974,-0.8324044341980834,0.011934243250076193,19.15762702715832,0.000622949973561857,40.06576266856425,3.2110260819553145,1.7919336153873877,6.298810509168796,0.16316868543047458,0.16316868543047458,0.07581951653608576,7.581951653608576,1.5270279991677496,4.604471972440689,-0.9985306032163089,0.0,0.0,0.004358795748410582,18.797899903513915,1.1727770702154037,0.00023187673999667307,-0.9994552582896413,12.592183454094826,2.5219189591496316,0.00026750052723863415
state_log_biases,State-variable biases,phi_bias;vsh_bias;sw_bias,0.5,5.0,7.5,0.003660276300247789,9.101729035986668,0.0004021517544387102,0.5544223456385213,-0.8322354610665662,0.011881000114513984,18.43037828148077,0.0006446422277969336,39.385886454847245,3.24592985335825,1.8016464285087266,6.572785768067843,0.18174602970365855,0.18174602970566392,0.07598887160223572,7.598887160223572,1.5304726453079878,4.620360097823121,-0.9984794369185426,0.0,0.0,0.004329363858792679,18.023603480553682,1.1827970086574051,0.00024020523218144395,-0.9994359549139269,12.640169533506315,2.5300251666565354,0.00027347077275177375
state_log_biases,State-variable biases,phi_bias;vsh_bias;sw_bias,0.75,5.0,7.5,0.003583335823285516,8.60695693587774,0.0004163301675588187,0.5546818624633402,-0.8320625165540149,0.01180792624649829,17.896793079273884,0.0006597788885525499,38.931469113061965,3.2952329418211628,1.8152776486866031,6.851910907320397,0.19863978134362845,0.19863978134362845,0.07622691080590936,7.622691080590936,1.5351888611287148,4.642202178712112,-0.9984438141672589,0.0,0.0,0.0042812332301469525,17.446229289110406,1.1947619316968017,0.0002453959052813329,-0.9994240321237887,12.716281276763658,2.543749330919175,0.00027970006497321287
state_log_biases,State-variable biases,phi_bias;vsh_bias;sw_bias,1.0,5.0,7.5,0.003498495204923069,8.225104925833136,0.00042534353500283154,0.55490471825484,-0.8319139100042243,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
state_log_biases,State-variable biases,phi_bias;vsh_bias;sw_bias,1.5,5.0,7.5,0.0033365203898299,7.731483154139433,0.0004315498492735548,0.5551964477342595,-0.8317192461541693,0.011554618484072243,16.96141026381144,0.0006812298213624942,38.31361883809456,3.4630744410530374,1.8609337551490213,7.597329671134978,0.2338300849988824,0.2338300849988824,0.07706032342236833,7.706032342236833,1.5519281142312515,4.720563198669731,-0.9983932839859357,0.0,0.0,0.0040967328796033264,16.422505672271072,1.2278458996056616,0.00024945845423092423,-0.9994149949844183,13.00942308496439,2.599521511946446,0.0002923886043119951
state_log_biases,State-variable biases,phi_bias;vsh_bias;sw_bias,2.0,5.0,7.5,0.003205342594322591,7.4634724158508075,0.00042947068277697845,0.5553383156823646,-0.8316245277377732,0.011411078585507273,16.675307649140354,0.0006843099285244993,38.22729600498861,3.560018391082112,1.8868011000320388,7.953992270650194,0.24540813341624834,0.24540813341624834,0.07754006910236744,7.754006910236743,1.561692019045829,4.766880077246375,-0.9983859408608473,0.0,0.0,0.003985290170258171,16.11023150720154,1.2433273676633034,0.00024737634393873735,-0.9994199937468976,13.192447824241876,2.6354006675430193,0.00029595960757630317
state_log_biases,State-variable biases,phi_bias;vsh_bias;sw_bias,3.0,5.0,7.5,0.003035153045823913,7.217215096528525,0.0004205435206280355,0.5554359658415216,-0.8315593110835187,0.011219409169997085,16.411158901826354,0.0006836451488351933,38.2458776881487,3.6964887768786303,1.9226254905411584,8.405411766839356,0.25574144964491385,0.25574144964491385,0.07819212088291408,7.819212088291408,1.5750405650170367,4.830937581200914,-0.9983873351128421,0.0,0.0,0.0038317054531282757,15.82606063723558,1.2624422542383307,0.00024211365929642864,-0.999432389074425,13.455463964724727,2.6875798191294766,0.00029843475610346693
state_log_biases,State-variable biases,phi_bias;vsh_bias;sw_bias,4.0,5.0,7.5,0.0029434652079836088,7.1159635435994,0.0004136425362424979,0.555459055034454,-0.8315438883067036,0.01111451373927519,16.301828917913298,0.0006817955086660236,38.29772109092302,3.775996301613864,1.9431922966124233,8.650359902272031,0.2596875487702818,0.25968754877168526,0.0785551946053178,7.855519460531781,1.5824978366285984,4.867097855801758,-0.998391581527842,0.0,0.0,0.003745970436064283,15.710758515761988,1.2726396173815904,0.0002384334551578842,-0.9994410167040709,13.608579389110279,2.7181536372049218,0.00029902200176486595
solid_composition_moduli,Solid composition/moduli,f_kf_shift;log_clay_mod_scale;log_cement_mod_scale,0.25,5.0,7.5,0.006714591268758063,21.572542541306948,0.00031125636933620657,0.5520674881867944,-0.8337994294116082,0.015104726493224696,31.44434935643921,0.0004803637792598031,45.6262602675094,2.2495377437945643,1.4998459066832714,3.278948254288373,0.039669939263750426,0.039669939263750426,0.06734588075611948,6.734588075611948,1.3576245566439002,3.886949099189095,-0.998865976873766,0.0,0.0,0.007197482897069563,31.380952642319542,1.0719167569526262,0.0002293583301662813,-0.9994589860329248,9.763830137300623,1.9656996857094122,0.0002238100222091433
solid_composition_moduli,Solid composition/moduli,f_kf_shift;log_clay_mod_scale;log_cement_mod_scale,0.5,5.0,7.5,0.005354809641192393,15.388810550780148,0.00034796774081548017,0.5525227649825587,-0.8334978069413429,0.013611566689331944,24.95330664406045,0.0005454814820132007,42.81638472638203,2.541932879298574,1.5943440278994285,4.1218020324866185,0.07621801297016474,0.07621801297016474,0.07093907982358472,7.093907982358472,1.430258578720201,4.1797798543245275,-0.9987121780955692,0.0,0.0,0.005861535820709918,24.813005008860163,1.09463010143619,0.0002362283737345354,-0.9994432777928879,10.828030035054645,2.177472069363618,0.00023225785245268313
