group,group_label,prior_sd_multiplier,best_pressure_1_mpa,best_pressure_2_mpa,canonical_5_7p5_is_best,second_best_lambda_min,best_minus_second_best_lambda_min,canonical_lambda_min_gain,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation
state_log_biases,State-variable biases,0.25,5.0,7.5,True,0.011137328680978165,0.0007969145690980284,3.2110260819553145,0.011934243250076193,19.15762702715832,0.000622949973561857,40.06576266856425,3.2110260819553145,1.7919336153873877,6.298810509168796,0.16316868543047458,0.16316868543047458,0.07581951653608576,7.581951653608576,1.5270279991677496,4.604471972440689,-0.9985306032163089,0.0,0.0,1.1727770702154037,0.00023187673999667307,-0.9994552582896413
state_log_biases,State-variable biases,0.5,5.0,7.5,True,0.011085095388678745,0.0007959047258352392,3.24592985335825,0.011881000114513984,18.43037828148077,0.0006446422277969336,39.385886454847245,3.24592985335825,1.8016464285087266,6.572785768067843,0.18174602970365855,0.18174602970566392,0.07598887160223572,7.598887160223572,1.5304726453079878,4.620360097823121,-0.9984794369185426,0.0,0.0,1.1827970086574051,0.00024020523218144395,-0.9994359549139269
state_log_biases,State-variable biases,0.75,5.0,7.5,True,0.01101300487838408,0.0007949213681142098,3.2952329418211628,0.01180792624649829,17.896793079273884,0.0006597788885525499,38.931469113061965,3.2952329418211628,1.8152776486866031,6.851910907320397,0.19863978134362845,0.19863978134362845,0.07622691080590936,7.622691080590936,1.5351888611287148,4.642202178712112,-0.9984438141672589,0.0,0.0,1.1947619316968017,0.0002453959052813329,-0.9994240321237887
state_log_biases,State-variable biases,1.0,5.0,7.5,True,0.010930110570206875,0.0007938279082133626,3.3511375010382625,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,1.2068996463319068,0.0002483749145327763,-0.9994172629111003
state_log_biases,State-variable biases,1.5,5.0,7.5,True,0.010763035538420507,0.0007915829456517365,3.4630744410530374,0.011554618484072243,16.96141026381144,0.0006812298213624942,38.31361883809456,3.4630744410530374,1.8609337551490213,7.597329671134978,0.2338300849988824,0.2338300849988824,0.07706032342236833,7.706032342236833,1.5519281142312515,4.720563198669731,-0.9983932839859357,0.0,0.0,1.2278458996056616,0.00024945845423092423,-0.9994149949844183
state_log_biases,State-variable biases,2.0,5.0,7.5,True,0.010621412036501354,0.0007896665490059185,3.560018391082112,0.011411078585507273,16.675307649140354,0.0006843099285244993,38.22729600498861,3.560018391082112,1.8868011000320388,7.953992270650194,0.24540813341624834,0.24540813341624834,0.07754006910236744,7.754006910236743,1.561692019045829,4.766880077246375,-0.9983859408608473,0.0,0.0,1.2433273676633034,0.00024737634393873735,-0.9994199937468976
state_log_biases,State-variable biases,3.0,5.0,7.5,True,0.010432261866927028,0.0007871473030700571,3.6964887768786303,0.011219409169997085,16.411158901826354,0.0006836451488351933,38.2458776881487,3.6964887768786303,1.9226254905411584,8.405411766839356,0.25574144964491385,0.25574144964491385,0.07819212088291408,7.819212088291408,1.5750405650170367,4.830937581200914,-0.9983873351128421,0.0,0.0,1.2624422542383307,0.00024211365929642864,-0.999432389074425
state_log_biases,State-variable biases,4.0,5.0,7.5,True,0.010328710446267486,0.000785803293007703,3.775996301613864,0.01111451373927519,16.301828917913298,0.0006817955086660236,38.29772109092302,3.775996301613864,1.9431922966124233,8.650359902272031,0.2596875487702818,0.25968754877168526,0.0785551946053178,7.855519460531781,1.5824978366285984,4.867097855801758,-0.998391581527842,0.0,0.0,1.2726396173815904,0.0002384334551578842,-0.9994410167040709
solid_composition_moduli,Solid composition/moduli,0.25,5.0,7.5,True,0.0142773105310674,0.0008274159621572963,2.2495377437945643,0.015104726493224696,31.44434935643921,0.0004803637792598031,45.6262602675094,2.2495377437945643,1.4998459066832714,3.278948254288373,0.039669939263750426,0.039669939263750426,0.06734588075611948,6.734588075611948,1.3576245566439002,3.886949099189095,-0.998865976873766,0.0,0.0,1.0719167569526262,0.0002293583301662813,-0.9994589860329248
solid_composition_moduli,Solid composition/moduli,0.5,5.0,7.5,True,0.012800487279713835,0.0008110794096181095,2.541932879298574,0.013611566689331944,24.95330664406045,0.0005454814820132007,42.81638472638203,2.541932879298574,1.5943440278994285,4.1218020324866185,0.07621801297016474,0.07621801297016474,0.07093907982358472,7.093907982358472,1.430258578720201,4.1797798543245275,-0.9987121780955692,0.0,0.0,1.09463010143619,0.0002362283737345354,-0.9994432777928879
