group,group_label,affected_nuisances,prior_sd_multiplier,pressure_1_mpa,pressure_2_mpa,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min,aligned_1pct_lambda_max,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation,aligned_1pct_sd_Vcem_percentage_points,aligned_1pct_sd_lnCn,aligned_1pct_raw_alignment_rms_per_scaled_parameter
fabric_state,Fabric state,ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,0.25,5.0,7.5,0.01187311322098239,34.074339541774634,0.0003484473472017302,53.57120543129032,3.3937771886251524,1.842220722016,14.059482194705659,0.24463601629194365,0.2446360162904538,0.075928995371382,7.5928995371382,1.5314057597004045,4.624673434433813,-0.9991769933421579,0.0,0.0,0.004223313996441824,31.718803077981,1.2071801586289994,0.00013314859284124827,-0.9996875653109372,12.806403822694366,2.5606385818976847,0.0002851424639912598
fabric_state,Fabric state,ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,0.5,5.0,7.5,0.011842127739561725,27.220171083910593,0.0004350497174707846,47.94359041755957,3.3849203860269776,1.8398153130211135,11.202059164459179,0.23637106899771387,0.23637106899771387,0.07605236985139303,7.605236985139303,1.533290834591201,4.633399512274299,-0.9989728344554887,0.0,0.0,0.004223115406918332,25.79526876999026,1.2071233943598323,0.00016371666620630163,-0.9996158505981012,12.8070181278582,2.5607274733986527,0.0002851424639912598
fabric_state,Fabric state,ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,0.75,5.0,7.5,0.011791892303096851,21.418823305523247,0.0005505387543888132,42.61927445207559,3.370561230583751,1.8359088295946917,8.777207839814318,0.22517820897050542,0.22517820897050542,0.07624673777159768,7.624673777159768,1.5363938571962343,4.647799385711033,-0.9987008241249583,0.0,0.0,0.004222787248978399,20.608538870131838,1.2070295946200267,0.00020490473757450739,-0.9995192286256388,12.80793569961256,2.560865806498102,0.0002851424639912598
fabric_state,Fabric state,ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,1.0,5.0,7.5,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
fabric_state,Fabric state,ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,1.5,5.0,7.5,0.011541004790974974,13.267350657719458,0.0008698801357345576,33.90551092768011,3.298848251881128,1.8162731765571851,5.3211450697544445,0.19212539311030546,0.19212539310840845,0.07716617874656609,7.716617874656609,1.5525201094538612,4.723358576875003,-0.9979502468921828,0.0,0.0,0.004221056797147238,13.03692570236288,1.2065349671502716,0.00032377700797836035,-0.9992404192150399,12.811746346639932,2.5615051486019156,0.0002851424639912598
fabric_state,Fabric state,ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,2.0,5.0,7.5,0.011305488163108723,11.338726893171136,0.0009970685659531644,31.66922879732276,3.2315288433723404,1.7976453608463323,4.454827425644032,0.17644635497134237,0.17644635496927677,0.07800920138596883,7.800920138596883,1.568367674203796,4.798808578079381,-0.9976520890971922,0.0,0.0,0.004219315001612323,11.194750293660242,1.2060370972282366,0.000376901216278293,-0.9991158406602342,12.814887557783383,2.56208789676483,0.0002851424639912598
fabric_state,Fabric state,ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,3.0,5.0,7.5,0.010727499828773635,9.762388416611813,0.0010988601734509534,30.166768001021637,3.066318288410954,1.7510905997152044,3.6394174190299866,0.156704520717609,0.156704520717609,0.08013392439087084,8.013392439087085,1.6097333962324414,5.001477637289893,-0.9974142947077689,0.0,0.0,0.00421456814553256,9.67391212250578,1.2046802692774414,0.00043566326550844084,-0.9989780493752514,12.822557086826821,2.56359865451292,0.0002851424639912598
fabric_state,Fabric state,ln_soft_cn_offset;ln_stiff_cn_offset;soft_phic_shift,4.0,5.0,7.5,0.010088021230095556,9.164430472461625,0.0011007799404894006,30.14045100658591,2.883531529755917,1.6980964430078513,3.212837338597376,0.14470570445954753,0.14470570445954753,0.08266092497197097,8.266092497197096,1.6597404450025743,5.257945941175603,-0.9974106974797935,0.0,0.0,0.0042084160669886295,9.093026558433122,1.2029217765016693,0.00046281796714710234,-0.9989143669413798,12.832003883083114,2.5655151468927766,0.0002851424639912598
stress_calibration,Stress/calibration,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale,0.25,5.0,7.5,0.012368718757515218,19.902248034582314,0.0006214734504375198,40.113329406267866,3.5354396770674446,1.880276489526858,8.554686900504379,0.3301072410739198,0.3301072410739198,0.07424775018642366,7.424775018642365,1.5019766741981004,4.490556670778485,-0.998529001490951,0.0,0.0,0.004225570376434895,18.566044163626202,1.2078251159208933,0.00022759669960892648,-0.9994658876084397,12.801521391743329,2.5602594791059157,0.0002851424639912598
stress_calibration,Stress/calibration,logP_calibration;log_stress_bulk_scale;log_stress_shear_scale,0.5,5.0,7.5,0.012211382907283408,19.269090014695134,0.0006337290914086069,39.72356139744452,3.490467241487025,1.8682792193585585,8.177175619768342,0.3018060212434682,0.3018060212446758,0.07478149737604257,7.478149737604258,1.511134140161714,4.531867653918125,-0.9985012897663113,0.0,0.0,0.00422482386246914,18.18921240230455,1.2076117344748636,0.0002322708520317164,-0.9994549476720259,12.803253401352832,2.560440875545648,0.0002851424639912598
