train,test,adjustment,method,method_label,family,n_local_coefficients,Vcem_train,Cn_train,Vcem_test,Cn_test,A_train,Gamma_train,beta_train,method_tangent_at_train,tangent_difference,lnCn_test_predicted,log_coordinate_error,coordinate_level_ratio,absolute_percent_level_error
19A,BT2,raw,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2974651402296669,1.4564937653591947,8.215881948269013,8.215881949135667,8.666543038771124e-10,2.12177019206791,-0.006436129019892434,0.9935845384951192,0.6415461504880815
19A,BT2,raw,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2974651402296669,1.4564937653591947,8.215881948269013,8.215881949136222,8.672085272110053e-10,2.119387820566504,-0.004053757518486467,0.995954447865233,0.4045552134766983
19A,BT2,raw,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2974651402296669,1.4564937653591947,8.215881948269013,8.215881948807459,5.384457324453251e-10,2.1240642571142763,-0.008730194066258523,0.9913078034224103,0.8692196577589684
19A,BT2,raw,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2974651402296669,1.4564937653591947,8.215881948269013,8.215881948732477,4.6346393389740115e-10,1.7303616792224856,0.3849723838255321,1.4695737368760406,46.95737368760406
19A,BT2,raw,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2974651402296669,1.4564937653591947,8.215881948269013,8.21588194987393,1.6049170881160535e-09,3.8679962853916168,-1.752662222343599,0.17331193383448892,82.66880661655111
19A,BT2,raw,quadratic_tangent,second-order local tangent,local Taylor continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2974651402296669,1.4564937653591947,8.215881948269013,8.215881948284787,1.5774048733874224e-11,1.8482170199961558,0.2671170430518619,1.3061933182364707,30.619331823647066
19A,BT2,raw,local_linear_tangent,first-order local tangent,local Taylor continuation,1,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2974651402296669,1.4564937653591947,8.215881948269013,8.215881948284787,1.5774048733874224e-11,1.7279793077210797,0.3873547553269381,1.4730789812051954,47.30789812051954
19A,BT2,raw,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2974651402296669,1.4564937653591947,8.215881948269013,8.215881948269013,0.0,2.13988357992843,-0.02454951688041218,0.9757493716572085,2.425062834279146
19A,BT2,adjusted,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2969694515434239,1.556283660768415,7.929908349865859,7.92990835075803,8.921707816966773e-10,2.1150231990412705,0.0003108640067472912,1.0003109123299698,0.031091232996982576
19A,BT2,adjusted,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,0.024592733574879642,4.7029523059115945,0.002709648210837285,8.292355473009664,0.2969694515434239,1.556283660768415,7.929908349865859,7.929908350758624,8.927649730594567e-10,2.112477602259671,0.00285646078834656,1.0028605443597256,0.2860544359725603
