test,train,held_out,adjustment,window,method,method_label,family,n_local_coefficients,n_points,rms_log_coordinate_error,max_abs_log_coordinate_error,median_abs_percent_ratio_error,max_abs_percent_ratio_error,ratio_min,ratio_max
held_out_profile_shape,19A,BT2,adjusted,local_pm_0p015,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,11,0.013931145878838314,0.018852596923958798,1.5623442764561402,1.9031429179032777,0.9839363234538723,1.0190314291790328
held_out_profile_shape,19A,BT2,adjusted,between_operating_points,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,13,0.016159694538660094,0.019643769541494605,1.7911903322822775,1.9837977959790587,1.0001413578344622,1.0198379779597906
held_out_profile_shape,19A,BT2,adjusted,full_admissible_grid,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,36,0.015442665300842023,0.019643769541494605,1.5926765932066544,1.9837977959790587,0.9839363234538723,1.0198379779597906
held_out_profile_shape,19A,BT2,adjusted,local_pm_0p015,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,11,0.011528227275730276,0.015407712850905142,1.2952073430342548,1.5289621327954972,0.984710378672045,1.0146497720638215
held_out_profile_shape,19A,BT2,adjusted,between_operating_points,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,13,0.012674356768168856,0.014741024279022463,1.4226342031178785,1.4850209016014748,1.0001299728769883,1.0148502090160147
held_out_profile_shape,19A,BT2,adjusted,full_admissible_grid,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,36,0.014172967409375103,0.019195113449146373,1.4464668909977996,1.9380524065182758,0.984710378672045,1.0193805240651828
held_out_profile_shape,19A,BT2,adjusted,local_pm_0p015,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,11,0.27775688550274147,0.3873048722393524,30.829104987687916,47.30055013100727,0.7473891872879016,1.4730055013100727
held_out_profile_shape,19A,BT2,adjusted,between_operating_points,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,13,0.3297221063280162,0.40759030559267684,43.17639520961216,50.31911859759,1.0026267497147225,1.5031911859759
held_out_profile_shape,19A,BT2,adjusted,full_admissible_grid,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,36,0.3336273769925953,0.407652025509633,41.399983840454205,50.328396567421564,0.7473891872879016,1.5032839656742156
held_out_profile_shape,19A,BT2,adjusted,local_pm_0p015,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,11,1.8195442449668904,4.296185461513324,78.74087031344867,7241.9198510879905,0.18258304779141846,73.41919851087991
held_out_profile_shape,19A,BT2,adjusted,between_operating_points,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,13,1.5140758189342296,1.7259342785186191,80.88772473589134,82.19933337446595,0.17800666625534045,0.9779097940164313
held_out_profile_shape,19A,BT2,adjusted,full_admissible_grid,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,36,1.7331868866964888,4.296185461513324,81.43846370644172,7241.9198510879905,0.17796193059022786,73.41919851087991
held_out_profile_shape,19A,BT2,adjusted,local_pm_0p015,quadratic_tangent,second-order local tangent,local Taylor continuation,2,11,0.21974083341247186,0.28525924334267594,24.504741272423768,33.0106804763201,0.761810896587554,1.330106804763201
held_out_profile_shape,19A,BT2,adjusted,between_operating_points,quadratic_tangent,second-order local tangent,local Taylor continuation,2,13,0.24685851399083672,0.29018734235215127,31.44505711582559,33.667788094842564,1.002350318560728,1.3366778809484257
held_out_profile_shape,19A,BT2,adjusted,full_admissible_grid,quadratic_tangent,second-order local tangent,local Taylor continuation,2,36,0.29850641092732166,0.43146713905125855,33.68271917822969,53.95145493734306,0.761810896587554,1.5395145493734306
held_out_profile_shape,19A,BT2,adjusted,local_pm_0p015,local_linear_tangent,first-order local tangent,local Taylor continuation,1,11,0.2790148915400622,0.3895041891344577,30.967655184184295,47.62486722687618,0.7470867399133111,1.4762486722687618
held_out_profile_shape,19A,BT2,adjusted,between_operating_points,local_linear_tangent,first-order local tangent,local Taylor continuation,1,13,0.3315137870123259,0.4101300109209409,43.43960051947664,50.70137006160878,1.002632617911815,1.5070137006160877
held_out_profile_shape,19A,BT2,adjusted,full_admissible_grid,local_linear_tangent,first-order local tangent,local Taylor continuation,1,36,0.3344995693192298,0.4101949026816083,41.47012087516754,50.71114965615118,0.7470867399133111,1.5071114965615118
held_out_profile_shape,19A,BT2,adjusted,local_pm_0p015,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,11,0.0006161798486488947,0.0011467533932207896,0.046178412325859064,0.11460961228146882,0.9988539038771853,1.0004617841232586
held_out_profile_shape,19A,BT2,adjusted,between_operating_points,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,13,0.0008202221340313287,0.0011846661602004094,0.07678142856593073,0.11839647202629422,0.9988160352797371,0.9999968581725404
held_out_profile_shape,19A,BT2,adjusted,full_admissible_grid,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,36,0.0017059470873036484,0.002680007956853636,0.17580527266862767,0.26764199415481027,0.9973235800584519,1.0004617841232586
held_out_profile_shape,BT2,19A,raw,local_pm_0p015,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,19,0.00324963763932253,0.00630533015547341,0.255077369308232,0.6325250595967447,0.9955430256997103,1.0063252505959674
held_out_profile_shape,BT2,19A,raw,between_operating_points,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,14,0.005105412911093371,0.008095054431935589,0.4357707538957589,0.8127907975637116,0.9999999998882154,1.0081279079756371
held_out_profile_shape,BT2,19A,raw,full_admissible_grid,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,36,0.005309591915947277,0.008164154448710326,0.4957547520463901,0.8130918249769081,0.9918690817502309,1.0081279079756371
held_out_profile_shape,BT2,19A,raw,local_pm_0p015,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,19,0.0051736729767297195,0.008913201781222568,0.45747256592149066,0.8873596954179552,0.9911264030458204,1.0085068503420362
held_out_profile_shape,BT2,19A,raw,between_operating_points,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,14,0.006821857934769609,0.010482906472712772,0.6136450251235548,1.0538044637750765,0.9999999998882152,1.0105380446377508
held_out_profile_shape,BT2,19A,raw,full_admissible_grid,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,36,0.011117536219270177,0.02333449681363331,0.8144980426188331,2.3064352747693584,0.9769356472523064,1.0105380446377508
held_out_profile_shape,BT2,19A,raw,local_pm_0p015,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,19,0.0015649109936151965,0.00405010996142896,0.03810042242960998,0.40583227405885935,0.999597970544861,1.0040583227405886
held_out_profile_shape,BT2,19A,raw,between_operating_points,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,14,0.0033336821971741174,0.0056147517664077995,0.2501879843632482,0.5630544027815043,0.9999999998882152,1.005630544027815
held_out_profile_shape,BT2,19A,raw,full_admissible_grid,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,36,0.003527864140699578,0.008836291203679236,0.18910443750586037,0.8875446468932457,0.999597970544861,1.0088754464689325
held_out_profile_shape,BT2,19A,raw,local_pm_0p015,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,19,0.8866357091830578,1.533538742697299,62.43001510678275,317.144963315204,0.21577075751230657,4.17144963315204
held_out_profile_shape,BT2,19A,raw,between_operating_points,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,14,1.1667971521741902,1.8335551318643306,184.68981653598132,525.608838927939,0.9999999998882196,6.25608838927939
held_out_profile_shape,BT2,19A,raw,full_admissible_grid,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,36,1.8697290858530051,3.794735612172942,90.65803958739652,525.608838927939,0.022488850809207556,6.25608838927939
held_out_profile_shape,BT2,19A,raw,local_pm_0p015,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,19,0.10579019247992562,0.2309647361581173,7.625077233662836,20.623254316820226,0.7937674568317977,1.1360864828838817
held_out_profile_shape,BT2,19A,raw,between_operating_points,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,14,0.21151543012218563,0.4013626946042015,13.491837690392366,33.05927733858775,0.6694072266141226,0.9999999998882148
held_out_profile_shape,BT2,19A,raw,full_admissible_grid,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,36,0.1825335894653835,0.4013626946042015,15.672490715046617,33.05927733858775,0.6694072266141226,1.2827406440761973
held_out_profile_shape,BT2,19A,raw,local_pm_0p015,quadratic_tangent,second-order local tangent,local Taylor continuation,2,19,7.477568623584741,16.48894595146087,99.92959249158748,1448966047.6460886,0.000459283679293827,14489661.476460885
held_out_profile_shape,BT2,19A,raw,between_operating_points,quadratic_tangent,second-order local tangent,local Taylor continuation,2,14,6.120397115092969,8.30851077377671,99.82024410295527,99.97535892684233,0.0002464107315766402,0.9999999998881819
held_out_profile_shape,BT2,19A,raw,full_admissible_grid,quadratic_tangent,second-order local tangent,local Taylor continuation,2,36,22.767921586129706,55.576179084099216,15687.130174138085,1.3690770849962722e+26,0.00023329241619216983,1.3690770849962722e+24
held_out_profile_shape,BT2,19A,raw,local_pm_0p015,local_linear_tangent,first-order local tangent,local Taylor continuation,1,19,0.8886055131239943,1.5379850082572386,62.526940508787554,318.0492865899141,0.21481351308280922,4.180492865899141
held_out_profile_shape,BT2,19A,raw,between_operating_points,local_linear_tangent,first-order local tangent,local Taylor continuation,1,14,1.1685163419245792,1.8359580109058182,185.19623956869674,527.1139088214521,0.9999999998882192,6.271139088214521
held_out_profile_shape,BT2,19A,raw,full_admissible_grid,local_linear_tangent,first-order local tangent,local Taylor continuation,1,36,1.8757055917055203,3.8099059545378653,90.73066636075674,527.1139088214521,0.02215026199071117,6.271139088214521
held_out_profile_shape,BT2,19A,raw,local_pm_0p015,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,19,0.0017617999535056977,0.0032794921166037216,0.1450288530250754,0.3274120456042917,0.9967258795439571,1.0027153801375295
held_out_profile_shape,BT2,19A,raw,between_operating_points,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,14,0.0029632723098519504,0.005679398790750856,0.22153067412287175,0.5663301494178485,0.9943366985058215,0.9999999998882148
held_out_profile_shape,BT2,19A,raw,full_admissible_grid,integrated_local_projection,integrated local projection slope,numerical differential continuation,0,36,0.003629982561245076,0.006968656861019884,0.2929098607120928,0.6944432075864482,0.9930555679241355,1.0063786898848799
held_out_profile_shape,BT2,19A,adjusted,local_pm_0p015,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,19,0.004131753543742989,0.008225226394334761,0.3190090127217493,0.825914650537074,0.9943519035564906,1.0082591465053707
held_out_profile_shape,BT2,19A,adjusted,between_operating_points,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,14,0.006826675345022699,0.011162302586614103,0.5655587995759159,1.1224833532663014,1.0000000000000004,1.011224833532663
held_out_profile_shape,BT2,19A,adjusted,full_admissible_grid,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,36,0.0067696149903436805,0.011162302586614103,0.6515356922120796,1.1224833532663014,0.9904060550878625,1.011224833532663
held_out_profile_shape,BT2,19A,adjusted,local_pm_0p015,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,19,0.006116547398191361,0.010487216177597736,0.5132339462513902,1.0542399767882848,0.9897445486959222,1.0105423997678828
held_out_profile_shape,BT2,19A,adjusted,between_operating_points,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,14,0.008614219217054296,0.01367220115129486,0.7516039043184763,1.3766093108722899,1.0000000000000004,1.013766093108723
held_out_profile_shape,BT2,19A,adjusted,full_admissible_grid,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,36,0.012681747630329478,0.025486262972401308,1.039892553598032,2.5164229780357483,0.9748357702196425,1.013766093108723
held_out_profile_shape,BT2,19A,adjusted,local_pm_0p015,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,19,0.002324681370723328,0.005869563112770981,0.07257099526569721,0.5886822750659215,0.9992461184473621,1.0058868227506592
held_out_profile_shape,BT2,19A,adjusted,between_operating_points,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,14,0.004980922435383877,0.008555789264659275,0.37146680965676193,0.8592494636092463,1.0000000000000004,1.0085924946360925
