test,adjustment,window,method,method_label,family,n_local_coefficients,n_points,rms_log_coordinate_error,max_abs_log_coordinate_error,median_abs_percent_ratio_error,max_abs_percent_ratio_error,ratio_min,ratio_max
pooled_profile_invariance,raw,local_pm_0p006,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,9,0.0004993415260570324,0.0012807314643592527,0.020048108858161662,0.12815519511382156,1.0000000030859166,1.0012815519511382
pooled_profile_invariance,raw,between_operating_points,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,15,0.0014858494349289457,0.004483250722233212,0.059768714554131464,0.44933155261444035,1.0000000030859166,1.0044933155261444
pooled_profile_invariance,raw,full_admissible_grid,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,42,0.005715680751253165,0.017872583352442906,0.40221712297889844,1.80332537412633,1.0000000030859166,1.0180332537412633
pooled_profile_invariance,raw,local_pm_0p006,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,9,0.0005696981446260411,0.0014375347495538815,0.025175935163535,0.14385684979223434,1.0000000030859166,1.0014385684979223
pooled_profile_invariance,raw,between_operating_points,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,15,0.0016830158686484127,0.004844904154340135,0.06835341436068898,0.4856659679602693,1.0000000030859166,1.0048566596796027
pooled_profile_invariance,raw,full_admissible_grid,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,42,0.010142766639967507,0.021450127835491495,0.5782799902575908,2.168183558220105,1.0000000030859166,1.021681835582201
pooled_profile_invariance,raw,local_pm_0p006,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,9,0.0004303680023467236,0.001125433228172934,0.014892082516815286,0.1126066765794187,1.0000000030859166,1.0011260667657942
pooled_profile_invariance,raw,between_operating_points,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,15,0.0013034588864429615,0.004126849405823307,0.04326762455222344,0.41353765749114757,1.0000000030859166,1.0041353765749115
pooled_profile_invariance,raw,full_admissible_grid,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,42,0.0032877858200452805,0.0172359314459003,0.11311529462312286,1.7385327203063294,0.9959679151384195,1.0173853272030633
pooled_profile_invariance,raw,local_pm_0p006,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,9,0.018472176655103173,0.04602461508884903,0.8436331284876308,4.710018510380953,1.0000000030859166,1.0471001851038095
pooled_profile_invariance,raw,between_operating_points,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,15,0.053218273118656914,0.14687201902629843,2.2543878894329517,15.820572524778576,1.0000000030859166,1.1582057252477858
pooled_profile_invariance,raw,full_admissible_grid,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,42,0.3279247218425954,0.6802881615961998,22.166970198978163,97.44466099488895,1.0000000030859166,1.9744466099488895
pooled_profile_invariance,raw,local_pm_0p006,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,9,0.024440047176896428,0.06541024451523048,0.7040135509755241,6.331688456613971,0.9366831154338603,1.0000000030859166
pooled_profile_invariance,raw,between_operating_points,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,15,0.0903739394804,0.30434109348874694,2.03570851253545,26.239077016831047,0.7376092298316895,1.0000000030859166
