replicate,Vcem_fraction,Cn,median_mK,median_mG,endpoint_AK,endpoint_AG,endpoint_betaK_at_pooled_V,endpoint_betaG_at_pooled_V,contact_beta_raw_at_pooled_V,HS_beta_raw_at_pooled_V,total_beta_raw_at_pooled_V,contact_beta_adjusted_at_pooled_V,HS_beta_adjusted_at_pooled_V,total_beta_adjusted_at_pooled_V,A_raw_saved,Gamma_raw_saved,A_adjusted_saved,Gamma_adjusted_saved,A_raw_recomputed,Gamma_raw_recomputed,A_adjusted_recomputed,Gamma_adjusted_recomputed
0,0.0050722203894828,6.7824480878855375,0.9529065038212543,0.9395104179217587,0.31272637515595153,0.30698043326903907,24.926289885527638,24.468301610419243,24.564285659737116,-3.923824107894011,20.640461551843103,24.62256050475462,-4.211923028199509,20.41063747655511,0.308184653550269,1.520301166089957,0.3089157724263148,1.631926231955814,0.30818465355244967,1.5203011661282537,0.3089157724302146,1.6319262320108052
1,0.0033436201775415,7.660074233521077,0.9574038533997042,0.9444551411331875,0.31466675407101863,0.30909549188665836,25.080950480754403,24.636885293843356,24.716203642861725,-3.9584387936860153,20.757764849175715,24.77544742118445,-4.277375371109741,20.498072050074708,0.3100906235282217,1.5337127629725875,0.3108338986859164,1.6572860010263886,0.31009062352226163,1.5337127629452685,0.31083389867367306,1.6572860009688344
2,0.0117193717223555,5.5607170759862425,0.9420601406592951,0.9271480154722682,0.30807019888952436,0.3017223153411218,24.555162892106633,24.049196021201848,24.16653309496262,-3.84243091628357,20.324102178679052,24.186019701890423,-4.160072555561611,20.02594714632881,0.3031944316455189,1.4887650521575844,0.3034389115090127,1.611836561306428,0.3031944316408421,1.4887650521482931,0.3034389115001128,1.6118365613630574
3,0.0061500941351753,6.199894204204974,0.9515625983857992,0.9382298950924405,0.3121476589553488,0.30643381538953507,24.880162507334862,24.424732673471297,24.48880229750293,-3.8832441722383626,20.60555812526457,24.496012596086587,-4.295635333397565,20.20037726268902,0.307237635828639,1.504578309560017,0.3073280965650829,1.6643608956178888,0.30723763582843255,1.504578309531125,0.3073280965704441,1.6643608955837486
4,0.0110500394016974,5.563450710404662,0.9423912986700979,0.9274858215387074,0.3082118710154789,0.3018654325635008,24.566455065587306,24.060603378099234,24.187421655744274,-3.8636235460514903,20.323798109692785,24.21711813558032,-4.15146228039463,20.065655855185696,0.3034565004863079,1.4969762203605277,0.303829073883178,1.608500476146448,0.30345650049164213,1.4969762203723735,0.30382907388698593,1.6085004761674924
5,0.0072019547173529,6.432633879145983,0.9489212673718641,0.9350061973131526,0.31101172749956635,0.3050597350289921,24.789621513653714,24.315209690717364,24.427357113346,-3.8747512281433067,20.5526058852027,24.458038239192287,-4.207539404586531,20.25049883460576,0.3064667417324686,1.501287684787802,0.3068516685433047,1.6302277796533515,0.3064667417348691,1.5012876847920302,0.3068516685416271,1.6302277796797995
6,0.0155499810680387,5.307949475138908,0.9375706370028988,0.9218755735451694,0.30615257557657705,0.2994926279204774,24.402316063738116,23.87147568989502,23.996263646357253,-3.8059781509640813,20.19028549539318,24.005080049568598,-4.134007123715413,19.87107292585319,0.3010582233406851,1.4746412840939422,0.301168834339388,1.6017374066703445,0.3010582233294803,1.4746412840619778,0.30116883430916236,1.601737406540782
7,0.0190070176599161,4.87540770334945,0.9328984241038148,0.9163092455505624,0.3041628720207053,0.2971469315554504,24.243723979539297,23.68450870462257,23.832521924280993,-3.8170696752613296,20.015452249019663,23.858632979893688,-4.097845989259836,19.760786990633854,0.2990039121920198,1.478938739040737,0.2993315026922809,1.5877266321380847,0.29900391219153727,1.4789387390289717,0.2993315026903449,1.5877266321222407
8,0.0095352170949853,5.551500947438979,0.944057234346446,0.9294063330622824,0.30892503778438624,0.3026796879930952,24.623299012982674,24.125504737534662,24.25599028627187,-3.8858891772318143,20.370101109040064,24.266353106840086,-4.222008980482148,20.044344126357934,0.3043167656670781,1.505603127203542,0.3044467780888052,1.635834074049341,0.3043167656632624,1.5056031271871047,0.3044467780877682,1.6358340740225215
9,0.0427579712671077,4.6179086427333615,0.9233363429698342,0.9051389920579406,0.30010961414648424,0.2924651510149131,23.920653433592385,23.311340886987555,23.315341561550802,-3.6399503008463725,19.67539126070443,23.2479280742786,-3.9182296990433683,19.32969837523524,0.2925153436613153,1.4103131370626942,0.291669570960762,1.518133590259505,0.29251534366851334,1.410313137077028,0.29166957097407786,1.518133590378461
