observable,raw_projection_denominator_weight,raw_contact_numerator_weight,raw_HS_numerator_weight
Vp,0.4281733041129575,0.4292283882855245,0.44869916465760734
Vs,0.5718266958870425,0.5707716117144755,0.5513008353423926
rho,0.0,0.0,0.0
