train,test,adjustment,method,method_label,Vcem_fraction,Vcem_percent,lnCn_profile,lnCn_predicted,lnCn_error
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.001,0.1,2.420335193843057,2.4055986708686525,-0.01473652297440431
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0027096482108372,0.27096482108372,2.1153340616255853,2.1153340630480266,1.4224412758778726e-09
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.002735294117647,0.27352941176469997,2.1125029874100183,2.1126259184387273,0.00012293102870897243
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0044705882352941,0.44705882352941,1.9669223354381944,1.9728629927630448,0.005940657324850385
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0062058823529411,0.62058823529411,1.872643877951156,1.8817051754054035,0.009061297454247441
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0079411764705882,0.7941176470588199,1.8038724569774944,1.814793404328067,0.010920947350572474
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0096764705882352,0.96764705882352,1.7503953212489218,1.7624645512755255,0.01206923002660365
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0114117647058823,1.14117647058823,1.7071170028223412,1.7198880869627473,0.012771084140406064
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0131470588235294,1.31470588235294,1.671126849785521,1.6842996670211265,0.013172817235605594
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0148823529411764,1.48823529411764,1.6406056810633771,1.6539685572881733,0.01336287622479615
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0166176470588235,1.6617647058823501,1.6143407235614189,1.6277390231060633,0.013398299544644443
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0183529411764705,1.8352941176470499,1.5914830882642397,1.6048008627755799,0.013317774511340197
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0200882352941176,2.0088235294117602,1.5714155459729375,1.5845640945541422,0.013148548581204622
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0218235294117647,2.18235294117647,1.5536753388687037,1.5665857596642114,0.012910420795507749
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0235588235294117,2.3558823529411703,1.5379066631610276,1.5505248178150595,0.012618154654031821
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0252941176470588,2.52941176470588,1.523830114849965,1.5361131145051279,0.012282999655162996
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0270294117647058,2.70294117647058,1.5112223151282411,1.5231360028427638,0.011913687714522725
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0287647058823529,2.87647058823529,1.4999019001850489,1.5114190063792627,0.011517106194213866
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0305,3.05,1.489719607994071,1.5008183950985408,0.011098787104469654
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.032235294117647,3.2235294117647,1.4805512197325694,1.4912143728521061,0.010663153119536695
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0339705882352941,3.39705882352941,1.4722921624305445,1.4825060532832848,0.01021389085274027
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0357058823529411,3.5705882352941103,1.4648536691705136,1.474607688810766,0.009754019640252354
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0374411764705882,3.74411764705882,1.458159726212248,1.4674457953977238,0.009286069185475698
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0391764705882353,3.9176470588235297,1.4521447568959676,1.4609569293050235,0.008812172409055963
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0409117647058823,4.09117647058823,1.4467518032468432,1.4550859460928358,0.008334142845992654
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0426470588235294,4.26470588235294,1.4419310866639103,1.4497846215516463,0.007853534887735991
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0443823529411764,4.43823529411764,1.4376388566993814,1.4450105478723674,0.007371691172985972
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0461176470588235,4.61176470588235,1.4338364614316794,1.4407262416633095,0.006889780231630116
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0478529411764705,4.78529411764705,1.430489590172143,1.4368984168278196,0.006408826655676547
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0495882352941176,4.9588235294117595,1.4275676515590516,1.4334973870424346,0.005929735483382936
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0513235294117647,5.13235294117647,1.4250432590136055,1.4304965710718593,0.005453312058253834
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0530588235294117,5.30588235294117,1.42289180207095,1.4278720803913352,0.0049802783203851675
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0547941176470588,5.47941176470588,1.4210910869525548,1.4256023732149194,0.004511286262364633
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0565294117647058,5.65294117647058,1.4196210333853934,1.423667962500928,0.004046929115534725
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.0582647058823529,5.82647058823529,1.4184634174327797,1.4220511681379326,0.0035877507051529367
19A,BT2,raw,factored_log_log,log contact + log HS (current),0.06,6.0,1.4176016522071866,1.4207359055284692,0.0031342533212825874
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.001,0.1,2.420335193843057,2.4052198701722807,-0.01511532367077617
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0027096482108372,0.27096482108372,2.1153340616255853,2.1153340630480266,1.4224412758778726e-09
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.002735294117647,0.27352941176469997,2.1125029874100183,2.112631395959153,0.00012840854913465094
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0044705882352941,0.44705882352941,1.9669223354381944,1.973224957831577,0.00630262239338264
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0062058823529411,0.62058823529411,1.872643877951156,1.8823955929657756,0.009751715014619577
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0079411764705882,0.7941176470588199,1.8038724569774944,1.8157839916985252,0.011911534721030792
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0096764705882352,0.96764705882352,1.7503953212489218,1.7637267748534635,0.013331453604541688
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0114117647058823,1.14117647058823,1.7071170028223412,1.7213931588706095,0.014276156048268263
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0131470588235294,1.31470588235294,1.671126849785521,1.686018541692263,0.01489169190674211
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0148823529411764,1.48823529411764,1.6406056810633771,1.6558719279912975,0.015266246927920335
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0166176470588235,1.6617647058823501,1.6143407235614189,1.6297973184069265,0.015456594845507654
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0183529411764705,1.8352941176470499,1.5914830882642397,1.606984242934439,0.015501154670199302
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0200882352941176,2.0088235294117602,1.5714155459729375,1.5868424478575553,0.015426901884617816
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0218235294117647,2.18235294117647,1.5536753388687037,1.5689286986896605,0.015253359820956769
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0235588235294117,2.3558823529411703,1.5379066631610276,1.5529016756268543,0.014995012465826685
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0252941176470588,2.52941176470588,1.523830114849965,1.5384929407800034,0.014662825930038537
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0270294117647058,2.70294117647058,1.5112223151282411,1.5254875599235391,0.014265244795298004
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0287647058823529,2.87647058823529,1.4999019001850489,1.5137107652548873,0.013808865069838472
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.0305,3.05,1.489719607994071,1.5030185313087971,0.013298923314726041
19A,BT2,raw,log_linear_hs,log contact + linear HS,0.032235294117647,3.2235294117647,1.4805512197325694,1.4932907623152016,0.012739542582632213
